Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,10 nos of bidder are participated,Shrabani Routray,24-Nov-2025 12:29 PM,,BOQ Comparative Chart,1.0,3227474.0,SAROJ KUMAR NANDA,INR,"1,440,604",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_121053_4,Tender Online Divn. BBSR - 25/2025-26,SN road to Giringo,"SE RW, Bhubaneswar",Internal,"DAO, Estimator and Superintending Engineer",Shrabani Routray,17-Dec-2025 02:38 PM,finsummary_563174.pdf (549.83 KB),"SE RW, Bhubaneswar",Internal,"DAO, Estimator and Superintending Engineer",Shrabani Routray,17-Dec-2025 02:30 PM,techsummary_563174.pdf (549.83 KB),30-Jan-2026,"INR 1,440,604",60.0,Nirmal Chandra Jena,30-Jan-2026 04:57 PM,Giringo.pdf (331.00 KB),AOC,1,3225836,DEBASISH DAS,14-Nov-2025 07:09 PM,Rejected-Technical,Technically not Qualified,17-Dec-2025 02:30 PM,AOC,10-Nov-2025 05:00 PM,21-Nov-2025 11:00 AM,10-Nov-2025 05:00 PM,20-Nov-2025 05:00 PM,NA ,NA ,10-Nov-2025 05:00 PM,20-Nov-2025 05:00 PM,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,"16,950",Yes,percentage,1.0%,Nil,Nil,SN road to Giringo,SN road to Giringo,Please refer Tender documents. ,NA ,"16,95,000",Civil Works - Roads,NA ,Tender,90.0,60.0,S.E. R.W. Divn. BBSR,751013.0,NA ,NA ,NA ,O/o S.E. R.W. Divn. BBSR,No ,No,"6,000",0.0,Nil,Nil,No,1.0,Corrigendum,Other,,S.E. R.W. Divn. BBSR,O/o S.E. R.W. Divn. BBSR,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 25/2025-26,2025_CERWI_121053_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3225794,DIPTI RANJAN JENA,14-Nov-2025 06:49 PM,Rejected-Technical,Technically not Qualified,17-Dec-2025 02:30 PM,AOC,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3242270,JAY MAHADEV CONSTRUCTION,20-Nov-2025 04:31 PM,Rejected-Technical,Technically not Qualified,17-Dec-2025 02:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3235489,KISHORE CHANDRA PRADHAN,18-Nov-2025 03:00 PM,Rejected-Technical,Technically not Qualified,17-Dec-2025 02:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3225766,MANOJ KUMAR DAS,14-Nov-2025 06:44 PM,Rejected-Technical,Technically not Qualified,17-Dec-2025 02:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3241870,MITALI SWAIN,20-Nov-2025 03:42 PM,Rejected-Technical,Technically not Qualified,17-Dec-2025 02:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3223824,NIHAR RANJAN CHOUDHURY,14-Nov-2025 06:34 PM,Rejected-Technical,Technically not Qualified,17-Dec-2025 02:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3241669,PRAFULLA PARIDA,20-Nov-2025 02:27 PM,Rejected-Technical,Technically not Qualified,17-Dec-2025 02:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3240656,PRASANTA KUMAR SAHOO,20-Nov-2025 11:22 AM,Rejected-Finance,Not Success in Lottery,17-Dec-2025 02:38 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3227474,SAROJ KUMAR NANDA,17-Nov-2025 12:33 PM,Accepted-AOC,L1 Bidder,30-Jan-2026 04:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
