Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"4,000",0.0,Nil,Nil,No,S/R to Repair to Bridge over river Birupa on Bheda to Anandabazar Road in the district of Cuttack for the year 2025-26,S/R to Repair to Bridge over river Birupa on Bheda to Anandabazar Road in the district of Cuttack for the year 2025-26,Refer tender documents ,NA ,"5,04,433",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-08/2025-26,2025_CERWI_119906_43,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"5,044",Yes,percentage,1.0%,Nil,Nil,"S.E, R.W.Division, Cuttack","At.-REO Colony, P.O.-Nayabazar, Dist.-Cuttack",24-Oct-2025 06:55 PM,03-Nov-2025 11:00 AM,24-Oct-2025 06:55 PM,01-Nov-2025 05:00 PM,24-Oct-2025 06:55 PM ,31-Oct-2025 05:00 PM ,24-Oct-2025 06:55 PM,01-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit,correctness and No relation certificate",AOC,"Superintending Engineer, R.W. Division, Cuttack",Internal,DAO and A.E (Estimators),Debipriya Mohanty,26-Jan-2026 11:18 PM,techsummary_558056.pdf (2418.43 KB),"Superintending Engineer, R.W. Division, Cuttack",Internal,DAO and A.E (Estimators),Debipriya Mohanty,26-Jan-2026 11:26 PM,finsummary_558056.pdf (2418.43 KB),Finance,All Bidder are accepted.,Debipriya Mohanty,19-Nov-2025 12:36 PM,,BOQ Comparative Chart,1,3152142,Alekha Chandra Bastia,27-Oct-2025 12:44 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,1.0,3172361.0,MANORANJAN MAHALIK(S.C),INR,"428,819",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_119906_43,RWD CTC-08/2025-26,S/R to Repair to Bridge over river Birupa on Bheda to Anandabazar Road in the district of Cuttack for the year 2025-26,28-Jan-2026,"INR 428,819",30.0,Sudhakar Naik,28-Jan-2026 04:12 PM,11917.pdf (2418.00 KB),Work awarded to Manoranjan Mahalik vide Divisional Agreement No.137 P1 OF 2025-26,AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,2,3171461,CHITTA RANJAN BAL,01-Nov-2025 10:41 AM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3150687,DIPTI PRAKASH MUDULI,30-Oct-2025 07:04 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3168795,"GRAND CONSTRUCTIONS,PROP.-PURNA CHANDRA SAHOO",30-Oct-2025 08:31 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3172331,Jhunilata Biswal,01-Nov-2025 04:35 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3169826,LISA MAJHI,31-Oct-2025 09:16 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3168500,MAHESWAR BEHURA,30-Oct-2025 05:45 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3172361,MANORANJAN MAHALIK(S.C),01-Nov-2025 04:14 PM,Accepted-AOC,Work awarded to Manoranjan Mahalik vide Divisional Agreement No.137 P1 OF 2025-26,28-Jan-2026 04:12 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3172018,PRAKASH SETHY,01-Nov-2025 01:49 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3172042,SARAT CHANDRA MOHARANA,01-Nov-2025 01:45 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,11,3155274,SAURAV CONSTRUCTION,28-Oct-2025 12:16 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,12,3170801,SISIRA KUMAR MALLICK,31-Oct-2025 09:31 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,13,3171986,SK SOAEB ALLI,01-Nov-2025 03:59 PM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,14,3164758,SUSHANTA KUMAR BARAL,29-Oct-2025 07:49 AM,Rejected-Finance,Other than L1,26-Jan-2026 11:26 PM,,,,,,,,,,,,,,,,,AOC
