S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,3141177.0,HARA PRASAD MOHANTY,INR,"427,631",CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,2025_CERWI_119523_44,Tender Online - 04 of 2025-26,S/R to Andhoto to Alanahat Road for the year 2025-26,1,3161601,ABHIJIT DAS,27-Oct-2025 11:25 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,02-Jan-2026,"INR 427,631",30.0,Dipika Majhi,02-Jan-2026 02:50 PM,8583.pdf (1847.00 KB),S/R to Andhoto to Alanahat Road for the year 2025-26,Finance,Summary,Dipika Majhi,02-Jan-2026 02:41 PM,finance_556273.pdf,BOQ Comparative Chart,"SE,RW,JSPUR",Internal,,Dipika Majhi,02-Jan-2026 02:48 PM,finsummary_556273.pdf (1847.33 KB),"SE,RW,JSPUR",Internal,,Dipika Majhi,02-Jan-2026 02:45 PM,techsummary_556273.pdf (2156.47 KB),AOC,15-Oct-2025 06:30 PM,29-Oct-2025 11:00 AM,16-Oct-2025 09:00 AM,28-Oct-2025 05:00 PM,16-Oct-2025 09:00 AM ,24-Oct-2025 03:00 PM ,16-Oct-2025 09:00 AM,28-Oct-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,S/R to Andhoto to Alanahat Road for the year 2025-26,S/R to Andhoto to Alanahat Road for the year 2025-26,Please refer Tender documents. ,NA ,"5,03,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Jagatsinghpur,754103.0,NA ,NA ,NA ,"O/O the Suptd. Engineer, R. W. Division,",No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, GSTIN, PAN, Regd. Cert, No Relation and affidavit towards Correctness Certificate","5,030",Yes,fixed,,Nil,Nil,"O/O the Suptd. Engineer, R. W. Division,","O/O the Suptd. Engineer, R. W. Division,",1.0,ICICI BANK,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-JAGATSINGHPUR,Tender Online - 04 of 2025-26,2025_CERWI_119523_44,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,2,3163096,AMARESH SWAIN,28-Oct-2025 01:14 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3155103,AMAR PRASAD RAY,26-Oct-2025 05:04 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3149218,BIBHUTI BHUSAN RAY,24-Oct-2025 06:37 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3150950,DEBENDRA MALLICK,27-Oct-2025 05:01 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3141177,HARA PRASAD MOHANTY,26-Oct-2025 04:48 PM,Accepted-AOC,successful bidder,02-Jan-2026 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3133600,HAREKRISHNA ROUTRAY,25-Oct-2025 11:12 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3162418,ITUSMITA NAYAK,28-Oct-2025 11:51 AM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3155853,JYOTI RANJAN NANDA,27-Oct-2025 08:38 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3139673,MANAS KUMAR MUDULI,22-Oct-2025 01:09 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,11,3160664,MANOJ SINGH,28-Oct-2025 01:18 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,12,3158039,M/S ACHYUTA NANDA DAS,27-Oct-2025 06:56 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,13,3157692,M/S BHABANI PRASAD ROUT,27-Oct-2025 11:25 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,14,3157687,M/S. PRATAP DASH,27-Oct-2025 03:58 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,15,3151955,NAGENDRA JENA,28-Oct-2025 10:23 AM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,16,3146659,PRADEEP KUMAR DAS,25-Oct-2025 06:27 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,17,3152512,RAJESH NAYAK,25-Oct-2025 08:18 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,18,3150465,SAUMYAKANTA DAS,25-Oct-2025 01:57 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,19,3157815,SUBAS CHANDRA SWAIN,28-Oct-2025 03:11 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,20,3162017,SUBHRAJIT MOHANTY,28-Oct-2025 09:20 AM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,21,3136496,SURESH KUMAR SAMAL,19-Oct-2025 07:39 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,22,3157174,SURYAKANTA SAHOO,27-Oct-2025 09:25 AM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,23,3161085,SUSHIL KUMAR PATRA,27-Oct-2025 07:48 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,24,3156026,TITUAA PAL,26-Oct-2025 08:40 PM,Rejected-Technical,L2,02-Jan-2026 02:45 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
