Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Municipal Bodies||Angul Municipality,2025_ORULB_116179_10,EO/AGLM-07/2025-26,"Construction of Guest house , phae-I, Angul Municipality",1.0,3027857.0,Asish Kumar Mohury,INR,"1,434,107",1,3027857,Asish Kumar Mohury,07-Aug-2025 11:02 PM,Accepted-AOC,Lottery winner,15-Jan-2026 12:17 PM,15-Jan-2026,"INR 1,686,986.66",120.0,Satya Prakash Tripathy,15-Jan-2026 12:17 PM,AOC.pdf (1170.00 KB),Date of agreement 23.10.2025 Date of completion 23.01.2026,Finance,6 no. bidders participated,Satya Prakash Tripathy,12-Aug-2025 04:20 PM,,BOQ Comparative Chart,"Akshya Kumar Samant, Chairperson",Internal,"Sri Akshya Kumar Samant,Chairperson,Angul Municipality,Sri Satya Prakash Tripathy, E.O.,Angul Municipality,Sri Harihar Naik,ATO, Angul,Sri Asit Kumar Nayak, M.E,Angul Municipality",Satya Prakash Tripathy,07-Jan-2026 01:20 PM,finsummary_547706.pdf (678.54 KB),"Akshya Kumar Samant, Chairperson",Internal,"Sri Akshya Kumar Samant,Chairperson,Angul Municipality,Sri Satya Prakash Tripathy, E.O.,Angul Municipality,Sri Harihar Naik,ATO, Angul,Sri Asit Kumar Nayak, M.E,Angul Municipality",Satya Prakash Tripathy,31-Dec-2025 01:04 PM,techsummary_547706.pdf (635.38 KB),AOC,Municipal Bodies||Angul Municipality,EO/AGLM-07/2025-26,2025_ORULB_116179_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"16,900",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,Executive Officer,"O/O Executive Officer, Angul Municipality",1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD online, RC,GSTIN,PAN,Affidavit and other document as per DTCN",29-Jul-2025 10:00 AM,11-Aug-2025 11:00 AM,29-Jul-2025 10:00 AM,08-Aug-2025 05:00 PM,NA ,NA ,29-Jul-2025 10:00 AM,08-Aug-2025 05:00 PM,"Construction of Guest house , phae-I, Angul Municipality","Construction of Guest house , phae-I, Angul Municipality",Please refer Tender documents. ,NA ,"16,86,987",Civil Works - Others,NA ,Tender,90.0,120.0,Angul,759122.0,NA ,NA ,NA ,"O/O Executive Officer, Angul Municipality",No ,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,2,3019832,DIBYARANJAN NAIK,01-Aug-2025 01:52 AM,Rejected-AOC,Lottery looser,15-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3025181,NILAKANTHA SAHU,05-Aug-2025 10:01 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3027887,SHAKTI PRASAD MISHRA,07-Aug-2025 11:34 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3027468,SMT. PRATIMA BEHERA,07-Aug-2025 07:22 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3028432,SNEHALATA DASH (SC),08-Aug-2025 04:17 PM,Rejected-AOC,Lottery looser,15-Jan-2026 12:17 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
