Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"E.E., R.W. Division-I, Ganjam, Berhampur","O/o the S.E., R.W. Division No.-I, In-front of De-paul School, Engineering School Road, Ganjam, Berhampur, 760010",SR to Jemadeipur to Dunguri road,SR to Jemadeipur to Dunguri road,NA ,NA ,"8,40,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760010.0,NA ,NA ,NA ,"RURAL WORKS DIVISION NO-I, GANJAM, BERHAMPUR",No ,No,12-Nov-2025 05:00 PM,20-Nov-2025 11:30 AM,12-Nov-2025 05:00 PM,19-Nov-2025 05:00 PM,12-Nov-2025 05:00 PM ,18-Nov-2025 03:00 PM ,12-Nov-2025 05:00 PM,19-Nov-2025 05:00 PM,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"8,400",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender Cost, E.M.D., PAN, GSTIN, Affidavit, Contractor R.C. and all other documents as per DTCN",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - I,Online/12/SERWD-1/25-26,2025_CERWI_121152_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - I,2025_CERWI_121152_1,Online/12/SERWD-1/25-26,SR to Jemadeipur to Dunguri road,"Executive Engineer, R.W. Division-I, Ganjam, Berhampur",Internal,"D.A.O, Jr. Engineer(Estr), R.W. Division-I, Ganjam, Berhampur",Sarita Kumari Charchi,19-Jan-2026 07:28 PM,finsummary_563641.pdf (522.26 KB),Finance,Bid Opening Summary,Sarita Kumari Charchi,19-Jan-2026 07:04 PM,finance_563641.pdf,BOQ Comparative Chart,1.0,3238018.0,DUKHI NAIK,INR,"714,064",1,3238090,CHANDAN PRADHAN,19-Nov-2025 01:54 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,19-Jan-2026,"INR 714,064",30.0,Sarita Kumari Charchi,19-Jan-2026 07:56 PM,137.pdf (330.00 KB),110P1/2025-26,"Executive Engineer, R.W. Division-I, Ganjam, Berhampur",Internal,"D.A.O, Jr. Engineer(Estr), R.W. Division-I, Ganjam, Berhampur",Sarita Kumari Charchi,19-Jan-2026 07:20 PM,techsummary_563641.pdf (460.68 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,Boq,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3238018,DUKHI NAIK,19-Nov-2025 01:37 PM,Accepted-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3235996,Durlabh Kumar Bisoyi,19-Nov-2025 10:12 AM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3233147,Kiranabala Nayak,19-Nov-2025 02:49 PM,Rejected-Technical,Due to GST Inactive,19-Jan-2026 07:20 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3233010,Kongres Das,17-Nov-2025 04:43 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3235554,MAMATA KUMARI SATAPATHY,18-Nov-2025 03:21 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3238260,M/S TUTU BEHERA,19-Nov-2025 02:47 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3238538,PABITRA BISOYI,19-Nov-2025 03:51 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3237751,Prabin Kumar Sethi,19-Nov-2025 12:47 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3234869,PRADESHI SETHY,18-Nov-2025 12:57 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,11,3235817,RAJARAM NAYAK,18-Nov-2025 05:41 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,12,3234639,Sabita Panda,18-Nov-2025 01:43 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,13,3233344,SIMANCHAL SETHI,17-Nov-2025 06:08 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,14,3235106,SUSANTA KUMAR POLEI,18-Nov-2025 01:22 PM,Rejected-AOC,After drawal of lottery,19-Jan-2026 07:56 PM,,,,,,,,,,,,,,AOC
