S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,3300069.0,RANJIT KUMAR NANDA,INR,"4,898,559.773",SUMIT SOURAV SAHU,Internal,samiran nandy s amarnath subudhi,S. AMARNATH SUBUDHI,29-Jan-2026 12:28 PM,finsummary_570631.pdf (1260.34 KB),EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,2025_EICCL_122853_1,39.0,Ama Hospital Initiative- Construction and renovation at UPHC Rairangpur under Rairangpur Block Mayurbhanj,Technical,5 nos bidder are participated in Technical Evalution,S. AMARNATH SUBUDHI,17-Dec-2025 12:49 PM,,Finance,OPEN,Sumit Saurav Sahu,29-Dec-2025 01:18 PM,,BOQ Comparative Chart,SUMIT SOURAV SAHU,Internal,SAMIRAN NANDY AMARNATH SUBUDHI,Sumit Saurav Sahu,22-Dec-2025 05:18 PM,29-Dec-2025 11:00 AM,techsummary_570631.pdf (4557.90 KB),1,3299771,joyram beshra,13-Dec-2025 04:23 PM,Rejected-AOC,Lottery,29-Jan-2026 12:34 PM,29-Jan-2026,"INR 4,898,559.773",180.0,S. AMARNATH SUBUDHI,29-Jan-2026 12:34 PM,196.pdf (1260.00 KB),AOC,"10,000",0.0,Nil,Nil,No,Divisional Officer,"ROADS AND BUILDINGS DIVISION, RAIRANGPUR",EIC-CIVIL||SERNB-CIRCLE-EASTERN||EERNB-DIVN-RAIRANGPUR,39.0,2025_EICCL_122853_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Ama Hospital Initiative- Construction and renovation at UPHC Rairangpur under Rairangpur Block Mayurbhanj,Ama Hospital Initiative- Construction and renovation at UPHC Rairangpur under Rairangpur Block Mayurbhanj,NA ,NA ,"57,62,334",Civil Works - Buildings,NA ,Tender,90.0,180.0,Rairangpur,757043.0,NA ,NA ,NA ,"ROADS AND BUILDINGS DIVISION, RAIRANGPUR",No ,No,1.0,ICICI BANK,"57,623",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"RC, PAN,GSTIN,VAILD LICENSE, MACHINERIES, AFFIDAVIT AND OTHER DOCUMENTS as per DTCN",10-Dec-2025 10:00 AM,17-Dec-2025 11:00 AM,10-Dec-2025 10:00 AM,16-Dec-2025 04:00 PM,10-Dec-2025 10:00 AM ,16-Dec-2025 04:00 PM ,10-Dec-2025 10:00 AM,16-Dec-2025 04:00 PM,29-Dec-2025 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3306228,Nihar Ranjan Behera,16-Dec-2025 10:36 AM,Rejected-AOC,Lottery,29-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3300069,RANJIT KUMAR NANDA,13-Dec-2025 06:32 PM,Accepted-AOC,Lottery winner,29-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3306823,SEIKH ISLAM,16-Dec-2025 12:24 PM,Rejected-Technical,DISQUALIFIED,22-Dec-2025 05:18 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3304734,SUBRAT KUMAR BEHERA,15-Dec-2025 05:47 PM,Rejected-AOC,Lottery,29-Jan-2026 12:34 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
