Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"11,800",0.0,Nil,Nil,No,1.0,EXTENSION OF DATE AND TIME,Date,,1.0,Fee/PreQual/Technical,.pdf,"GST, GSTR-1, PAN, Contractor Registration Certificate and Affidavit","Construction Of 12 Nos E Type Quarter At Old RP Line, Sundargarh",Building Work,Please refer Tender documents. ,NA ,"3,47,42,784",Civil Works - Buildings,NA ,Tender,90.0,365.0,Sundargarh,751022.0,NA ,NA ,NA ,OPHWC BHUBANESWAR,No ,No,CHIEF ENGINEER OPHWC,OPHWC BHUBANESWAR,Orissa State Police Housing and Welfare Corporation Ltd,15/OPHWC/2025-26,2025_OSPHW_119443_6,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,14-Oct-2025 06:55 PM,10-Nov-2025 10:30 AM,14-Oct-2025 06:55 PM,07-Nov-2025 05:00 PM,NA ,NA ,14-Oct-2025 06:55 PM,07-Nov-2025 05:00 PM,04-Dec-2025 10:30 AM,"3,47,400",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,Technical,5 Nos. of bidders have been participated,LAXMIPRIYA NAYAK,10-Nov-2025 01:10 PM,,Orissa State Police Housing and Welfare Corporation Ltd,2025_OSPHW_119443_6,15/OPHWC/2025-26,"Construction Of 12 Nos E Type Quarter At Old RP Line, Sundargarh",AS PER AS ACCEPTANCE,Internal,AS PER AS ACCEPTANCE,ANANDA CHANDRA PANDA,08-Jan-2026 03:46 PM,finsummary_555902.pdf (381.45 KB),1.0,3171956.0,ANKIT AGRAWAL,INR,"29,534,841",1,3171956,ANKIT AGRAWAL,01-Nov-2025 01:02 PM,Accepted-AOC,QUALIFIED BIDDER,08-Jan-2026 03:51 PM,08-Jan-2026,"INR 29,534,841",365.0,ANANDA CHANDRA PANDA,08-Jan-2026 03:51 PM,RP.pdf (80.00 KB),AWARDED AS L1 TENDERER AND AWARDED ON DATE 07.01.2026,AS PER AS TC MINUTES,Internal,AS PER AS TC MINUTES,ANANDA CHANDRA PANDA,03-Dec-2025 06:39 PM,04-Dec-2025 10:30 AM,techsummary_555902.pdf (358.93 KB),Finance,Financial bid opened,LAXMIPRIYA NAYAK,04-Dec-2025 11:02 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,.pdf,Other Document as per DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,2,3163583,Rajesh Kumar Panda,07-Nov-2025 03:08 PM,Rejected-Finance,DUE TO L2 BIDDER,08-Jan-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,3171230,RIZWAN RAZA,01-Nov-2025 12:39 AM,Rejected-Technical,Absent in the Point of Presentation as per DTCN Cl.110(m).,03-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,3172301,SHALU AGRAWAL,01-Nov-2025 03:04 PM,Rejected-Technical,Non submission of adequate similar nature of work as per DTCN Cl. No. 11 and 110(k).,03-Dec-2025 06:39 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,3171391,SILADITYA BEHERA,07-Nov-2025 03:45 PM,Rejected-Finance,DUE TO L3 BIDDER,08-Jan-2026 03:46 PM,,,,,,,,,,,,,,,,,,,,,AOC
