Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
Finance,Tender will be finalized after downloaded Bid documents scrutinized.,Babina Sahu,11-Nov-2025 05:46 PM,finance_559161.pdf,BOQ Comparative Chart,1.0,3177936.0,SUBHAM TRIPATHY,INR,"2,250,405",CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,2025_CERWI_120211_6,Online Tender/12/SERWD-II/2025-26,S/R Approach road to Damanapadar for the year 2025-26,"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,02-Jan-2026 01:03 PM,finsummary_559161.pdf (3078.22 KB),"S.E, R.W.D-II, Ganjam, Berhampur",Internal,"Divisional Accounts Officer, Junior Engineer Estimator",Sudipta Senapati,02-Jan-2026 12:57 PM,techsummary_559161.pdf (1569.82 KB),02-Jan-2026,"INR 2,250,405",30.0,Sudipta Senapati,02-Jan-2026 01:09 PM,3ApproachRDDamanapadarWO.pdf (825.00 KB),Work Order,1,3170783,AKSHYA KUMAR SETHI,31-Oct-2025 07:52 PM,Rejected-AOC,Unsuccessful Bidder,02-Jan-2026 01:09 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,Valid RC Copy Affidavit EMD Tender paper Cost PAN and GST Regi. as per DTCN,CE RW I||RWCIRCLE-BERHAMPUR||RWDIVISION-GANJAM - II,Online Tender/12/SERWD-II/2025-26,2025_CERWI_120211_6,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"Superintending Engineer RWD-II, GJM, BAM","O/o the Superintending Engineer Rural Works Division-II, Ganjam, Berhampur","6,000",0.0,Nil,Nil,No,"26,500",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,S/R Approach road to Damanapadar for the year 2025-26,S/R Approach road to Damanapadar for the year 2025-26,Please refer Tender documents. ,NA ,"26,47,000",Civil Works - Roads,NA ,Tender,90.0,30.0,Berhampur,760010.0,NA ,NA ,NA ,"O/o the S.E R.W.D-II, Ganjam, Berhampur",No ,No,1.0,Corrigendum,Other,,28-Oct-2025 12:00 PM,04-Nov-2025 11:00 AM,28-Oct-2025 12:00 PM,03-Nov-2025 05:00 PM,28-Oct-2025 12:00 PM ,03-Nov-2025 12:00 PM ,28-Oct-2025 12:00 PM,03-Nov-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3174880,BALIA KUMAR PRADHAN,03-Nov-2025 09:26 AM,Rejected-AOC,Unsuccessful Bidder,02-Jan-2026 01:09 PM,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3174574,Balya Ram Dalai,02-Nov-2025 03:48 PM,Rejected-AOC,Unsuccessful Bidder,02-Jan-2026 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3176667,BASANTA SAHU,03-Nov-2025 12:02 PM,Rejected-AOC,Unsuccessful Bidder,02-Jan-2026 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3171705,BHARATI SETHI,01-Nov-2025 12:20 PM,Rejected-AOC,Unsuccessful Bidder,02-Jan-2026 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3177128,Chiranjibi Muni,03-Nov-2025 01:32 PM,Rejected-AOC,Unsuccessful Bidder,02-Jan-2026 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3171422,DHANU SAHU,01-Nov-2025 11:24 AM,Rejected-AOC,Unsuccessful Bidder,02-Jan-2026 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3175374,DINABANDHU SAHU,02-Nov-2025 08:25 PM,Rejected-AOC,Unsuccessful Bidder,02-Jan-2026 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3170428,Judhishthir Gouda,02-Nov-2025 04:04 PM,Rejected-AOC,Unsuccessful Bidder,02-Jan-2026 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3176144,Kunja Bihari Sahu,03-Nov-2025 09:43 AM,Rejected-AOC,Unsuccessful Bidder,02-Jan-2026 01:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
