S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3255254.0,MKS ENGINEERING,INR,"12,380,021",Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Rourkella,2025_OLIC_121566_1,EEOLICRKL-8/2025-26,"INSTALLATION AND ENERGISATION OF BADAJOJODA(E), SANAJOJODA(B), SANAJOJODA(C ), SANAJOJODA(D), SANAJOJODA(E), CHITIKIDIRI T/W UNDER NUAGAON BLOCK IN SUNDARGARH DISTRICT",EXECUTIVE ENGINEER,Internal,,AMRUTA KUMAR BAGH,16-Jan-2026 06:31 PM,techsummary_565498.pdf (1397.42 KB),22-Jan-2026,"INR 12,380,021",120.0,AMRUTA KUMAR BAGH,22-Jan-2026 12:49 PM,COMMITTEE28.pdf (1397.00 KB),Finance,OPENED SUCCESSFULLY,AMRUTA KUMAR BAGH,15-Jan-2026 05:14 PM,finance_565498.pdf,BOQ Comparative Chart,EXECUTIVE ENGINEER,Internal,,AMRUTA KUMAR BAGH,22-Jan-2026 12:47 PM,finsummary_565498.pdf (1397.42 KB),1,3257910,BRAHMANANDA MISHRA,26-Nov-2025 05:00 PM,Rejected-Technical,Reject,16-Jan-2026 06:31 PM,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Online tender paper cost,emd,license,GST,PAN,Affidavit towards authenticity of documents details",19-Nov-2025 10:00 AM,29-Nov-2025 11:00 AM,19-Nov-2025 10:00 AM,27-Nov-2025 05:00 PM,19-Nov-2025 10:00 AM ,27-Nov-2025 04:00 PM ,19-Nov-2025 10:00 AM,27-Nov-2025 05:00 PM,"EXECUTIVE ENGINEER,L.I.DIVISION,ROURKELA","O/O EXECUTIVE ENGINEER,L.I.DIVISION,ROURKELA","INSTALLATION AND ENERGISATION OF BADAJOJODA(E), SANAJOJODA(B), SANAJOJODA(C ), SANAJOJODA(D), SANAJOJODA(E), CHITIKIDIRI T/W UNDER NUAGAON BLOCK IN SUNDARGARH DISTRICT",LIFT IRRIGATION WORKS,Please refer Tender documents. ,NA ,"1,23,80,021",Civil Works - Lift Irrigation Schemes,NA ,Tender,120.0,120.0,ROURKELA,769015.0,NA ,NA ,NA ,"O/O EXECUTIVE ENGINEER,L.I.DIVISION,ROURKELA",No ,No,"11,800",0.0,Nil,Nil,No,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Rourkella,EEOLICRKL-8/2025-26,2025_OLIC_121566_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"1,23,800",Yes,percentage,1.0%,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3255254,MKS ENGINEERING,25-Nov-2025 07:21 PM,Accepted-AOC,L1,22-Jan-2026 12:50 PM,AOC,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3260602,UTTAM KUMAR PATEL,27-Nov-2025 03:58 PM,Rejected-Technical,Reject,16-Jan-2026 06:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
