Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
0.0,0.0,Nil,Nil,No,"6,99,200",No,fixed,,Nil,Nil,Renovation to Distribution System of Mathanpala MIP in Titilagarh Block of Balangir District under OIIPCRA for the year 2024-25,Renovation to Distribution System of Mathanpala MIP in Titilagarh Block of Balangir District under OIIPCRA for the year 2024-25,Please refer Tender Documents ,NA ,"6,99,19,600",Civil Works - Others,Improvement work ,Tender,90.0,270.0,Titilagarh,767033.0,"O/o Superintending Engineer,M.I. Division, Blgr ","O/o Superintending Engineer,M.I. Division, Balangir ",04-Mar-2025 11:30 AM ,"O/o Superintending Engineer,M.I. Division, Balangi",No ,No,25-Feb-2025 10:00 AM,26-Mar-2025 03:30 PM,25-Feb-2025 10:00 AM,26-Mar-2025 03:00 PM,25-Feb-2025 10:00 AM ,21-Mar-2025 05:00 PM ,25-Feb-2025 10:00 AM,26-Mar-2025 03:00 PM,23-Jun-2025 11:30 AM,"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||PADAMPUR",OIIPCRA-W2-BGR-1/2024-25,2025_CEMIB_111069_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Superintending Engineer,M.I. Division, Balangir","Superintending Engineer, M.I. Division, Balangir",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,"License,GST,PAN,Affidavit,EMD and Paper cost,No relation Certificate and other documents as per DTCN",AOC,22-Jan-2026,"INR 63,391,509",270.0,Rabindranath Sethi,22-Jan-2026 12:19 PM,Mathanpala_Workorder.pdf (321.00 KB),"The work was awardred to Sri Atul Kumar Jain,""A"" Degree Engg. Contractor amounting to Rs.6,33,91,509.00(Including GST) vide Agreement No. W2-01/2025-26 with",1,2868292,ARUN KUMAR BEHERA,26-Mar-2025 02:23 PM,Not Admitted-Fee/PreQual/Technical,Others-Not responsive due to non achievement of avg annual turn over as per clause 3(b),21-Jun-2025 05:38 PM,Finance,Opened,Sandip Mohanty,19-Jan-2026 04:04 PM,finance_531249.pdf,BOQ Comparative Chart,Chief Engineer,Internal,"Chief Engineer, Addl. Chief Engineer, DAO, E.E, Accounts Officer",Sandip Mohanty,21-Jun-2025 05:46 PM,23-Jun-2025 11:30 AM,techsummary_531249.pdf (2169.38 KB),RN SETHI,Internal,,Rabindranath Sethi,22-Jan-2026 12:10 PM,finsummary_531249.pdf (321.30 KB),"CE,Minor Irrigation,BBSR||SENMIC-SAMBALPUR||PADAMPUR",2025_CEMIB_111069_1,OIIPCRA-W2-BGR-1/2024-25,Renovation to Distribution System of Mathanpala MIP in Titilagarh Block of Balangir District under OIIPCRA for the year 2024-25,Technical,"On opening the bids total 13 nos. of bids were found to be received online, out of which 1 no of bid was rejected due to non achievement of Avg. annual turn over as per clause 3(b). Hence 12 nos. of bids were found to be valid.",Sandip Mohanty,21-Jun-2025 05:38 PM,technical_531249.pdf,1.0,2849702.0,ATUL KUMAR JAIN,INR,"63,391,509",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Work Experience Certificate and other required documents as per DTCN,AOC,,,,,,,,2,2849702,ATUL KUMAR JAIN,11-Mar-2025 09:04 AM,Accepted-AOC,Bid Rank L1,22-Jan-2026 12:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,AOC,,,,,,,,3,2868782,B. K. Construction Co.,26-Mar-2025 12:17 PM,Rejected-Finance,Bid Rank L-10,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2868909,Manoj Kumar Agrawal,26-Mar-2025 11:59 AM,Rejected-Finance,Bid Rank L-7,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,5,2864278,M/S RAMESH KUMAR AGRAWAL,26-Mar-2025 02:52 PM,Rejected-Finance,Bid Rank L-6,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,6,2869212,M/S SRI OMI INFRA,26-Mar-2025 01:50 PM,Rejected-Finance,Bid Rank L-5,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,7,2869014,OM CONSTRUCTIONS,26-Mar-2025 02:05 PM,Rejected-Finance,Bid Rank L-2,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,8,2869184,R.B.S Constructions,26-Mar-2025 02:25 PM,Rejected-Finance,Bid Rank L-9,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,9,2858069,Sachin Agarwal,26-Mar-2025 02:58 PM,Rejected-Finance,Bid Rank L-4,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,10,2869092,SHAMBHU PRASAD GOEL,26-Mar-2025 02:46 PM,Rejected-Finance,Bid Rank L-12,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,11,2865199,SOBIKA AGRAWAL,26-Mar-2025 02:23 PM,Rejected-Finance,Bid Rank L-8,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,12,2868737,SRI JITENDRA KUMAR NAYAK,26-Mar-2025 02:09 PM,Rejected-Finance,Bid Rank L-10,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,13,2864300,Tulsi Ram Agrawal,26-Mar-2025 01:31 PM,Rejected-Finance,Bid Rank L-3,22-Jan-2026 12:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
