Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Construction of Govt. Ayurvedic Dispensary Building and Boundary wall at Golabandha Block-Telkoi in the district of Keonjhar for the financial year 2024-25,new ayurvedic building construction at Golabandha Block telkoi,Please refer Tender documents. ,NA ,"44,24,000",Civil Works - Buildings,NA ,Tender,90.0,270.0,Golabandha at Telkoi Block,758084.0,NA ,NA ,NA ,SE RWD BANSPAL at Keonjhar Town,No ,No,"6,000",0.0,Nil,Nil,No,SE RWD BANSPAL,office of the superintending Engineer RWD Banspal,"44,238",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,Checklist EMD GSTIN PAN,13-Oct-2025 09:00 AM,18-Oct-2025 06:00 PM,13-Oct-2025 09:00 AM,18-Oct-2025 05:00 PM,13-Oct-2025 09:00 AM ,16-Oct-2025 05:00 PM ,13-Oct-2025 09:00 AM,18-Oct-2025 05:00 PM,1.0,ICICI BANK,CE RW I||RWCIRCLE-KEONJHAR||RW Division Bansapal,Building Online NCB No. 01,2025_CERWI_119342_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,29-Jan-2026,"INR 4,437,505",270.0,Himansu Kumar Sethi,29-Jan-2026 07:10 PM,213.pdf (2056.00 KB),1,3132879,ARUN KUMAR PRADHAN,17-Oct-2025 05:01 PM,Rejected-Finance,Not Selected in the Lottery,29-Jan-2026 05:28 PM,Superintending Engineer,Internal,S.E./ D.A./ ESTIMATOR,Himansu Kumar Sethi,29-Jan-2026 05:11 PM,techsummary_555442.pdf (1876.73 KB),CE RW I||RWCIRCLE-KEONJHAR||RW Division Bansapal,2025_CERWI_119342_1,Building Online NCB No. 01,Construction of Govt. Ayurvedic Dispensary Building and Boundary wall at Golabandha Block-Telkoi in the district of Keonjhar for the financial year 2024-25,Superintending Engineer,Internal,S.E./ D.A./ ESTIMATOR,Himansu Kumar Sethi,29-Jan-2026 05:28 PM,finsummary_555442.pdf (562.39 KB),Finance,Cover1,Himansu Kumar Sethi,29-Jan-2026 05:04 PM,,BOQ Comparative Chart,1.0,3134309.0,BISWAJIT SINGH,INR,"4,437,505",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,financial bid,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC,,,,,,,2,3131728,BASUDEV HOTA,16-Oct-2025 08:35 PM,Rejected-Finance,Not Selected in the Lottery,29-Jan-2026 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,3134309,BISWAJIT SINGH,18-Oct-2025 01:17 PM,Accepted-AOC,Work has been awarded to Biswajit Singh,29-Jan-2026 07:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,technical bid,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,4,3133606,CHINTAMANI SAHOO,17-Oct-2025 10:23 PM,Rejected-Finance,Not Selected in the Lottery,29-Jan-2026 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,3131195,DAYANIDHI NAYAK,16-Oct-2025 03:23 PM,Rejected-Finance,Not Selected in the Lottery,29-Jan-2026 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,3130925,JANMEJAY NAYAK,16-Oct-2025 01:02 PM,Rejected-Finance,Not Selected in the Lottery,29-Jan-2026 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,3131116,LALATENDU SAHU,16-Oct-2025 02:35 PM,Rejected-Finance,Not Selected in the Lottery,29-Jan-2026 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,3134501,LAMBODARA MAHANTA,18-Oct-2025 02:11 PM,Rejected-Finance,Not Selected in the Lottery,29-Jan-2026 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,3132234,MANJARIMANI SETHY,18-Oct-2025 11:20 AM,Rejected-Finance,Not Selected in the Lottery,29-Jan-2026 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,3130322,NANDAKISHORE PARIDA,15-Oct-2025 10:29 PM,Rejected-Finance,Not Selected in the Lottery,29-Jan-2026 05:28 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
