S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,ICICI BANK,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar WL,DFO-KJR WL-02 OF 2025-26,2025_DFOKW_121065_4,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,12-Nov-2025 10:00 AM,26-Nov-2025 11:00 AM,12-Nov-2025 10:00 AM,25-Nov-2025 05:30 PM,12-Nov-2025 10:00 AM ,24-Nov-2025 04:30 PM ,12-Nov-2025 10:00 AM,25-Nov-2025 05:30 PM,"4,000",Nil,Nil,No,"7,362",Yes,fixed,,Nil,Nil,"THE DFO, ANANDAPUR","O/O THE DFO, ANANDAPUR",1.0,Fee/PreQual/Technical/Finance,.pdf,AS PER DTCN,Construction of Water Body with masonry outlet and inlet inside Rebana RF near Gaduan under Gaduan Beat of Deogaon Wildlife Range.,Construction of Water Body with masonry outlet and inlet inside Rebana RF near Gaduan under Gaduan Beat of Deogaon Wildlife Range.,Please refer Tender documents. ,NA ,"7,36,115",Civil Works - Others,WATER BODY ,Tender,45.0,90.0,GADUAN,758025.0,NA ,NA ,NA ,"O/O THE DFO, ANANDAPUR",No ,No,AOC,ASHOK KUMAR BISWAL,Internal,"Prabir kumar murmu, marshal kisku, sarat kumar barik, EE, RandB, santosh kumar patra",Prashanta Kumar Panda,12-Jan-2026 07:54 PM,finsummary_563244.pdf (385.52 KB),Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar WL,2025_DFOKW_121065_4,DFO-KJR WL-02 OF 2025-26,Construction of Water Body with masonry outlet and inlet inside Rebana RF near Gaduan under Gaduan Beat of Deogaon Wildlife Range.,1.0,3233124.0,SUDHIR KUMAR SWAIN,INR,"625,774.022",Finance,16nos bidder participant in this tender,Prashanta Kumar Panda,06-Dec-2025 03:22 PM,finance_563244.pdf,BOQ Comparative Chart,12-Jan-2026,"INR 736,118.13",90.0,Prashanta Kumar Panda,12-Jan-2026 07:59 PM,Gaduan.pdf (739.00 KB),lottery sudhir kumar swain L1,1,3245779,ABINASHA DEO,22-Nov-2025 09:44 AM,Rejected-AOC,Lotter sudhir kumar swain L1,12-Jan-2026 07:59 PM,ASHOK KUMAR BISWAL,Internal,"prabir kumar murmu, umakanta das, marshal kisku, sarat kumar barik, santosh kumar patra, ee, rANDb",Prashanta Kumar Panda,06-Dec-2025 03:50 PM,techsummary_563244.pdf (385.52 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3254939,ASHUTOSH SETHI,25-Nov-2025 05:23 PM,Rejected-AOC,Lotter sudhir kumar swain L1,12-Jan-2026 07:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3250079,BASANTA KUMAR MAHANTA,25-Nov-2025 06:48 AM,Rejected-AOC,Lotter sudhir kumar swain L1,12-Jan-2026 07:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3251868,BISHNUPRASAD JENA,24-Nov-2025 06:04 PM,Rejected-AOC,Lotter sudhir kumar swain L1,12-Jan-2026 07:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3234196,KAMALAKANTA BEHERA,19-Nov-2025 12:31 PM,Rejected-AOC,Lotter sudhir kumar swain L1,12-Jan-2026 07:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3249340,LIMA MANGAL,24-Nov-2025 01:27 PM,Rejected-AOC,Lotter sudhir kumar swain L1,12-Jan-2026 07:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3245750,NIMAIN CHAND ROUT,22-Nov-2025 09:11 AM,Rejected-AOC,Lotter sudhir kumar swain L1,12-Jan-2026 07:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3247374,NISHIKANTA SUTAR,23-Nov-2025 02:30 AM,Rejected-AOC,Lotter sudhir kumar swain L1,12-Jan-2026 07:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3242964,PRAVATI SAHOO,20-Nov-2025 11:54 PM,Rejected-AOC,Lotter sudhir kumar swain L1,12-Jan-2026 07:59 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3243375,RANJAN KUMAR BEJ,25-Nov-2025 01:56 PM,Rejected-AOC,Lotter sudhir kumar swain L1,12-Jan-2026 07:59 PM,,,,,,,AOC
