S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
1.0,3297381.0,SAI APPLIED TECHNOLOGIES PVT. LTD.,INR,"7,106,836",WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Rourkela,2025_WDRKL_122332_1,GM WATCO/RKL-18/2025-26 dt.18.11.2025,Provision for SCADA to monitor and control of 24 x 7 water supply system for DMA 16 to DMA 35 under Rourkela Municipality area,Technical,Summary,Sridhar Pattnaik,23-Dec-2025 12:39 PM,technical_568462.pdf,General Manager,Internal,Manager,Sridhar Pattnaik,22-Jan-2026 12:06 PM,finsummary_568462.pdf (38.55 KB),General Manager,Internal,Manager,Alekh Dalai,02-Jan-2026 01:35 PM,03-Jan-2026 12:00 PM,techsummary_568462.pdf (85.51 KB),Finance,Summary,Sridhar Pattnaik,22-Jan-2026 12:01 PM,finance_568462.pdf,BOQ Comparative Chart,22-Jan-2026,"INR 7,106,836",90.0,Sridhar Pattnaik,22-Jan-2026 12:10 PM,AOC.pdf (191.00 KB),AOC,1,3291059,ASCENSOR LIFTS AND AUTOMATION PRIVATE LIMITED,09-Dec-2025 11:58 AM,Rejected-AOC,Not selected through transparent lottery,22-Jan-2026 12:10 PM,AOC,1.0,ICICI BANK,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Rourkela,GM WATCO/RKL-18/2025-26 dt.18.11.2025,2025_WDRKL_122332_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"83,600",Yes,fixed,,Nil,Nil,01-Dec-2025 11:00 AM,15-Dec-2025 12:30 PM,01-Dec-2025 11:00 AM,12-Dec-2025 05:00 PM,01-Dec-2025 11:00 AM ,10-Dec-2025 05:00 PM ,01-Dec-2025 11:00 AM,12-Dec-2025 05:00 PM,03-Jan-2026 12:00 PM,Provision for SCADA to monitor and control of 24 x 7 water supply system for DMA 16 to DMA 35 under Rourkela Municipality area,Provision for SCADA to monitor and control of 24 x 7 water supply system for DMA 16 to DMA 35 under Rourkela Municipality area,Please refer Tender documents. ,NA ,"83,60,000",Civil Works - Water Works,NA ,Tender,120.0,90.0,Rourkela,769004.0,NA ,NA ,NA ,"O/o G.M WATCO Division, Rourkela",No ,No,"11,800",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender paper, EMD,PAN, GST, Certificate and other documents etc as per DTCN","G.M WATCO Division, Rourkela","G.M WATCO Division,Panposh, Rourkela",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3295490,CIMCON SOFTWARE INDIA PRIVATE LIMITED,11-Dec-2025 06:30 PM,Rejected-AOC,Not selected through transparent lottery,22-Jan-2026 12:10 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3297968,Drite Automation and Engineering,12-Dec-2025 04:13 PM,Rejected-AOC,Not selected through transparent lottery,22-Jan-2026 12:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3298104,FLOWTECH AUTOMATION PRIVATE LIMITED,12-Dec-2025 04:13 PM,Rejected-AOC,Not selected through transparent lottery,22-Jan-2026 12:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3298201,"M/S D.S. ENGINEERING AND SERVICES, PROP-SUPRIYA DAS",12-Dec-2025 04:52 PM,Rejected-Technical,Techically not qualified,02-Jan-2026 01:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3290132,M/s WATCO,10-Dec-2025 05:41 PM,Rejected-AOC,Not selected through transparent lottery,22-Jan-2026 12:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3296021,NSPlus Technology Private Limited,12-Dec-2025 02:37 PM,Rejected-Technical,Techically not qualified,02-Jan-2026 01:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3294621,parthasarathi chhotaray,12-Dec-2025 02:12 PM,Rejected-AOC,Not selected through transparent lottery,22-Jan-2026 12:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3297381,SAI APPLIED TECHNOLOGIES PVT. LTD.,12-Dec-2025 04:01 PM,Accepted-AOC,Selected through transparent lottery,22-Jan-2026 12:10 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
