Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,6 nos of bidders have participated and admitted for technical evaluation,Amiya Kumar Mudali,09-Dec-2025 12:04 PM,,BOQ Comparative Chart,1.0,3284905.0,SURYA NARAYAN PANDA,INR,"712,983.13","CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I",2025_CEMIB_122276_8,Online Tender /06/ GMID-I/2025-26,Improvement to Tentuliabandha MIP,SE M.I DIVIN GM-I,Internal,,Amiya Kumar Mudali,07-Jan-2026 01:00 PM,finsummary_568189.pdf (291.58 KB),SE M.I DIVIN GM-I,Internal,,Amiya Kumar Mudali,07-Jan-2026 12:58 PM,techsummary_568189.pdf (291.58 KB),1,3289605,BHARATI SAHU,08-Dec-2025 03:41 PM,Rejected-AOC,Loser in transparency lottery,07-Jan-2026 01:02 PM,07-Jan-2026,"INR 712,983.13",60.0,Amiya Kumar Mudali,07-Jan-2026 01:02 PM,50_W.pdf (394.00 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"GST,PAN,AFFIDAVIT, NO RELATION, SCHEDULE-E,CDMS COPY OF REGISTRATION CERTIFICATE","CE,Minor Irrigation,BBSR||SESMIC-BERHAMPUR||GANJAM I",Online Tender /06/ GMID-I/2025-26,2025_CEMIB_122276_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,29-Nov-2025 04:00 PM,09-Dec-2025 11:00 AM,29-Nov-2025 04:00 PM,08-Dec-2025 05:00 PM,29-Nov-2025 04:00 PM ,06-Dec-2025 05:00 PM ,29-Nov-2025 04:00 PM,08-Dec-2025 05:00 PM,"SE MI DIVIN GM-I,BAM","SE MI DIVIN GM-I, BAM, ENGINEERING SCHOOL ROAD",1.0,ICICI BANK,"8,500",Yes,fixed,,Nil,Nil,Improvement to Tentuliabandha MIP,Improvement to Tentuliabandha MIP Sahaspurin Patrapur block under ERM Scheme 2024-25,Please refer Tender documents. ,NA ,"8,40,000",Civil Works - Others,NA ,Tender,90.0,60.0,Patrapur,761004.0,NA ,NA ,NA ,"SE MI DIVIN GM-I,BAM",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3286981,Hari Chandra Sethi,08-Dec-2025 08:26 AM,Rejected-AOC,Loser in transparency lottery,07-Jan-2026 01:02 PM,,,,,,,AOC,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3289385,Kunja Bihari Sahu,08-Dec-2025 03:12 PM,Rejected-AOC,Loser in transparency lottery,07-Jan-2026 01:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3287737,MODA MILIKA,08-Dec-2025 12:41 PM,Rejected-AOC,Loser in transparency lottery,07-Jan-2026 01:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3289887,SITUN KUMAR SAHU,08-Dec-2025 04:31 PM,Rejected-AOC,Loser in transparency lottery,07-Jan-2026 01:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3284905,SURYA NARAYAN PANDA,06-Dec-2025 06:59 PM,Accepted-AOC,Winner in transparency lottery,07-Jan-2026 01:02 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
