Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Name,Address,Tender Stage
CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-BARGARH,2025_CERWI_120304_10,Online-BGH-12 of 2025-26,RD Road to Chitakhai,1.0,3217198.0,DILLIP KUMAR PRADHAN,INR,"1,296,570",1,3217198,DILLIP KUMAR PRADHAN,12-Nov-2025 01:45 PM,Accepted-AOC,Successful Bidder,21-Jan-2026 07:36 PM,21-Jan-2026,"INR 1,296,570",90.0,Kumarmani Kishan,21-Jan-2026 07:36 PM,63.pdf (518.00 KB),Finance,ok,Sunanda Kisan,13-Nov-2025 02:00 PM,,BOQ Comparative Chart,Executive Engineer,Internal,"EE, DAO, EE ESTIMATOR, AE ESTIMATOR",Kumarmani Kishan,21-Jan-2026 07:29 PM,finsummary_559746.pdf (192.45 KB),Executive Engineer,Internal,"EE, DAO, EE Estimator, AE Estimator",Kumarmani Kishan,21-Jan-2026 07:24 PM,techsummary_559746.pdf (192.45 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, PAN Card, Valid GSTIN, Affidavit, No Relation Certificate As per DTCN",RD Road to Chitakhai,Road Works,Please refer Tender documents. ,NA ,"15,25,000",Civil Works - Roads,NA ,Tender,90.0,90.0,Bargarh,768028.0,NA ,NA ,NA ,"EXECUTIVE ENGINEER RURAL WORKS DIVISION, BARAGARH",No ,No,"6,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-BARGARH,Online-BGH-12 of 2025-26,2025_CERWI_120304_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"15,250",Yes,percentage,1.0%,Nil,Nil,04-Nov-2025 06:00 PM,13-Nov-2025 11:00 AM,04-Nov-2025 06:00 PM,12-Nov-2025 05:00 PM,04-Nov-2025 06:00 PM ,12-Nov-2025 04:00 PM ,04-Nov-2025 06:00 PM,12-Nov-2025 05:00 PM,Executive Engineer,"EXECUTIVE ENGINEER RURAL WORKS DIVISION, BARAGARH",AOC
,,,,,,,,,2,3214399,GIRIJA SHANKAR DEBTA,11-Nov-2025 06:01 PM,Rejected-Finance,L2,21-Jan-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,3214707,PRIYABRATA DEBTA,11-Nov-2025 07:11 PM,Rejected-Finance,L3,21-Jan-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3216737,SAMPADA SAHU,12-Nov-2025 12:43 PM,Rejected-Finance,Unsuccessful Bidder,21-Jan-2026 07:29 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
