S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage
1.0,3207887.0,BISWABHARATI SUTAR,INR,"1,615,191",Finance,10 nos bidders participate in the above tender work,Ardhendu Sekhar Lenka,11-Nov-2025 07:20 PM,,BOQ Comparative Chart,DFO CUTTACK FOREST DIVISION,Internal,DFO ACF SR ASST,Anil Kumar Ray,07-Jan-2026 04:37 PM,finsummary_559740.pdf (601.01 KB),Forest Environment and Climate Change Department||RCCF Angul||DFO Cuttack,2025_DFOCU_120303_1,DFO-CTC-01 OF 2025-26,Construction of ACF Quarter at Division Office Campus of Cuttack Forest Division under Dalijora Range in the District of Cuttack under State Plan Scheme for the Year 2025_26,DFO Cuttack Foerst Division,Internal,DFO ACF Sr Asst,Anil Kumar Ray,07-Jan-2026 04:27 PM,techsummary_559740.pdf (601.01 KB),1,3207887,BISWABHARATI SUTAR,10-Nov-2025 03:02 PM,Accepted-AOC,Lottery Winner,07-Jan-2026 04:51 PM,07-Jan-2026,"INR 1,615,191",90.0,Anil Kumar Ray,07-Jan-2026 04:50 PM,WC1.pdf (732.00 KB),Issued Work Order to Biswabharati Sutar,AOC,1.0,ICICI BANK,"16,102",Yes,percentage,1.0%,Nil,Nil,Construction of ACF Quarter at Division Office Campus of Cuttack Forest Division under Dalijora Range in the District of Cuttack under State Plan Scheme for the Year 2025_26,Civil works,Please refer Tender Document ,NA ,"16,10,170",Civil Works - Buildings,NA ,Tender,90.0,NA ,O/o the DFO Cuttack Forest Division Cuttack,753010.0,NA ,NA ,NA ,O/o the DFO Cuttack Forest Division Cuttack,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Detail Tender Call Notice,"6,000",Nil,Nil,No,Divisional Forest Officer,"O/o the DFO Cuttack Forest Division, Ghatakula Nuapada Madhupatana Cuttack",Forest Environment and Climate Change Department||RCCF Angul||DFO Cuttack,DFO-CTC-01 OF 2025-26,2025_DFOCU_120303_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,30-Oct-2025 09:00 AM,11-Nov-2025 11:00 AM,30-Oct-2025 09:00 AM,10-Nov-2025 05:00 PM,NA ,NA ,30-Oct-2025 09:00 AM,10-Nov-2025 05:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3197718,BISWAJIT SUTAR,08-Nov-2025 04:21 PM,Rejected-Finance,Lottery loser,07-Jan-2026 04:37 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3208378,DILLIP KUMAR DAS,10-Nov-2025 04:54 PM,Rejected-Finance,Lottery loser,07-Jan-2026 04:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3206257,Ganesh Chandra Swain,10-Nov-2025 12:32 PM,Rejected-Finance,Lottery loser,07-Jan-2026 04:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3201354,MINATI MOHAPATRA,09-Nov-2025 01:17 PM,Rejected-Finance,Lottery loser,07-Jan-2026 04:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3201405,PRAKASH KUMAR ROUTRAY,09-Nov-2025 01:24 PM,Rejected-Finance,Lottery loser,07-Jan-2026 04:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3206112,RAJENDRA KUMAR MOHAPATRA,10-Nov-2025 12:19 PM,Rejected-Finance,Lottery loser,07-Jan-2026 04:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3208860,SAROJ KUMAR PRADHAN,10-Nov-2025 04:49 PM,Rejected-Finance,Lottery loser,07-Jan-2026 04:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3201300,Sunil Kumar Mallick (S.C),09-Nov-2025 01:12 PM,Rejected-Finance,Lottery loser,07-Jan-2026 04:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3194543,VACRON TECHNOLOGY PRIVATE LIMITED,07-Nov-2025 05:04 PM,Rejected-Finance,Lottery loser,07-Jan-2026 04:37 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
