Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
"BDO, Banspal","BDO, Banspal","6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, GST, RC, PAN and Affidavit",Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||BANSAPAL Block,BDO Banspal - 1 / 2025-26,2025_PRBNS_113791_16,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"14,705",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,26-May-2025 10:00 AM,03-Jun-2025 11:30 AM,26-May-2025 10:00 AM,02-Jun-2025 05:00 PM,NA ,NA ,26-May-2025 10:00 AM,02-Jun-2025 05:00 PM,Construction of Additional Class Room at Gopabandhu Nodal high school Fuljhar,Construction of Additional Class Room at Gopabandhu Nodal high school Fuljhar,Please refer Tender documents. ,NA ,"14,70,489",Civil Works - Buildings,NA ,Tender,90.0,180.0,Banspal Block of Keronjhar District,758085.0,NA ,NA ,NA ,"Block Office, Banspal",No ,No,AOC,BDO Banspal,Internal,,Raja Ranjit Pratap Bal,22-Jan-2026 04:25 PM,techsummary_541130.pdf (1753.52 KB),BDO Banspal,Internal,,Raja Ranjit Pratap Bal,22-Jan-2026 04:28 PM,finsummary_541130.pdf (1753.52 KB),Finance,4 nos,Raja Ranjit Pratap Bal,03-Jun-2025 04:05 PM,,BOQ Comparative Chart,1,2948568,JHUNU SETHY,02-Jun-2025 01:45 PM,Rejected-AOC,Dis Qualified,22-Jan-2026 04:32 PM,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Keonjhar||BANSAPAL Block,2025_PRBNS_113791_16,BDO Banspal - 1 / 2025-26,Construction of Additional Class Room at Gopabandhu Nodal high school Fuljhar,1.0,2946430.0,SURESH CHANDRA DALANAYAK,INR,"1,499,898.76",22-Jan-2026,"INR 1,374,907.2",180.0,Raja Ranjit Pratap Bal,22-Jan-2026 04:32 PM,Banspal.pdf (1754.00 KB),AOC
,,,,,,,,.xls,Bill of Quantities,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2942903,M/S PRADHAN ENTERPRISES,02-Jun-2025 04:19 PM,Rejected-AOC,Dis Qualified,22-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,2942758,RUDIA GIRI,02-Jun-2025 05:32 AM,Rejected-AOC,Dis Qualified,22-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,2946430,SURESH CHANDRA DALANAYAK,02-Jun-2025 01:52 PM,Accepted-AOC,Qualified,22-Jan-2026 04:32 PM,,,,,,,,,,,,,,,,AOC
