S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,3137539.0,DILLIP KUMAR SAHOO,INR,"1,728,488",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_119404_28,Tender Online Divn. BBSR - 13/2025-26,PWD to Patana Godipatana road,1,3135838,BIBHU PRASAD BEHERA,19-Oct-2025 02:04 PM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:04 PM,27-Jan-2026,"INR 1,728,488",60.0,Nirmal Chandra Jena,27-Jan-2026 04:50 PM,godipatna.pdf (253.00 KB),AoC,Finance,17 nos. of bidders are participated,Sushree Behera,23-Oct-2025 03:31 PM,,BOQ Comparative Chart,"SE, RWD, BBSR",Internal,Sr.DAOEstimator,Nirmal Chandra Jena,17-Dec-2025 04:10 PM,finsummary_555692.pdf (670.79 KB),"SE, RWD, BBSR",Internal,Sr. DAOEstimator,Nirmal Chandra Jena,17-Dec-2025 04:04 PM,techsummary_555692.pdf (670.79 KB),AOC,S.E. R.W. Divn. BBSR,O/o S.E. R.W. Divn. BBSR,"20,340",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,PWD to Patana Godipatana road,PWD to Patana Godipatana road,Please refer Tender documents. ,NA ,"20,34,000",Civil Works - Roads,NA ,Tender,90.0,60.0,S.E. R.W. Divn. BBSR,751013.0,NA ,NA ,NA ,O/o S.E. R.W. Divn. BBSR,No ,No,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 13/2025-26,2025_CERWI_119404_28,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,13-Oct-2025 05:55 PM,22-Oct-2025 11:00 AM,13-Oct-2025 05:55 PM,20-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 05:55 PM,20-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,AOC
,,,,,,,,,2,3134911,BIBHU PRASAD SAHOO,18-Oct-2025 05:01 PM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,AOC
,,,,,,,,,3,3135026,BICHITRA KUMAR SUBUDHI,20-Oct-2025 01:12 PM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,3130425,DHARAMA DORA,18-Oct-2025 10:32 AM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,3132754,DIBAKAR PANDA,17-Oct-2025 03:48 PM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,6,3136394,DIBYA SUPPLIERS,19-Oct-2025 06:49 PM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,7,3137539,DILLIP KUMAR SAHOO,20-Oct-2025 12:23 PM,Accepted-AOC,L1 Bidder,27-Jan-2026 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,8,3138463,LAXMIDHAR PRADHAN,20-Oct-2025 03:55 PM,Rejected-Finance,Not success in lottery,17-Dec-2025 04:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,9,3132742,M/s AKSHAYA KUMAR PARIDA,18-Oct-2025 05:22 PM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,10,3137712,PAPU BEHERA,20-Oct-2025 12:41 PM,Rejected-Technical,Technically Disqualified,17-Dec-2025 04:04 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
