Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,.,Rajesh Pradhan,22-Jan-2026 04:15 PM,finance_559726.pdf,BOQ Comparative Chart,22-Jan-2026,"INR 2,871,701",60.0,Rajesh Pradhan,22-Jan-2026 04:30 PM,327.pdf (608.00 KB),1.0,3189787.0,TECHNO ASSOCIATES,INR,"2,871,701",CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,2025_CERWI_120269_73,07Online)/RWD/BPD/2025-26,S/R to R.D.Road to Jogibandh Road,1,3186730,AMARENDRA KUMAR BASHA,05-Nov-2025 10:15 PM,Rejected-AOC,unsuccessful tenderer,22-Jan-2026 04:31 PM,R.Pradhan,Internal,,Rajesh Pradhan,22-Jan-2026 04:18 PM,techsummary_559726.pdf (194.98 KB),R.Pradhan,Internal,,Rajesh Pradhan,22-Jan-2026 04:24 PM,finsummary_559726.pdf (194.97 KB),AOC,"S.E.R.W.Division, Baripada","S.E.R.W.Division, Baripada",S/R to R.D.Road to Jogibandh Road,S/R to R.D.Road to Jogibandh Road,Please refer Tender documents. ,NA ,"33,78,000",Civil Works - Roads,NA ,Tender,90.0,60.0,"Baripada, Mayurbhanj",757002.0,NA ,NA ,NA ,"R.W.Division, Baripada",No ,No,30-Oct-2025 06:55 PM,06-Nov-2025 05:30 PM,30-Oct-2025 06:55 PM,06-Nov-2025 05:00 PM,30-Oct-2025 06:55 PM ,06-Nov-2025 03:00 PM ,30-Oct-2025 06:55 PM,06-Nov-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,RC PAN GSTIN Affidavit and other documents as per DTCN,"33,780",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA||RW Division Baripada,07Online)/RWD/BPD/2025-26,2025_CERWI_120269_73,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,3187067,ASISHRANJAN SETHI,06-Nov-2025 06:02 AM,Rejected-AOC,unsuccessful tenderer,22-Jan-2026 04:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3187310,BHAGYABATI BEHERA,06-Nov-2025 12:38 PM,Rejected-AOC,unsuccessful tenderer,22-Jan-2026 04:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3182090,BISHNUPADA PANDA,04-Nov-2025 07:21 PM,Rejected-AOC,unsuccessful tenderer,22-Jan-2026 04:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3189304,DEBABRATA GOCHHAYAT,06-Nov-2025 02:51 PM,Rejected-AOC,unsuccessful tenderer,22-Jan-2026 04:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3182050,DIBYARANJAN SALANGI,06-Nov-2025 08:55 AM,Rejected-AOC,unsuccessful tenderer,22-Jan-2026 04:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3176048,DIPAK KUMAR GIRI,04-Nov-2025 02:19 PM,Rejected-AOC,unsuccessful tenderer,22-Jan-2026 04:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3172834,KAMALAKANTA BARIK,01-Nov-2025 05:57 PM,Rejected-AOC,unsuccessful tenderer,22-Jan-2026 04:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3181466,NILAMADHABA SAHU,04-Nov-2025 04:36 PM,Rejected-AOC,unsuccessful tenderer,22-Jan-2026 04:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3184015,SANJEET KUMAR DAS,05-Nov-2025 12:55 PM,Rejected-AOC,unsuccessful tenderer,22-Jan-2026 04:31 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
