Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,20 Nos Bidders Participated,Abinash Barick,07-Nov-2025 01:54 PM,,BOQ Comparative Chart,1.0,3187647.0,PUSPALATA MOHANTY,INR,"1,426,574.79",CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION I JAJPUR,2025_CERWI_120427_2,Tender Online 05 OF 2025-26,S/R to Ankula Panikoili Road to Bajarapada via Namtikiri Road in the district of Jajpur for the year 2025-26,SUPERINTENDING ENGINEER,Internal,"DAO,ESTIMATOR",Swarna Prava Jena,04-Jan-2026 09:13 AM,finsummary_560507.pdf (459.01 KB),SUPERINTENDING ENGINEER,Internal,"DAO,ESTIMATOR",Swarna Prava Jena,01-Jan-2026 05:21 PM,techsummary_560507.pdf (459.01 KB),1,3183230,ANANTA NARAYAN JENA,05-Nov-2025 10:25 AM,Rejected-AOC,Not Qualify,04-Jan-2026 09:26 AM,04-Jan-2026,"INR 1,426,574.79",30.0,Swarna Prava Jena,04-Jan-2026 09:26 AM,05.pdf (459.00 KB),AWARD OF CONTRACT,AOC,S/R to Ankula Panikoili Road to Bajarapada via Namtikiri Road in the district of Jajpur for the year 2025-26,S/R to Ankula Panikoili Road to Bajarapada via Namtikiri Road in the district of Jajpur for the year 2025-26,Please refer Tender documents. ,NA ,"16,78,126",Civil Works - Roads,NA ,Tender,90.0,30.0,JAJPUR,755007.0,NA ,NA ,NA ,"O/o The S.E, R.W.Division,Jajpur",No ,No,"17,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAPER COST, EMD, PAN, GSTIN, RC, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",31-Oct-2025 04:45 PM,07-Nov-2025 11:00 AM,31-Oct-2025 04:45 PM,06-Nov-2025 05:00 PM,31-Oct-2025 04:45 PM ,04-Nov-2025 05:00 PM ,31-Oct-2025 04:45 PM,06-Nov-2025 05:00 PM,1.0,ICICI BANK,"Superintending Engineer,","Rural Works Division,Jajpur",CE RW I||RWCIRCLE-KENDRAPARA||RWDIVISION I JAJPUR,Tender Online 05 OF 2025-26,2025_CERWI_120427_2,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3180243,ANUSUYA SAHOO,05-Nov-2025 06:50 PM,Rejected-AOC,Not Qualify,04-Jan-2026 09:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3181383,BANAJA TRIPATHY,05-Nov-2025 01:39 PM,Rejected-AOC,Not Qualify,04-Jan-2026 09:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3175306,BIKASH SAHOO,04-Nov-2025 06:19 PM,Rejected-AOC,Not Qualify,04-Jan-2026 09:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3180841,BISHNU CHARAN BEHERA,05-Nov-2025 12:52 PM,Rejected-AOC,Not Qualify,04-Jan-2026 09:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3176227,DHARMENDRA KUMAR PARIDA,06-Nov-2025 11:13 AM,Rejected-AOC,Not Qualify,04-Jan-2026 09:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3177577,LAXMIDHAR SAHOO,05-Nov-2025 08:00 PM,Rejected-AOC,Not Qualify,04-Jan-2026 09:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3188257,LILIMA SAHOO,06-Nov-2025 12:37 PM,Rejected-AOC,Not Qualify,04-Jan-2026 09:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3180283,MADHULITA ROUTRAY,04-Nov-2025 12:24 PM,Rejected-AOC,Not Qualify,04-Jan-2026 09:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3179965,MAHESWAR SAHOO,05-Nov-2025 06:46 PM,Rejected-AOC,Not Qualify,04-Jan-2026 09:26 AM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
