Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Chief Construction Engineer,R.W Circle KPD-JJP","O/o CCE,R.W Circle,Kendrapara-Jajpur",CE RW I||RWCIRCLE-KENDRAPARA,Tender Online RCK-13/25,2025_CERWI_117332_3,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Constn. of Bridge over Local Nallah on Sukinda Block Office to NH-53 via Purunapani PS Road in the Dist. of Jajpur under SBY for the year 2024-25.,Construction of H.L Bridge under SBY for the year 2024-25.,Please refer tender documents ,NA ,"3,99,23,090",Civil Works - Bridges,NA ,Tender,90.0,365.0,Jajpur,755001.0,NA ,NA ,NA ,"O/o CCE,R.W Circle,Kendrapara-Jajpur",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Paper cost, GST, EMD PAN,RC,Affidavit regarding correctness","3,99,231",Yes,percentage,1.0%,Nil,Nil,25-Aug-2025 04:00 PM,16-Sep-2025 11:00 AM,25-Aug-2025 04:00 PM,15-Sep-2025 05:00 PM,25-Aug-2025 04:00 PM ,12-Sep-2025 02:00 PM ,25-Aug-2025 04:00 PM,15-Sep-2025 05:00 PM,22-Oct-2025 11:00 AM,AOC,1,3080921,AMRITA DAS,15-Sep-2025 01:08 PM,Rejected-Technical,"Disqualified as per clause no 14 (e) (i), (ii) and (f) of Qualification Criteria for Technical Qualification of DTCN.",16-Oct-2025 07:05 PM,16-Jan-2026,"INR 33,938,619",365.0,Satyajit Dalai,16-Jan-2026 05:42 PM,6025.pdf (304.00 KB),The work has been awarded to Chandan Pradhan,CCE,Internal,,Satyajit Dalai,16-Oct-2025 07:05 PM,22-Oct-2025 11:00 AM,techsummary_550471.pdf (748.58 KB),Finance,12 no of bidders have been participated,Satyajit Dalai,22-Oct-2025 02:11 PM,,BOQ Comparative Chart,CE RW I||RWCIRCLE-KENDRAPARA,2025_CERWI_117332_3,Tender Online RCK-13/25,Constn. of Bridge over Local Nallah on Sukinda Block Office to NH-53 via Purunapani PS Road in the Dist. of Jajpur under SBY for the year 2024-25.,Technical,16 no of bidders have been participated.,Suchitra Kar,16-Sep-2025 02:47 PM,,CCE,Internal,,Satyajit Dalai,16-Jan-2026 05:35 PM,finsummary_550471.pdf (133.45 KB),1.0,3081525.0,CHANDAN PRADHAN,INR,"33,938,619",AOC
,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,"Labour license, Similar nature of work, Work in hand, Annual Turn Over, No relation certificate",,,,,,,,,,,,,,,,AOC,2,3081333,ASISHA KUMAR SAMAL,15-Sep-2025 02:13 PM,Rejected-Finance,Rejected bidder,16-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery own obtained on hireBalance sheet, Bidder Contact address and other documents as per DTCN",,,,,,,,,,,,,,,,AOC,3,3080156,BHUBANESWARI CONSTRUCTION,15-Sep-2025 12:15 PM,Rejected-Finance,Rejected bidder,16-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,4,3081525,CHANDAN PRADHAN,15-Sep-2025 03:10 PM,Accepted-AOC,The work has been awarded to Chandan Pradhan,16-Jan-2026 05:42 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,3079859,DEBASHIS MISHRA,14-Sep-2025 09:48 PM,Rejected-Finance,Rejected bidder,16-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,3080730,Harekrushna Sahoo,15-Sep-2025 01:22 PM,Rejected-Finance,Rejected bidder,16-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,3062320,Lalu Prasad Nayak,03-Sep-2025 12:54 PM,Rejected-Finance,Rejected bidder,16-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,3081195,Manas Kumar Samal,15-Sep-2025 01:45 PM,Rejected-Technical,"Disqualified as per clause no 14 (e) (i), (ii) and (f) of Qualification Criteria for Technical Qualification of DTCN",16-Oct-2025 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,3080954,M/S AMIYA KUMAR JENA,15-Sep-2025 01:03 PM,Rejected-Finance,Rejected bidder,16-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,3079006,PRAGYAN CONSTRUCTION,13-Sep-2025 08:30 PM,Rejected-Finance,Rejected bidder,16-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,11,3080703,RAJIV KUMAR BISWAL,15-Sep-2025 11:53 AM,Rejected-Finance,Rejected bidder,16-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,12,3078501,SHIBASANKAR RAJ,13-Sep-2025 02:02 PM,Rejected-Finance,Rejected bidder,16-Jan-2026 05:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,13,3081158,SMRUTI RANJAN PARIDA,15-Sep-2025 01:33 PM,Rejected-Technical,"Disqualified as per clause no 14 (e) (i), (ii) of Qualification Criteria for Technical Qualification of DTCN",16-Oct-2025 07:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
