EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"2,542",Yes,percentage,1.0%,Nil,Nil,SE RW Division Deogarh,O/o the SE RW Division Deogarh,1.0,Fee/PreQual/Technical/Finance,.pdf,TCN,"Repair and maintenance of Govt Ayurvedic Dispensary,Dudhianali",Building,Please refer Tender documents. ,NA ,"2,54,236",Civil Works - Buildings,NA ,Tender,90.0,30.0,Deogarh,768119.0,NA ,NA ,NA ,O/o the SE RW Division Deogarh,No ,No,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-DEOGARH,SERWDGH-Online-03 of 2025-26,2025_CERWI_119448_9,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,14-Oct-2025 05:00 PM,23-Oct-2025 11:00 AM,14-Oct-2025 05:00 PM,22-Oct-2025 05:00 PM,14-Oct-2025 05:00 PM ,21-Oct-2025 05:00 PM ,14-Oct-2025 05:00 PM,22-Oct-2025 05:00 PM,1.0,ICICI BANK,"2,000",0.0,Nil,Nil,No,AOC,CE RW I||RWCIRCLE-SAMBALPUR||RWDIVISION-DEOGARH,2025_CERWI_119448_9,SERWDGH-Online-03 of 2025-26,"Repair and maintenance of Govt Ayurvedic Dispensary,Dudhianali",SE,Internal,,Subash Chandra Besra,20-Jan-2026 12:19 PM,finsummary_555994.pdf (143.37 KB),Finance,Admitted,Subash Chandra Besra,24-Oct-2025 07:21 PM,,BOQ Comparative Chart,1.0,3139879.0,ANIL KUMAR SAHU,INR,"216,126",20-Jan-2026,"INR 216,126",30.0,Subash Chandra Besra,20-Jan-2026 12:23 PM,agt.pdf (143.00 KB),1,3141260,AKASH KUMAR SAHOO,21-Oct-2025 09:49 PM,Rejected-AOC,Unsuccessful,20-Jan-2026 12:23 PM,SE,Internal,,Subash Chandra Besra,20-Jan-2026 12:16 PM,techsummary_555994.pdf (143.37 KB),AOC
,,,,,,,,,,.pdf,DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3139879,ANIL KUMAR SAHU,21-Oct-2025 01:59 PM,Accepted-AOC,Drawn the agreement,20-Jan-2026 12:23 PM,,,,,,,AOC
,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3135881,DJ CONSTRUCTIONS,19-Oct-2025 04:06 PM,Rejected-AOC,Unsuccessful,20-Jan-2026 12:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3143107,JUDHISTIR KISAN,22-Oct-2025 04:22 PM,Rejected-AOC,Unsuccessful,20-Jan-2026 12:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3139195,LOKANATH GARTIA,21-Oct-2025 11:26 AM,Rejected-AOC,Unsuccessful,20-Jan-2026 12:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3140409,RAJALAXMI SAHU,21-Oct-2025 05:12 PM,Rejected-AOC,Unsuccessful,20-Jan-2026 12:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3142809,Rupananda Sahu,22-Oct-2025 02:11 PM,Rejected-AOC,Unsuccessful,20-Jan-2026 12:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3140735,SANTOSH KUMAR ROUL,22-Oct-2025 12:31 PM,Rejected-AOC,Unsuccessful,20-Jan-2026 12:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3141379,SOUMYA RANJAN BEHERA,22-Oct-2025 09:45 AM,Rejected-AOC,Unsuccessful,20-Jan-2026 12:23 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3141900,SRIKANTA PRADHAN,22-Oct-2025 11:20 AM,Rejected-AOC,Unsuccessful,20-Jan-2026 12:23 PM,,,,,,,AOC
