Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
Finance,40 Nos of bidders admitted,Haripriya Behera,05-Jan-2026 07:56 AM,,BOQ Comparative Chart,05-Jan-2026,"INR 3,771,634",60.0,Haripriya Behera,05-Jan-2026 08:12 AM,PhulbadiaAgt.pdf (676.00 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_120111_10,01(Onilne)/RWD/UDALA/2025-26,SR to Phulbadia Hill Block Phulbadia for the year 2025-26.,1.0,3184346.0,DEBASHIS BARIK,INR,"3,771,634",1,3170807,ABINASH BEHERA,31-Oct-2025 08:10 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,SE RWD Udala,Internal,,Haripriya Behera,05-Jan-2026 07:59 AM,techsummary_558490.pdf (1842.89 KB),SE RWD Udala,Internal,,Haripriya Behera,05-Jan-2026 08:06 AM,finsummary_558490.pdf (1842.89 KB),AOC,"6,000",0.0,Nil,Nil,No,SR to Phulbadia Hill Block Phulbadia for the year 2025-26.,SR to Phulbadia Hill Block Phulbadia for the year 2025-26.,Please refer Tender documents. ,NA ,"44,37,000",Civil Works - Roads,NA ,Tender,90.0,60.0,"SERW Division, Udala",757041.0,NA ,NA ,NA ,Office of the SE RWD Udala,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, RC, PAN, GSTIN, Affidavits and other required documents as per DTCN.",SE RWD Udala,SE RWD Udala,28-Oct-2025 11:30 AM,06-Nov-2025 05:30 PM,28-Oct-2025 11:30 AM,06-Nov-2025 05:00 PM,28-Oct-2025 11:30 AM ,06-Nov-2025 03:00 PM ,28-Oct-2025 11:30 AM,06-Nov-2025 05:00 PM,"44,370",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,01(Onilne)/RWD/UDALA/2025-26,2025_CERWI_120111_10,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Date Corrigendum,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,2,3181272,AJAY KUMAR SETHI,04-Nov-2025 03:43 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,Revised DTCN,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3180714,AJIT KUMAR BEHERA,04-Nov-2025 01:42 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3183252,ANIL KUMAR GHADEI,06-Nov-2025 11:53 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3169259,ANUP KUMAR ROUT,06-Nov-2025 02:00 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3182788,ARATI TAREI,06-Nov-2025 02:19 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3175062,ARNAB KUMAR PRADHAN,06-Nov-2025 04:24 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3175921,ARPIT ROUT,03-Nov-2025 05:57 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3186299,BANU MOHANTY,05-Nov-2025 08:31 PM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3185525,BHABANI SHANKAR SETHI,06-Nov-2025 06:38 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,3184115,CHANDAN KUMAR NAYAK,06-Nov-2025 05:32 AM,Rejected-AOC,L1,05-Jan-2026 08:12 AM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
