S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1.0,ICICI BANK,03-Nov-2025 05:00 PM,13-Nov-2025 11:00 AM,03-Nov-2025 05:00 PM,12-Nov-2025 05:00 PM,NA ,NA ,03-Nov-2025 05:00 PM,12-Nov-2025 05:00 PM,Municipal Bodies||Balasore Municipality,BM_04_2025_26,2025_ORULB_120702_29,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Executive Officer, Balasore Municipality","Executive Officer, Balasore Municipality",Construction of CC Road from Digirania MCC Centre to Fishery Colony in Ward No_03,Construction of CC Road from Digirania MCC Centre to Fishery Colony in Ward No_03,Please refer Tender documents. ,NA ,"33,89,831",Civil Works - Others,NA ,Tender,90.0,60.0,Balasore Municipality,756003.0,NA ,NA ,NA ,Balasore Municipality,No ,No,"6,000",0.0,Nil,Nil,No,"33,898",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,DTCN,AOC,EO ME CP AE AEE,Internal,,Pranabananda Sahu,20-Jan-2026 11:42 AM,techsummary_561464.pdf (1806.91 KB),EO ME CP AE AEE,Internal,,Pranabananda Sahu,20-Jan-2026 11:50 AM,finsummary_561464.pdf (1806.91 KB),Finance,Tender open successfully,Pranabananda Sahu,13-Nov-2025 01:31 PM,,BOQ Comparative Chart,1,3192817,Abhimanyu Patra,11-Nov-2025 10:41 AM,Rejected-Finance,L1,20-Jan-2026 11:50 AM,1.0,3213275.0,LIPSA PRAVA SHAW,INR,"2,881,694.55",Municipal Bodies||Balasore Municipality,2025_ORULB_120702_29,BM_04_2025_26,Construction of CC Road from Digirania MCC Centre to Fishery Colony in Ward No_03,20-Jan-2026,"INR 3,389,831",60.0,Pranabananda Sahu,20-Jan-2026 11:53 AM,WO0429.pdf (1521.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,2,3216802,Ajit Mishra,12-Nov-2025 12:47 PM,Rejected-Finance,L1,20-Jan-2026 11:50 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,3194862,BISWAJIT KHATUA,07-Nov-2025 10:23 PM,Rejected-Finance,L1,20-Jan-2026 11:50 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,3192560,BISWANATH MAJHI,11-Nov-2025 11:59 AM,Rejected-Technical,L4,20-Jan-2026 11:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,3214492,DEBASHIS SAHU,12-Nov-2025 11:54 AM,Rejected-Finance,L1,20-Jan-2026 11:50 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,3215070,DINESH KUMAR BEHERA,11-Nov-2025 08:45 PM,Rejected-Technical,L2,20-Jan-2026 11:42 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,3216789,Hari Mallik,12-Nov-2025 12:59 PM,Rejected-Finance,L1,20-Jan-2026 11:50 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,3212960,HARISH CHANDRA ACHARYA,12-Nov-2025 12:19 PM,Rejected-Finance,L1,20-Jan-2026 11:50 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,3213275,LIPSA PRAVA SHAW,12-Nov-2025 12:02 PM,Accepted-AOC,WO,20-Jan-2026 11:54 AM,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,3214033,LOKESH KUMAR PRADHAN,11-Nov-2025 06:06 PM,Rejected-Finance,L1,20-Jan-2026 11:50 AM,,,,,,,,,,,,,,,,AOC
