S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
1.0,3014313.0,BAC CONSTRUCTION AND ENGINEERING PVT LTD,INR,"32,248,603",PHEO||PH Circle Balasore||PH Division Balasore,2025_PHEO_115268_1,SEPHBLS-02 of 2025-26 Dt.01.07.2025,Laying of Clear Water Rising Main to Zonal Reservoir from WTP for Jaleswar Town under AMRUT 2.0,"Er. Manoranjan Jena, Additional Chief Engineer PH Circle Balasore",Internal,"ACE. P.H. Circle, Balasore, ACE PH Division Balasore, PA to ACE PH Circle Balasore, JE (Estr.) PH Circle Balasore, A.E.E. (Estr.), P.H. Division, Balasore, DAO, AEE PH Sub-Division, Balasore",Nabin Chandra Singh,23-Sep-2025 03:59 PM,25-Sep-2025 11:00 AM,techsummary_545452.pdf (1218.44 KB),"Er. Manoranjan Jena, Additional Chief Engineer PH Circle Balasore",Internal,"ACE. P.H. Circle, Balasore, ACE PH Division Balasore, PA to ACE PH Circle Balasore, JE (Estr.) PH Circle Balasore, A.E.E. (Estr.), P.H. Division, Balasore, DAO, AEE PH Sub-Division, Balasore",Nabin Chandra Singh,03-Jan-2026 01:12 PM,finsummary_545452.pdf (237.22 KB),03-Jan-2026,"INR 32,248,603",240.0,Nabin Chandra Singh,03-Jan-2026 01:18 PM,WorkorderBAC.pdf (2460.00 KB),Tender Awarded to BAC Construction and Engineering PVC Ltd. due to L1 selected in Transparent Lottery System,Finance,Financial Bid opened,Nabin Chandra Singh,30-Dec-2025 04:07 PM,finance_545452.pdf,BOQ Comparative Chart,1,3015275,ADITYA ENGINEERING SERVICES,28-Jul-2025 04:01 PM,Rejected-Finance,Quoted rate is high than the other bidders,03-Jan-2026 01:12 PM,Technical,Technical Bid opened,Nabin Chandra Singh,23-Sep-2025 03:50 PM,technical_545452.pdf,AOC,1.0,Fee/PreQual/Technical,.pdf,"GST Certificate, PAN, Bidder RC (CDMS), Affidavit, Cost of Tender Paper, EMD","Superintending Engineer, PH Division, Balasore","Office of the Executive Engineer, P.H. Division, Balasore",1.0,ICICI BANK,09-Jul-2025 11:00 AM,29-Jul-2025 11:00 AM,09-Jul-2025 11:00 AM,28-Jul-2025 05:00 PM,09-Jul-2025 11:00 AM ,23-Jul-2025 05:00 PM ,09-Jul-2025 11:00 AM,28-Jul-2025 05:00 PM,25-Sep-2025 11:00 AM,PHEO||PH Circle Balasore||PH Division Balasore,SEPHBLS-02 of 2025-26 Dt.01.07.2025,2025_PHEO_115268_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,Laying of Clear Water Rising Main to Zonal Reservoir from WTP for Jaleswar Town under AMRUT 2.0,Laying of Clear Water Rising Main to Zonal Reservoir from WTP for Jaleswar Town under AMRUT 2.0,Please refer Tender documents. ,NA ,"3,79,35,000",Civil Works - Water Works,NA ,Tender,120.0,240.0,Jaleswar Municipality,756032.0,NA ,NA ,NA ,"O/o the E.E. P.H. Division, Balasore",No ,No,"3,80,000",Yes,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3014589,AJAYA KUMAR LENKA,28-Jul-2025 12:26 PM,Rejected-Finance,Not Qualified in Transparent Lottery System.,03-Jan-2026 01:12 PM,,,,,,AOC,,,.pdf,"Certificates, Formats, Affidavits, Schedules and other documents if any as per DTCN",,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3013780,AKSHAYA KUMAR SWAIN,28-Jul-2025 12:29 AM,Rejected-Finance,Quoted rate is high than the other bidders,03-Jan-2026 01:12 PM,,,,,,AOC,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3014390,ANUP KUMAR BEHERA,28-Jul-2025 11:56 AM,Rejected-Finance,Not Qualified in Transparent Lottery System.,03-Jan-2026 01:12 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3014313,BAC CONSTRUCTION AND ENGINEERING PVT LTD,28-Jul-2025 10:34 AM,Accepted-AOC,Tender Awarded to BAC Construction and Engineering PVC Ltd. due to L1 selected in Transparent Lottery System,03-Jan-2026 01:18 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3000056,BENUDHARA SETHI,28-Jul-2025 12:36 PM,Rejected-Finance,Not Qualified in Transparent Lottery System.,03-Jan-2026 01:12 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3013212,BIJAN ROUT,27-Jul-2025 10:30 AM,Rejected-Finance,Not Qualified in Transparent Lottery System.,03-Jan-2026 01:12 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3015090,JRC Infra,28-Jul-2025 02:50 PM,Rejected-Finance,Quoted rate is high than the other bidders,03-Jan-2026 01:12 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3009341,NILAKANTHA MOHANTA,28-Jul-2025 09:08 AM,Rejected-Finance,Not Qualified in Transparent Lottery System.,03-Jan-2026 01:12 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3012801,Nursingh Charan Nayak,28-Jul-2025 03:47 PM,Rejected-Finance,Quoted rate is high than the other bidders,03-Jan-2026 01:12 PM,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
