Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper Cost, EMD, RC, PAN, GSTIN, Affidavits and other required documents as per DTCN.",SR to PWD Road to Tadki Road for the year 2025-26.,SR to PWD Road to Tadki Road for the year 2025-26.,Please refer Tender documents. ,NA ,"40,34,000",Civil Works - Roads,NA ,Tender,90.0,60.0,"SERW Division, Udala",757041.0,NA ,NA ,NA ,Office of the SE RWD Udala,No ,No,"6,000",0.0,Nil,Nil,No,SE RWD Udala,SE RWD Udala,1.0,ICICI BANK,CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,01(Onilne)/RWD/UDALA/2025-26,2025_CERWI_120111_20,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Date Corrigendum,Date,,"40,340",Yes,percentage,1.0%,Nil,Nil,28-Oct-2025 11:45 AM,06-Nov-2025 05:30 PM,28-Oct-2025 11:45 AM,06-Nov-2025 05:00 PM,28-Oct-2025 11:45 AM ,06-Nov-2025 03:00 PM ,28-Oct-2025 11:45 AM,06-Nov-2025 05:00 PM,AOC,SE RWD Udala,Internal,,Haripriya Behera,08-Jan-2026 08:54 AM,finsummary_558517.pdf (2855.24 KB),SE RWD Udala,Internal,,Haripriya Behera,08-Jan-2026 08:45 AM,techsummary_558517.pdf (2855.24 KB),CE RW I||RWCIRCLE-BARIPADA||RW Division Udala,2025_CERWI_120111_20,01(Onilne)/RWD/UDALA/2025-26,SR to PWD Road to Tadki Road for the year 2025-26.,1.0,3176261.0,RAMJIT MARANDI,INR,"3,428,808",1,3189586,ABHIJIT MOHAPATRA,06-Nov-2025 03:30 PM,Rejected-AOC,L1,08-Jan-2026 08:59 AM,08-Jan-2026,"INR 3,428,808",60.0,Haripriya Behera,08-Jan-2026 08:59 AM,No20A.pdf (677.00 KB),Finance,44 Nos of bidders admitted,Haripriya Behera,08-Jan-2026 08:41 AM,,BOQ Comparative Chart,AOC
,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,Revised DTCN,Other,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3170795,ABINASH BEHERA,31-Oct-2025 07:59 PM,Rejected-AOC,L1,08-Jan-2026 08:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3181233,AJAY KUMAR SETHI,04-Nov-2025 03:33 PM,Rejected-AOC,L1,08-Jan-2026 08:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3183260,ANIL KUMAR GHADEI,06-Nov-2025 11:57 AM,Rejected-AOC,L1,08-Jan-2026 08:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3182829,ARATI TAREI,06-Nov-2025 02:34 AM,Rejected-AOC,L1,08-Jan-2026 08:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3173164,ARNAB KUMAR PRADHAN,06-Nov-2025 05:03 AM,Rejected-AOC,L1,08-Jan-2026 08:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3175936,ARPIT ROUT,03-Nov-2025 06:24 AM,Rejected-AOC,L1,08-Jan-2026 08:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3176451,ARUN KUMAR SARGHARIA,04-Nov-2025 11:43 AM,Rejected-AOC,L1,08-Jan-2026 08:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3183508,BISHWARANJAN SALANGI,06-Nov-2025 03:49 PM,Rejected-AOC,L1,08-Jan-2026 08:59 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3178612,CHANDAN KUMAR BEHERA,05-Nov-2025 04:01 PM,Rejected-AOC,L1,08-Jan-2026 08:59 AM,,,,,,,,,,,,,AOC
