Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Lottery on dtd. 30.06.2025 from 3.30PM,Satyajit Dalai,28-Jun-2025 02:49 PM,finance_538645.pdf,BOQ Comparative Chart,1.0,Revocation,For Modification,24-Jun-2025 05:30 PM,Committee.pdf ,529.32,Technical Opening,Superintending Engineer,Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Harish Chandra Purty,24-Jun-2025 05:50 PM,24-Jun-2025 06:00 PM,techsummary_538645.pdf (546.33 KB),1,2925210,BASANT SWAIN,19-May-2025 03:58 PM,Rejected-Technical,Disqualified,24-Jun-2025 05:50 PM,20-Aug-2025,"INR 7,688,003",90.0,Mausumi Mishra,31-Jan-2026 08:43 PM,NIgama.pdf (445.00 KB),1.0,2924913.0,JITENDRA PRASAD BEHERA,INR,"6,535,571",Superintending Engineer,Internal,"DAO, Estimator, AEE, RW, Sub-Division, Nimapara/ Konark",Harish Chandra Purty,20-Aug-2025 11:55 AM,finsummary_538645.pdf (476.98 KB),CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,2025_CERWI_113166_1,Tender-Online-Divn.NPR-01/2025-26,Construction of Multipurpose Hall Building at Nigamananda Mahila Mahavidyalaya Charichhaka Dist Puri for the Project Sanctioned for the Financial Year 2024-25,Technical,List Attached,Harish Chandra Purty,24-Jun-2025 05:45 PM,,AOC,"76,880",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,"PAPER COST, EMD, PAN, GSTIN, RC, AFFIDAVIT AND OTHER DOCUMENTS AS PER DTCN",Construction of Multipurpose Hall Building at Nigamananda Mahila Mahavidyalaya Charichhaka Dist Puri for the Project Sanctioned for the Financial Year 2024-25,Construction of Multipurpose Hall Building at Nigamananda Mahila Mahavidyalaya Charichhaka Dist Puri for the Project Sanctioned for the Financial Year 2024-25,NA ,NA ,"76,88,003",Civil Works - Buildings,NA ,Tender,90.0,90.0,Puri,752106.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, NIMAPARA",No ,No,08-May-2025 11:00 AM,20-May-2025 11:00 AM,08-May-2025 11:00 AM,19-May-2025 05:00 PM,08-May-2025 11:00 AM ,17-May-2025 05:00 PM ,08-May-2025 11:00 AM,19-May-2025 05:00 PM,24-Jun-2025 06:00 PM,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,Divisional Officer,"RURAL WORKS DIVISION, NIMAPARA",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-NIMAPADA,Tender-Online-Divn.NPR-01/2025-26,2025_CERWI_113166_1,No,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,2,2924892,BISWOJIT PATTANAIK,19-May-2025 01:43 PM,Rejected-Technical,Disqualified,24-Jun-2025 05:50 PM,,,,,,,2.0,2925301.0,KAILASH MALLICK,INR,"6,535,571",,,,,,,,,,,,,,,,AOC,,,,,,,2.0,Finance,.xls,"No Relationship Certificate, ATO work Experience and required documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,3,2918141,DIPTI RANJAN MOHANTY,15-May-2025 03:22 PM,Rejected-Technical,Disqualified,24-Jun-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,4,2924781,DIPTIREKHA BEHERA,19-May-2025 01:15 PM,Rejected-Technical,Disqualified,24-Jun-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,5,2924913,JITENDRA PRASAD BEHERA,19-May-2025 03:05 PM,Accepted-AOC,Work has been awarded to in lottery system,31-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,6,2925301,KAILASH MALLICK,19-May-2025 04:34 PM,Accepted-AOC,Not Selected in lottery system,31-Jan-2026 08:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,7,2925371,Lalita Mohanty,19-May-2025 04:57 PM,Rejected-Technical,Disqualified,24-Jun-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,8,2923594,LINGARAJ PARIDA,18-May-2025 04:33 PM,Rejected-Technical,Disqualified,24-Jun-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,9,2924510,RANAJIT SWAIN,19-May-2025 12:20 PM,Rejected-Technical,Disqualified,24-Jun-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,10,2925245,SUMANTA KUMAR SAHOO,19-May-2025 03:56 PM,Rejected-Technical,Disqualified,24-Jun-2025 05:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
