Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage
Finance,16 nos of bidders are participated.,Shrabani Routray,23-Oct-2025 01:25 PM,,BOQ Comparative Chart,1.0,3135972.0,SAMARESH CHHOTARAY,INR,"1,871,669",CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,2025_CERWI_119404_3,Tender Online Divn. BBSR - 13/2025-26,Hatabasta to Asanapalli road,SE RWD BBSR,Internal,"DAO, Estimator",Nirmal Chandra Jena,17-Nov-2025 04:09 PM,finsummary_555650.pdf (429.12 KB),SE RWD BBSR,Internal,"DAO, Estimator",Nirmal Chandra Jena,17-Nov-2025 04:02 PM,techsummary_555650.pdf (551.56 KB),29-Jan-2026,"INR 1,871,669",60.0,Nirmal Chandra Jena,29-Jan-2026 02:23 PM,hatabastaasanapalli.pdf (237.00 KB),AoC,1,3134955,AJIT KUMAR PAHADSINGH,18-Oct-2025 05:17 PM,Rejected-Technical,Technically Disqualified,17-Nov-2025 04:02 PM,AOC,S.E. R.W. Divn. BBSR,O/o S.E. R.W. Divn. BBSR,Hatabasta to Asanapalli road,Hatabasta to Asanapalli road,Please refer Tender documents. ,NA ,"22,03,000",Civil Works - Roads,NA ,Tender,90.0,60.0,S.E. R.W. Divn. BBSR,751013.0,NA ,NA ,NA ,O/o S.E. R.W. Divn. BBSR,No ,No,"22,030",Yes,percentage,1.0%,Nil,Nil,13-Oct-2025 04:00 PM,22-Oct-2025 11:00 AM,13-Oct-2025 04:00 PM,20-Oct-2025 05:00 PM,NA ,NA ,13-Oct-2025 04:00 PM,20-Oct-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,Tender Cost EMD GSTIN PAN Contractor RC Affidavits undertakings and any other document as per DTCN,CE RW I||RWCIRCLE-BHUBANESWAR||RWDIVISION-BHUBANESWAR,Tender Online Divn. BBSR - 13/2025-26,2025_CERWI_119404_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",0.0,Nil,Nil,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3134927,AMITA BARAD,19-Oct-2025 10:59 AM,Rejected-Technical,Technically Disqualified,17-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BoQ,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3135787,BISWARANJAN PRADHAN,19-Oct-2025 01:48 PM,Rejected-Technical,Technically Disqualified,17-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3130399,DHARAMA DORA,18-Oct-2025 10:29 AM,Rejected-Technical,Technically Disqualified,17-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3137602,DILLIP KUMAR SAHOO,20-Oct-2025 12:29 PM,Rejected-Finance,Not success in lottery,17-Nov-2025 04:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3132758,FIDA HOSEN KHAN,17-Oct-2025 04:45 PM,Rejected-Finance,Not success in lottery,17-Nov-2025 04:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3138343,GOPAL KRUSHNA FATESINGH,20-Oct-2025 03:05 PM,Rejected-Technical,Technically Disqualified,17-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3137592,JYOTIRANJAN BEHERA,20-Oct-2025 12:37 PM,Rejected-Finance,Not success in lottery,17-Nov-2025 04:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3137109,M/S-A.B.SUPPLIERS,19-Oct-2025 11:34 PM,Rejected-Technical,Technically Disqualified,17-Nov-2025 04:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3135757,M S ENTERPRISES,19-Oct-2025 01:43 PM,Rejected-Finance,Not success in lottery,17-Nov-2025 04:09 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
