Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
EE LI DIVISION BHUBANESWAR,EE LI DIVISION BHUBANESWAR,"27,998",Yes,percentage,1.0%,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.pdf,TENDER PAPER COST EMD AND ALL OTHER DOCUMENTS AS PER DTCN,1.0,ICICI BANK,15-Sep-2025 10:00 AM,23-Sep-2025 11:00 AM,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,15-Sep-2025 10:00 AM ,20-Sep-2025 05:00 PM ,15-Sep-2025 10:00 AM,22-Sep-2025 05:00 PM,"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",BID NO-2170/2025-26 DT.08.09.2025,2025_OLIC_117999_14,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,REVIVAL AND RE-ENERGISATION OF PAIKASAHI-I AND II LIP UNDER GOP BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,REVIVAL AND RE-ENERGISATION OF PAIKASAHI-I AND II LIP UNDER GOP BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,Please refer tender docuemnts ,NA ,"27,99,801",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,GOP,752001.0,NA ,NA ,NA ,EE LI DIVISION BHUBANESWAR,No ,No,"7,080",0.0,Nil,Nil,Yes,AOC,EXECUTIVE ENGINEER,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,02-Jan-2026 02:02 PM,finsummary_552503.pdf (964.73 KB),"Orissa Lift Irrigation Corporation||LI,Central Circle, Cuttack||LI,Division, Bhubaneswar",2025_OLIC_117999_14,BID NO-2170/2025-26 DT.08.09.2025,REVIVAL AND RE-ENERGISATION OF PAIKASAHI-I AND II LIP UNDER GOP BLOCK OF PURI DISTRICT UNDER PLAN FUND 2024-25,1.0,3093784.0,SUBHASHREE SWAIN,INR,"2,380,111",Finance,TENDER OPENED,SUJIT KUMAR MOHANTY,23-Sep-2025 02:05 PM,finance_552503.pdf,BOQ Comparative Chart,1,3088747,AGRAWALLA POWER INFRASTRUCTURE,21-Sep-2025 06:14 PM,Rejected-Technical,Rejected,02-Jan-2026 02:00 PM,02-Jan-2026,"INR 2,380,111",90.0,SUJIT KUMAR MOHANTY,02-Jan-2026 02:03 PM,PaikasahiSubhashree14.pdf (965.00 KB),Work order and agreement completed,EXECUTIVE ENGINEER,Internal,"EE,ESTR,DA",SUJIT KUMAR MOHANTY,02-Jan-2026 02:00 PM,techsummary_552503.pdf (964.73 KB),AOC
,,,,,,,,,,.xls,BOQ,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,3091341,ALOK KUMAR SETHY,20-Sep-2025 07:49 PM,Rejected-Technical,Rejected,02-Jan-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,3094322,ASHOK PANI,22-Sep-2025 12:53 PM,Rejected-Technical,Rejected,02-Jan-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,3085564,BIJAYA KUMAR JENA,21-Sep-2025 01:44 PM,Rejected-Technical,Rejected,02-Jan-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,3093702,JITENDRA SARANGI,22-Sep-2025 01:46 PM,Rejected-Technical,Rejected,02-Jan-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,3094407,MAA DRAUPADI ENTERPRISES PROP. PRIYAJEET BISWAL,22-Sep-2025 01:32 PM,Rejected-Technical,Rejected,02-Jan-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,3090966,M/S DILIP KUMAR SAHOO,20-Sep-2025 05:01 PM,Rejected-Technical,Rejected,02-Jan-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,3094796,M/S SHREELAXMI ENTERPRISERS,22-Sep-2025 02:43 PM,Rejected-Technical,Rejected,02-Jan-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,3094681,PRADEEP KUMAR AGRAWALLA,22-Sep-2025 02:11 PM,Rejected-Technical,Rejected,02-Jan-2026 02:00 PM,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,3094447,SHREE KISHAN ENTERPRISES,22-Sep-2025 02:13 PM,Rejected-Technical,Rejected,02-Jan-2026 02:00 PM,,,,,,,,,,,,,,AOC
