Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Finance,Tender open by technical committee held on dt.03.11.2025,Priyadarshini Balsamanta,14-Nov-2025 10:05 PM,finance_557919.pdf,BOQ Comparative Chart,14-Jan-2026,"INR 571,518",30.0,Priyadarshini Balsamanta,14-Jan-2026 11:30 PM,WO.pdf (1020.00 KB),CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,2025_CERWI_119906_39,RWD CTC-08/2025-26,S/R to Valiakana to Dopatitota Road for the year 2025-26,1.0,3165701.0,SIBRAM KHUNTIA,INR,"571,518",1,3166334,ASHOK KUMAR PATRA,29-Oct-2025 04:12 PM,Rejected-AOC,Not selected in lottery,14-Jan-2026 11:30 PM,"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. Estimator of R.W.Division, Cuttack",Priyadarshini Balsamanta,14-Jan-2026 11:20 PM,techsummary_557919.pdf (2815.56 KB),"S.E, R.W.Division, Cuttack",Internal,"DAO-I and A.E. Estimator of R.W.Division, Cuttack",Priyadarshini Balsamanta,14-Jan-2026 11:25 PM,finsummary_557919.pdf (2815.56 KB),AOC,"4,000",0.0,Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Paper cost, GSTIN, EMD, PAN, Affidavit,correctness and No relation certificate","6,723",Yes,percentage,1.0%,Nil,Nil,"S.E, R.W.Division, Cuttack","At.-REO Colony, P.O.-Nayabazar, Dist.-Cuttack",24-Oct-2025 11:00 AM,03-Nov-2025 11:00 AM,24-Oct-2025 11:00 AM,01-Nov-2025 05:00 PM,24-Oct-2025 11:00 AM ,31-Oct-2025 05:00 PM ,24-Oct-2025 11:00 AM,01-Nov-2025 05:00 PM,S/R to Valiakana to Dopatitota Road for the year 2025-26,S/R to Valiakana to Dopatitota Road for the year 2025-26,Refer tender documents ,NA ,"6,72,295",Civil Works - Roads,NA ,Tender,90.0,30.0,"S.E, R.W.Division, Cuttack",753004.0,NA ,NA ,NA ,"O/o the S.E, R.W.Division, Cuttack",No ,No,CE RW I||RWCIRCLE-CUTTACK||RWDIVISION-CUTTACK,RWD CTC-08/2025-26,2025_CERWI_119906_39,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,3159061,BRUSHA KETU SAMAL,27-Oct-2025 08:59 PM,Rejected-AOC,Not selected in lottery,14-Jan-2026 11:30 PM,,,,,,,,,,,,,AOC,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,3172251,CHINMAYEE SAHOO,01-Nov-2025 03:41 PM,Rejected-AOC,Not selected in lottery,14-Jan-2026 11:30 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,3154565,DIPTIRANJAN SWAIN,26-Oct-2025 06:33 PM,Rejected-AOC,Not selected in lottery,14-Jan-2026 11:30 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,3170535,JASMINE ENTERPRISES,31-Oct-2025 06:27 PM,Rejected-AOC,Not selected in lottery,14-Jan-2026 11:30 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,3164739,JAYARAM BEHERA,30-Oct-2025 09:32 AM,Rejected-AOC,Not selected in lottery,14-Jan-2026 11:30 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,3172454,Jhunilata Biswal,01-Nov-2025 04:41 PM,Rejected-AOC,Not selected in lottery,14-Jan-2026 11:30 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,3166875,KSHETRAMOHAN MOHAPATRA,30-Oct-2025 10:20 AM,Rejected-AOC,Not selected in lottery,14-Jan-2026 11:30 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,3167285,MRUTYUNJAY ROUT,30-Oct-2025 07:12 PM,Rejected-AOC,Not selected in lottery,14-Jan-2026 11:30 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,3172578,MS SIVA SANKAR ENGINEERING,01-Nov-2025 04:28 PM,Rejected-AOC,Not selected in lottery,14-Jan-2026 11:30 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
