S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Tender Stage
1.0,3290115.0,M/s WATCO,INR,"3,983,338.43",General Manager,Internal,Manager,Sridhar Pattnaik,30-Jan-2026 12:51 PM,finsummary_568472.pdf (40.58 KB),WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Rourkela,2025_WDRKL_122334_1,GM WATCO/RKL-18/2025-26 dt.18.11.2025,Provision for installation Testing and Commissioning of 2 Nos 175 HP pump set at Suken pump house Ranibandh Rajgangpur for Improvement of WS to to Rajgangpur Town,Technical,Summary,Sridhar Pattnaik,23-Dec-2025 12:33 PM,technical_568472.pdf,Finance,Summary,Sridhar Pattnaik,30-Jan-2026 12:44 PM,finance_568472.pdf,BOQ Comparative Chart,General Manager,Internal,Manager,Alekh Dalai,31-Dec-2025 11:45 AM,01-Jan-2026 03:30 PM,techsummary_568472.pdf (83.51 KB),30-Jan-2026,"INR 3,983,338.43",90.0,Sridhar Pattnaik,30-Jan-2026 12:54 PM,AOC.pdf (301.00 KB),AOC,1,3298284,Drite Automation and Engineering,12-Dec-2025 04:56 PM,Rejected-AOC,Not selected through transparent lottery,30-Jan-2026 12:54 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender paper, EMD,PAN, GST, Certificate and other documents etc as per DTCN",01-Dec-2025 11:00 AM,15-Dec-2025 12:30 PM,01-Dec-2025 11:00 AM,12-Dec-2025 05:00 PM,01-Dec-2025 11:00 AM ,10-Dec-2025 05:00 PM ,01-Dec-2025 11:00 AM,12-Dec-2025 05:00 PM,01-Jan-2026 03:30 PM,"G.M WATCO Division, Rourkela","G.M WATCO Division,Panposh, Rourkela","7,080",Nil,Nil,No,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Rourkela,GM WATCO/RKL-18/2025-26 dt.18.11.2025,2025_WDRKL_122334_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Provision for installation Testing and Commissioning of 2 Nos 175 HP pump set at Suken pump house Ranibandh Rajgangpur for Improvement of WS to to Rajgangpur Town,Provision for installation Testing and Commissioning of 2 Nos 175 HP pump set at Suken pump house Ranibandh Rajgangpur for Improvement of WS to to Rajgangpur Town,Please refer Tender documents. ,NA ,"46,85,729",Civil Works - Water Works,NA ,Tender,120.0,90.0,Rajgangpur,770017.0,NA ,NA ,NA ,"O/o G.M WATCO Division, Rourkela",No ,No,1.0,Corrigendum,Technical Bid,,"46,857",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3298058,Kunal Agarwal,12-Dec-2025 03:58 PM,Rejected-AOC,Not selected through transparent lottery,30-Jan-2026 12:54 PM,AOC,2.0,Finance,.xls,BoQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3293199,M/S. A.B.ELECTRICALS AND MECHANICAL WORKS,12-Dec-2025 11:59 AM,Rejected-Finance,High quoted rate,30-Jan-2026 12:51 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3290115,M/s WATCO,10-Dec-2025 03:43 PM,Accepted-AOC,Selected through transparent lottery,30-Jan-2026 12:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3298271,shree lakshmi engineering,12-Dec-2025 04:53 PM,Rejected-AOC,Not selected through transparent lottery,30-Jan-2026 12:54 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
