EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"2,30,090",Yes,fixed,,Nil,Nil,27-Nov-2025 09:30 AM,05-Dec-2025 11:00 AM,27-Nov-2025 09:30 AM,04-Dec-2025 05:00 PM,NA ,NA ,27-Nov-2025 09:30 AM,04-Dec-2025 05:00 PM,24-Dec-2025 04:45 PM,1,Fee/PreQual/Technical,.pdf,"Paper Cost, EMD in online mode, RC, PAN, GST, Affidavit and others as per DTCN",installation and Energisation of Singa-II L.I.P under Gondia Block in Dhenkanal District.,installation and Energisation of Singa-II L.I.P under Gondia Block in Dhenkanal District.,Please refer Tender documents. ,NA ,"30,09,003",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Dhenkanal,759001.0,NA ,NA ,NA ,"EE, LI Division, Dhenkanal",No ,No,"EE, LI Division, Dhenkanal","EE, LI Division, Dhenkanal",Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Dhenkanal,EEDKL(OLIC)-03/2025-26,2025_OLIC_121931_67,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"7,080",0.0,Nil,Nil,No,1,ICICI BANK,AOC,17-Jan-2026,"INR 3,009,002.99",90.0,BIJAY KUMAR TARAI,17-Jan-2026 11:16 AM,Tech.pdf (60.00 KB),Awarded,1,3272724,BIKRAM SATAPATHY,03-Dec-2025 10:19 PM,Accepted-AOC,Awarded,17-Jan-2026 11:16 AM,Finance,Opened,PRATYUSA KUMAR MALLA,24-Dec-2025 05:07 PM,,BOQ Comparative Chart,EE,Internal,DA Estimator,BIJAY KUMAR TARAI,24-Dec-2025 04:35 PM,24-Dec-2025 04:45 PM,techsummary_567386.pdf (110.49 KB),EE,Internal,DAO estimator,BIJAY KUMAR TARAI,17-Jan-2026 11:13 AM,finsummary_567386.pdf (60.04 KB),Technical,Opened,PRATYUSA KUMAR MALLA,14-Dec-2025 04:43 AM,,Orissa Lift Irrigation Corporation||LI ANGUL||LI Division Dhenkanal,2025_OLIC_121931_67,EEDKL(OLIC)-03/2025-26,installation and Energisation of Singa-II L.I.P under Gondia Block in Dhenkanal District.,1.0,3272724.0,BIKRAM SATAPATHY,INR,"3,002,984.98",AOC
,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,2,3272629,Nibas Routray,04-Dec-2025 03:08 AM,Rejected-Finance,L2 Bidder,17-Jan-2026 11:13 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
