Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
"ST and SC Development Deptt||ITDA, Phulbani",2023_STSCD_93783_1,Bid Identification No- PA ITDA PLB 05 of 2023-24,"Up gradation of 10 nos. of Smart Classroom, E-library, Science laboratory, Drinking water and Toilet Facilities, Repair and Renovation of Existing building at Govt. Autonomous College, Phulbani",1.0,2255429.0,RAMKRUSHNA PRADHAN,INR,"7,010,105",PA ITDA,Internal,ITDA PHULBANI,Gadardhar Patra,10-Sep-2025 02:47 PM,techsummary_458331.pdf (1434.09 KB),Finance,Total Three Bidders,Tusharendra Nayak,18-Jan-2024 11:13 AM,finance_458331.pdf,BOQ Comparative Chart,PA ITDA,Internal,ITDA PHULBANI,Gadardhar Patra,10-Sep-2025 02:57 PM,finsummary_458331.pdf (2053.07 KB),10-Sep-2025,"INR 7,010,105",180.0,Gadardhar Patra,10-Sep-2025 03:01 PM,workorderautocollege.pdf (2053.00 KB),1,2255460,IPSITA PATTNAIK,14-Sep-2023 04:56 PM,Rejected-Finance,Not Selected in Lottery,10-Sep-2025 02:57 PM,AOC,1.0,ICICI BANK,"ST and SC Development Deptt||ITDA, Phulbani",Bid Identification No- PA ITDA PLB 05 of 2023-24,2023_STSCD_93783_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,PA ITDA Phulbani,PA ITDA Phulbani,04-Sep-2023 01:00 PM,15-Sep-2023 11:30 AM,04-Sep-2023 01:00 PM,14-Sep-2023 05:00 PM,NA ,NA ,04-Sep-2023 01:00 PM,14-Sep-2023 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,The required document uploaded as per TCN And DTCN.,"69,000",Yes,fixed,,Nil,Nil,"Up gradation of 10 nos. of Smart Classroom, E-library, Science laboratory, Drinking water and Toilet Facilities, Repair and Renovation of Existing building at Govt. Autonomous College, Phulbani","Up gradation of 10 nos. of Smart Classroom, E-library, Science laboratory, Drinking water and Toilet Facilities, Repair and Renovation of Existing building at Govt. Autonomous College, Phulbani",Please refer Tender documents. ,NA ,"68,71,842",Civil Works - Others,NA ,Tender,90.0,180.0,Phulbani,762001.0,NA ,NA ,NA ,PA ITDA Phulbani,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2255429,RAMKRUSHNA PRADHAN,14-Sep-2023 04:40 PM,Accepted-AOC,Awarded the work in Lottery,10-Sep-2025 03:01 PM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2249758,Sri Sambhupani Digal,13-Sep-2023 11:50 AM,Rejected-Finance,Not Selected in Lottery,10-Sep-2025 02:57 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
