Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Er. Sambit Mohanty,Internal,"Superintending Engineer, Divisional Accounts Officer No-I, Executive Engineer (Estimator) Keonjhar R and B Division Keonjhar",Sambit Mohanty,18-Sep-2025 01:25 PM,techsummary_542479.pdf (43.97 KB),18-Sep-2025,"INR 1,697,859.4",365.0,Sambit Mohanty,18-Sep-2025 01:31 PM,20_B_2025_Fire_Fighting_Alaram_Jagannath_Fire_Service.pdf (494.00 KB),Winner of lottery.,1,2959939,M/S FIRESTOP SALES AND SERVICES,11-Jun-2025 12:27 PM,Rejected-AOC,Loser of lottery.,18-Sep-2025 01:32 PM,Finance,Bid opening summary,Sambit Mohanty,13-Jun-2025 12:33 PM,finance_542479.pdf,BOQ Comparative Chart,1.0,2961011.0,M/S JAGANNATH FIRE SERVICES,INR,"1,697,859.4",EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-KEONJHAR,2025_EICCL_114290_3,Bid Identification No PWDK- 05 / 2025-26.,"Provision for Comprehensive Annual Maintenance of Fire Fighting and Alaram System at MCH Building at SDH Campus, Champua in the District of Keonjhar for the year 2024-25.",Er. Sambit Mohanty,Internal,"Superintending Engineer, Divisional Accounts Officer No-I, Executive Engineer (Estimator) Keonjhar R and B Division Keonjhar",Sambit Mohanty,18-Sep-2025 01:28 PM,finsummary_542479.pdf (899.03 KB),AOC,"6,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender paper cost, EMD, PAN, GSTIN, Contractor registration Certificate, Affidavit, etc.",1.0,ICICI BANK,EIC-CIVIL||SERNB-CIRCLE-KEONJHAR||EERNB-DIVN-KEONJHAR,Bid Identification No PWDK- 05 / 2025-26.,2025_EICCL_114290_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"20,000",Yes,fixed,,Nil,Nil,07-Jun-2025 09:00 AM,13-Jun-2025 10:30 AM,07-Jun-2025 09:00 AM,12-Jun-2025 05:00 PM,NA ,NA ,07-Jun-2025 09:00 AM,12-Jun-2025 05:00 PM,"Provision for Comprehensive Annual Maintenance of Fire Fighting and Alaram System at MCH Building at SDH Campus, Champua in the District of Keonjhar for the year 2024-25.","Provision for Comprehensive Annual Maintenance of Fire Fighting and Alaram System at MCH Building at SDH Campus, Champua in the District of Keonjhar for the year 2024-25.",Please refer Tender documents. ,NA ,"19,97,247",Electrical Works,NA ,Tender,90.0,365.0,Keonjhar,758001.0,NA ,NA ,NA ,"O/o the SE, Keonjhar (R and B) Division",No ,No,"The Superintending Engineer, Keonjhar(RandB) Divi","O/o the Superintending Engineer, Keonjhar (R and B) Division, Keonjhar -758001",AOC
,,,,,,,,,,,,,2,2961011,M/S JAGANNATH FIRE SERVICES,12-Jun-2025 10:47 AM,Accepted-AOC,Winner of lottery.,18-Sep-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.pdf,Other documents as per DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,2963389,SMART I TECHNOLOGIES,12-Jun-2025 02:45 PM,Rejected-AOC,Loser of lottery.,18-Sep-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,2963210,TOSHALI INDUSTRIES PRIVATE LIMITED,12-Jun-2025 11:20 AM,Rejected-AOC,Loser of lottery.,18-Sep-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,2964187,TRANSTECH SOLUTION,12-Jun-2025 03:47 PM,Rejected-AOC,Loser of lottery.,18-Sep-2025 01:32 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
