Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Finance,Summary,Sanjib Kumar Behera,01-Jun-2025 11:46 AM,,BOQ Comparative Chart,1.0,2845461.0,BABA ELECTRICAL CONSTRUCTION,INR,"1,156,541",EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,2025_EICCL_111152_1,eTCN12,"Supply Installation Testing and Commissioning of 1.5 ton Split Type AC for Government Polytechnic, Nayagarh",Sanjib Kumar Behera,Internal,,Sanjib Kumar Behera,01-Jun-2025 12:02 PM,finsummary_531527.pdf (395.43 KB),Sanjib Kumar Behera,Internal,,Sanjib Kumar Behera,01-Jun-2025 11:54 AM,techsummary_531527.pdf (408.41 KB),22-Sep-2025,"INR 1,156,541",30.0,Sanjib Kumar Behera,22-Sep-2025 10:37 AM,AC.pdf (371.00 KB),1,2842246,ALOK KUMAR MOHAPATRA,01-Mar-2025 04:54 PM,Rejected-Technical,Disqualified,01-Jun-2025 11:54 AM,AOC,1.0,ICICI BANK,"Supply Installation Testing and Commissioning of 1.5 ton Split Type AC for Government Polytechnic, Nayagarh","Supply Installation Testing and Commissioning of 1.5 ton Split Type AC for Government Polytechnic, Nayagarh",Please refer Tender documents. ,NA ,"13,60,477",Electrical Works,NA ,Tender,90.0,30.0,Nayagarh,752069.0,NA ,NA ,NA ,"O/o of the SE, Nayagarh RandB Division",No ,No,EIC-CIVIL||SERNB-CIRCLE-KHURDA||EE Nayagarh Rnb Division,eTCN12,2025_EICCL_111152_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"DTCN, Licence, Affidavit, Schedule, PAN, GST etc.","13,605",Yes,percentage,1.0%,Nil,Nil,Superitending Engineer,"O/o of the SE, Nayagarh RandB Division",26-Feb-2025 11:00 AM,07-Mar-2025 11:00 AM,26-Feb-2025 11:00 AM,06-Mar-2025 05:00 PM,NA ,NA ,26-Feb-2025 11:00 AM,06-Mar-2025 05:00 PM,"6,000",0.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2845461,BABA ELECTRICAL CONSTRUCTION,06-Mar-2025 10:31 AM,Accepted-AOC,AOC,22-Sep-2025 10:38 AM,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2846004,Dillip Ranjan Das,06-Mar-2025 03:15 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2844457,ECO ELECTRIC POWER SOLUTIONS,05-Mar-2025 12:44 AM,Rejected-Technical,Disqualified,01-Jun-2025 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2842201,M/s. EASTERN ENGINEERING,01-Mar-2025 06:28 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2845890,M/S. M.C.C. ASSOCIATES,06-Mar-2025 02:33 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2845971,MS RAGHUNATH ENTERPRISES,06-Mar-2025 03:01 PM,Rejected-Technical,Disqualified,01-Jun-2025 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2845367,"M/s Ramchandi Construction, Nayagargh",06-Mar-2025 09:01 AM,Rejected-Technical,Disqualified,01-Jun-2025 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2845353,ONE STEP SOLUTIONS,06-Mar-2025 09:27 AM,Rejected-Technical,Disqualified,01-Jun-2025 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2845109,PNP CONSTRUCTION,05-Mar-2025 07:40 PM,Rejected-Technical,Disqualified,01-Jun-2025 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2844884,T.RABIN KUMAR PATRO,06-Mar-2025 03:32 PM,Rejected-Finance,Selected through transparency lottery,01-Jun-2025 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
