S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2988206.0,PRABIN KUMAR MAJHI,INR,"357,162",Finance,10 Nos. of successful Bidders,Ashirbad Panda,05-Jul-2025 12:50 PM,finance_543787.pdf,BOQ Comparative Chart,Er. Ashirbad Panda,Internal,,Hitesh Agarwal,20-Sep-2025 11:59 AM,finsummary_543787.pdf (332.07 KB),CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh I,2025_CERWI_114678_1,Online-SESNG-05 of 2025-26,Renovation of Staff Quarter Building at GAD J Raiboga for the year 2024-25,Er. Ashirbad Panda,Internal,,Hitesh Agarwal,20-Sep-2025 11:55 AM,techsummary_543787.pdf (332.07 KB),1,2982235,BHAGABATI SOHELA,28-Jun-2025 05:18 PM,Rejected-Finance,Rejected,20-Sep-2025 11:59 AM,20-Sep-2025,"INR 357,162",30.0,Hitesh Agarwal,20-Sep-2025 12:03 PM,4428.pdf (711.00 KB),AOC,1.0,ICICI BANK,Renovation of Staff Quarter Building at GAD J Raiboga for the year 2024-25,Renovation of Staff Quarter Building at GAD J Raiboga for the year 2024-25,NA ,NA ,"4,20,141",Civil Works - Buildings,NA ,Tender,90.0,30.0,Sundargarh,770020.0,NA ,NA ,NA ,"RURAL WORKS DIVISION, SUNDARGARH",No ,No,Divisional Officer,"RURAL WORKS DIVISION, SUNDARGARH",CE RW I||RW-CIRCLE-SUNDARGARH||RW-Division-Sundargarh I,Online-SESNG-05 of 2025-26,2025_CERWI_114678_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"2,000",0.0,Nil,Nil,No,"4,201",Yes,percentage,1.0%,Nil,Nil,21-Jun-2025 01:00 PM,05-Jul-2025 10:00 AM,21-Jun-2025 01:00 PM,04-Jul-2025 06:00 PM,21-Jun-2025 01:00 PM ,03-Jul-2025 11:00 AM ,21-Jun-2025 01:00 PM,04-Jul-2025 06:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,EMDPANGSTINCDMSRegistrationcodeworkexperiencesimilarnatureworkworkinhand,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2989067,Bikash Kumar Tanty,04-Jul-2025 04:18 PM,Rejected-Finance,Rejected,20-Sep-2025 11:59 AM,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,Boq,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2985264,DIBYA RANJAN JENA,01-Jul-2025 02:14 PM,Rejected-Finance,Rejected,20-Sep-2025 11:59 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2982672,KEDAR CHOUDHURY,29-Jun-2025 01:15 PM,Rejected-Finance,Rejected,20-Sep-2025 11:59 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2985167,MAHENDRA KHUKHARI,01-Jul-2025 06:19 PM,Rejected-Finance,Rejected,20-Sep-2025 11:59 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2982459,NRUPAN KUMAR SAHOO,03-Jul-2025 06:56 AM,Rejected-Finance,Rejected,20-Sep-2025 11:59 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2988206,PRABIN KUMAR MAJHI,04-Jul-2025 10:38 AM,Accepted-AOC,Accepted,20-Sep-2025 12:04 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2980882,RABINDRA MEHER,30-Jun-2025 05:28 PM,Rejected-Finance,Rejected,20-Sep-2025 11:59 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2988114,SHARAT KUMAR PATEL,03-Jul-2025 07:24 PM,Rejected-Finance,Rejected,20-Sep-2025 11:59 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2986691,SRUTI LAKRA,02-Jul-2025 03:28 PM,Rejected-Finance,Rejected,20-Sep-2025 11:59 AM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
