S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
1.0,2920440.0,PRASANTA SINGH,INR,"1,630,038.31",Finance,Tender Open,Pradeep Kumar Swain,17-May-2025 11:25 AM,finance_538731.pdf,BOQ Comparative Chart,Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag",CHITARANJAN PRADHAN,25-Sep-2025 01:39 PM,finsummary_538731.pdf (737.61 KB),Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,2025_OLIC_112623_63,EEOLICSBP-01/2025-26,"Revival of Mauliberna, Sareipali L.I. Project under Lakhanpur Block in Jharsuguda District",Chitaranjan Pradhan,Internal,"Satyanarayan Nahak, Sanjib Kumar Bag",CHITARANJAN PRADHAN,02-Aug-2025 06:22 PM,techsummary_538731.pdf (382.94 KB),1,2920895,ADVIK CONSTRUCTIONS PROP-ALIN KUMAR NAYAK,16-May-2025 02:18 PM,Rejected-Technical,Due to his bidding capacity exceeding 40.00 Lakh for C class Licenses as per DTCN special condition clause No. 02,02-Aug-2025 06:22 PM,25-Sep-2025,"INR 1,630,038.31",90.0,CHITARANJAN PRADHAN,25-Sep-2025 03:50 PM,PKG63.pdf (395.00 KB),Agreement Done,AOC,08-May-2025 10:00 AM,17-May-2025 10:00 AM,08-May-2025 10:00 AM,16-May-2025 05:00 PM,08-May-2025 10:00 AM ,16-May-2025 05:00 PM ,08-May-2025 10:00 AM,16-May-2025 05:00 PM,"19,175",Yes,percentage,1.0%,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, Registration Certificate, PAN,Affidavits,Undertaking,other documets","7,080",0.0,Nil,Nil,No,"Revival of Mauliberna, Sareipali L.I. Project under Lakhanpur Block in Jharsuguda District","Revival of Mauliberna, Sareipali L.I. Project under Lakhanpur Block in Jharsuguda District",Please refer Tender documents. ,NA ,"19,17,467",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,Lakhanpur,768219.0,NA ,NA ,NA ,"O/o E.E. L.I. Division, Sambalpur",No ,No,Orissa Lift Irrigation Corporation||LI Northern Circle Sambalpur||LI Division Sambalpur,EEOLICSBP-01/2025-26,2025_OLIC_112623_63,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"E.E. L.I. Division, Sambalpur","E.E. L.I. Division, Sambalpur, Binakhandi,",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2918947,GOURHARI DEHERI,15-May-2025 02:03 PM,Rejected-Technical,Due to his bidding capacity exceeding 40.00 Lakh for C class Licenses as per DTCN special condition clause No. 02,02-Aug-2025 06:22 PM,,,,,,,,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2920440,PRASANTA SINGH,16-May-2025 02:54 PM,Accepted-AOC,Award of Contract,25-Sep-2025 03:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2921047,RANJIT MOHAPATRA,16-May-2025 03:31 PM,Rejected-AOC,Not Award of Contract,25-Sep-2025 03:50 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
