S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2972174.0,Sujat Kumar Mandal,INR,"29,669,881.43",CCE RW CIRCLE BALASORE,Internal,"PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATOR CCE RW CIRCLE BALASORE AND DAO R.W. DIVISION, BALASORE",Durjyodhan Behera,08-Sep-2025 04:28 PM,finsummary_541866.pdf (49.29 KB),CE RW I||RWCIRCLE-BALASORE,2025_CERWI_114109_2,CCE-BLS-NCB-09 OF 2025-26,Construction of NH5 - Chilapada Road under MMSY-Improvement to existing RD road in the District of Balasore for the year 2024-25,Technical,6 Numbers bidder admitted,Durjyodhan Behera,19-Jun-2025 12:07 PM,technical_541866.pdf,Finance,6 Numbers bidder admitted,Durjyodhan Behera,08-Sep-2025 04:23 PM,finance_541866.pdf,BOQ Comparative Chart,CCE RW CIRCLE BALASORE,Internal,"PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATOR CCE RW CIRCLE BALASORE AND DAO R.W. DIVISION, BALASORE",Durjyodhan Behera,23-Jul-2025 06:03 PM,28-Jul-2025 11:00 AM,techsummary_541866.pdf (1198.04 KB),08-Sep-2025,"INR 29,669,881.43",180.0,Durjyodhan Behera,08-Sep-2025 04:32 PM,6820.pdf (535.00 KB),Work awarded 1st lowest bidder through transparent Lottery System,1,2970942,JEETESH RANJAN BEHERA,17-Jun-2025 03:57 PM,Rejected-AOC,L1,08-Sep-2025 04:32 PM,AOC,"3,49,020",Yes,percentage,1.0%,Nil,Nil,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,"CCE R.W.CIRCLE,BALASORE","O/o The CCE R.W.CIRCLE,BALASORE",Construction of NH5 - Chilapada Road under MMSY-Improvement to existing RD road in the District of Balasore for the year 2024-25,Construction of NH5 - Chilapada Road under MMSY-Improvement to existing RD road in the District of Balasore for the year 2024-25,Please refer DTCN ,NA ,"3,49,02,000",Civil Works - Roads,NA ,Tender,90.0,180.0,Balasore,757001.0,NA ,NA ,NA ,"O/o The CCE R.W.CIRCLE,BALASORE",No ,No,03-Jun-2025 11:00 AM,19-Jun-2025 11:00 AM,03-Jun-2025 11:00 AM,18-Jun-2025 05:00 PM,03-Jun-2025 11:00 AM ,17-Jun-2025 05:00 PM ,03-Jun-2025 11:00 AM,18-Jun-2025 05:00 PM,28-Jul-2025 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-09 OF 2025-26,2025_CERWI_114109_2,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2972120,MS TAJ CONSTRUCTION,18-Jun-2025 03:07 PM,Rejected-AOC,L1,08-Sep-2025 04:32 PM,AOC,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"WORK EXPERIENCE,ATO,PROFFIT LOSS ACCOUNT ,MACHINERIES,ETC",,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2968467,Rakesh kumar Nayak,16-Jun-2025 03:24 PM,Rejected-AOC,L1,08-Sep-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2972189,Ranjit Kumar Behera,18-Jun-2025 02:36 PM,Rejected-AOC,L3,08-Sep-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2971497,SARBESWAR PRADHAN,18-Jun-2025 02:38 PM,Rejected-AOC,L2,08-Sep-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2972174,Sujat Kumar Mandal,18-Jun-2025 02:16 PM,Accepted-AOC,L1,08-Sep-2025 04:32 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
