Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
"4,000",Nil,Nil,No,Divisional Forest Officer,At/Po/Dist- Keonjhar-758001,"8,000",Yes,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical/Finance,.xls,BOQ,1.0,ICICI BANK,08-Jul-2025 10:00 AM,18-Jul-2025 10:00 AM,08-Jul-2025 10:00 AM,17-Jul-2025 05:00 PM,08-Jul-2025 10:00 AM ,17-Jul-2025 05:00 PM ,08-Jul-2025 10:00 AM,17-Jul-2025 05:00 PM,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,FEnCC-DFOT KJR-01_2025-26,2025_DFOKJ_115123_26,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"Construction of Water Body near Jadipada, Jadipada RF under Keonjhar Rangee","Construction of Water Body near Jadipada, Jadipada RF under Keonjhar Rangee under OMBADC",Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,120.0,150.0,Jadipada RF of Keonjhar Range,758014.0,NA ,NA ,NA ,O/o the Divisional Forest Officer Keonjhar Divisio,No ,No,AOC,"Dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, IC Head Clerk, Ashok Ku Das, ACF, Sudipta Ku Panda ACF",Ashok Kumar Das,12-Sep-2025 05:56 PM,finsummary_545236.pdf (145.18 KB),"Dhanraj HD, IFS",Internal,"Jyotirmaya Suar, Jr Asst, Narayan Panda, IC Head Clerk, Ashok Ku Das, ACF, Sudipta Ku Panda ACF",Ashok Kumar Das,12-Sep-2025 05:37 PM,techsummary_545236.pdf (253.94 KB),1,3001731,ANIL NAIK,17-Jul-2025 12:25 PM,Rejected-AOC,Not accepted,25-Sep-2025 03:59 PM,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Keonjhar,2025_DFOKJ_115123_26,FEnCC-DFOT KJR-01_2025-26,"Construction of Water Body near Jadipada, Jadipada RF under Keonjhar Rangee",1.0,2999001.0,GANGADHAR NAIK,INR,"800,871",24-Sep-2025,"INR 800,871",150.0,Dhanraj Hanumant Dhamdhere,25-Sep-2025 03:58 PM,26.pdf (524.00 KB),Work order issue to L1 billder selected through lottery,Finance,BOQ Chart,Dhanraj Hanumant Dhamdhere,28-Jul-2025 01:45 PM,finance_545236.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,.pdf,DTCN,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2,2995130,ANNAPURNA ROUT,10-Jul-2025 10:09 PM,Rejected-AOC,Not accepted,25-Sep-2025 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,3,2995083,BISHNUPRASAD JENA,11-Jul-2025 11:42 AM,Rejected-AOC,Not accepted,25-Sep-2025 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,4,2999766,CHAITANYA PANDIT,17-Jul-2025 03:27 PM,Rejected-AOC,Not accepted,25-Sep-2025 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,5,2994761,GANGADHAR DAS,13-Jul-2025 11:12 AM,Rejected-AOC,Not Accepted,25-Sep-2025 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,6,2999001,GANGADHAR NAIK,16-Jul-2025 08:35 PM,Accepted-AOC,accepted,25-Sep-2025 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,7,3000867,LATIKA DEHURY,16-Jul-2025 01:17 PM,Rejected-Technical,Dis- QUALIFY,12-Sep-2025 05:37 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,8,3002140,LAVESH KUMAR MOHANTA,17-Jul-2025 01:07 PM,Rejected-AOC,Not accepted,25-Sep-2025 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,9,2998332,Mamatanjali Sahoo,16-Jul-2025 05:26 AM,Rejected-AOC,Not accepted,25-Sep-2025 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,10,2995606,MANAS RANJAN BARIK,10-Jul-2025 08:37 PM,Rejected-AOC,Not accepted,25-Sep-2025 03:59 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
