Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Finance,Uploaded tender documents of all the bidders have been downloaded successfully.,Rashmiranjan Khuntia,25-Feb-2025 04:49 PM,finance_530142.pdf,BOQ Comparative Chart,1.0,2831368.0,M/S PRALAYA SAMAL,INR,"4,634,424",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,2025_KIRRD_110670_8,e-Procurement Notice No.KID-04 of 2024-25,KID-98 of 2024-25 Protection to scoured bank on Paika left embankment from RD 5.920 Km to 6.00 Km. near village Palasudha.,"Superintending Engineer, Kendrapara Irrigation Division",Internal,"Estimator and DAO, Kendrapara Irrigation Division",Gorasasi Sahoo,21-May-2025 05:05 PM,finsummary_530142.pdf (415.75 KB),"Superintending Engineer, Kendrapara Irrigation Division",Internal,"Estimator and DAO, Kendrapara Irrigation Division",Gorasasi Sahoo,21-May-2025 04:42 PM,techsummary_530142.pdf (415.75 KB),03-Sep-2025,"INR 4,634,424",120.0,Gorasasi Sahoo,03-Sep-2025 12:39 PM,98.pdf (476.00 KB),Contract Awarded,1,2835346,ADITYA KUMAR DAS,24-Feb-2025 02:44 PM,Rejected-Finance,Did not win the lottery,21-May-2025 05:05 PM,AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"PAN, GSTIN, RC, Documents related to EMD exemption",CE AND BM MBBS CHANDIKOLE||EASTERN CIRCLE II CHANDIKOLE||Kendrapara Irr Div Kendrapara,e-Procurement Notice No.KID-04 of 2024-25,2025_KIRRD_110670_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"46,200",Yes,fixed,,Nil,Nil,15-Feb-2025 10:00 AM,25-Feb-2025 11:00 AM,15-Feb-2025 10:00 AM,24-Feb-2025 05:00 PM,15-Feb-2025 10:00 AM ,21-Feb-2025 05:00 PM ,15-Feb-2025 10:00 AM,24-Feb-2025 05:00 PM,1.0,ICICI BANK,"6,000",Nil,Nil,No,KID-98 of 2024-25 Protection to scoured bank on Paika left embankment from RD 5.920 Km to 6.00 Km. near village Palasudha.,Embankment protection,Please refer Tender documents. ,NA ,"46,20,019",Civil Works - Others,NA ,Tender,90.0,120.0,Kendrapara,754211.0,NA ,NA ,NA ,"O/o the SE, Kendrapara Irr. Division, Kendrapara",No ,No,Superintending Engineer,"O/o the SE, Kendrapara Irr. Division, Kendrapara",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2835340,AJIT KUMAR SAHOO,24-Feb-2025 02:40 PM,Rejected-Finance,Did not win the lottery,21-May-2025 05:05 PM,AOC,,,.pdf,"Affidavits, No Relation Certificate, undertakings and any other document as per SBD/DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2835475,AKASH CHANDRA NAYAK,24-Feb-2025 03:08 PM,Rejected-Finance,Did not win the lottery,21-May-2025 05:05 PM,AOC,,,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2832749,ANIL KUMAR SWAIN,23-Feb-2025 04:23 PM,Rejected-Finance,Did not win the lottery,21-May-2025 05:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2823557,ANNADA PRASANNA OJHA,18-Feb-2025 12:28 AM,Rejected-Finance,Did not win the lottery,21-May-2025 05:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2834519,ANSHUMAN TRIPATHY,24-Feb-2025 12:04 PM,Rejected-Finance,Did not win the lottery,21-May-2025 05:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2833518,APARUPA NANDA BARIK,23-Feb-2025 08:58 PM,Rejected-Finance,Did not win the lottery,21-May-2025 05:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2830324,Ashwini Kumar Nayak,22-Feb-2025 11:32 AM,Rejected-Finance,Did not win the lottery,21-May-2025 05:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2829993,ASUTOSH NAYAK,21-Feb-2025 09:55 PM,Rejected-Finance,Did not win the lottery,21-May-2025 05:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2834914,AVINASH PATTANAYAK,24-Feb-2025 01:39 PM,Rejected-Finance,Did not win the lottery,21-May-2025 05:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
