Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
Improvement of Road from Arai Sahani house via Jitu Pattnaik house towards Nandakishore Dash in W. No-23,Improvement of Road from Arai Sahani house via Jitu Pattnaik house towards Nandakishore Dash in W. No-23,Please refer Tender documents. ,NA ,"12,71,816",Civil Works - Others,NA ,Tender,30.0,NA ,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",752050.0,NA ,NA ,NA ,"EXECUTIVE OFFICER,JATNI MUNICIPALITY",No ,No,07-Feb-2025 11:00 AM,19-Feb-2025 11:00 AM,07-Feb-2025 11:00 AM,17-Feb-2025 05:00 PM,NA ,NA ,07-Feb-2025 11:00 AM,17-Feb-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC,PAN,GST,EPF ,Affidavits and all Other document as per DTCN",1,ICICI BANK,Municipal Bodies||Jatni Municipal Council,EO/JMC/081/2024-25,2025_ORULB_110158_12,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"EXECUTIVE OFFICER,JATNI MUNICIPALITY","EXECUTIVE OFFICER,JATNI MUNICIPALITY","12,718",Yes,percentage,1.0%,Nil,Nil,"6,000",0.0,Nil,Nil,No,AOC,chairperson,Internal,,Anuradha Pradhan,22-Sep-2025 12:38 PM,techsummary_528983.pdf (1017.92 KB),chairperson,Internal,,Anuradha Pradhan,22-Sep-2025 12:43 PM,finsummary_528983.pdf (1017.92 KB),Finance,cs,Suryamani Pattajoshi,20-Feb-2025 05:28 PM,finance_528983.pdf,BOQ Comparative Chart,1,2819554,DIGAMBER SWAIN,15-Feb-2025 04:22 PM,Rejected-Finance,excess,22-Sep-2025 12:43 PM,1.0,2819303.0,PRAMOD KUMAR RANSINGH,INR,"1,271,186",Municipal Bodies||Jatni Municipal Council,2025_ORULB_110158_12,EO/JMC/081/2024-25,Improvement of Road from Arai Sahani house via Jitu Pattnaik house towards Nandakishore Dash in W. No-23,22-Sep-2025,"INR 1,271,186",30.0,Anuradha Pradhan,22-Sep-2025 12:46 PM,1231.pdf (1018.00 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,emd,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,2819303,PRAMOD KUMAR RANSINGH,15-Feb-2025 02:14 PM,Accepted-AOC,work order issued,22-Sep-2025 12:46 PM,,,,,,,,,,,,,,,,AOC
