Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
"4,720",Nil,Nil,No,1.0,ICICI BANK,28-May-2025 11:00 AM,11-Jun-2025 12:30 PM,28-May-2025 11:00 AM,10-Jun-2025 05:00 PM,28-May-2025 11:00 AM ,05-Jun-2025 05:00 PM ,28-May-2025 11:00 AM,10-Jun-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Copy of PAN,GSTIN, Affidavits,Certificates,Formats,Schedules and other documents if any as per DTCN","7,278",Yes,percentage,1.0%,Nil,Nil,WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Cuttack,GMWATCO (W)-04(2)/2025-26 Dtd.22.05.2025,2025_WCUTT_113797_1,Yes,National Competitive Bid,Percentage,Works,1.0,No,No,Online,No,No,No,"General Manager, WATCO Division, Cuttack","O/o-General Manager, WATCO Division, Cuttack","Construction of DRINKING WATER KIOSK at Malgodown near Durga Puja Mandap Ward No- 38 (Zone- 31) under WATCO Section Ranihat, Cuttack","Construction of DRINKING WATER KIOSK at Malgodown near Durga Puja Mandap Ward No- 38 (Zone- 31) under WATCO Section Ranihat, Cuttack",Please refer Tender documents. ,NA ,"7,27,780",Civil Works - Water Works,NA ,Tender,120.0,90.0,Cuttack,753003.0,NA ,NA ,NA ,"O/o-General Manager, WATCO Division, Cuttack",No ,No,AOC,Baishnu Bhusan Behera,Internal,,Biswaranjan Rath,26-Sep-2025 04:35 PM,finsummary_540954.pdf (432.64 KB),WATCO Bhubaneswar||Director (Operation) Watco||WATCO Division Cuttack,2025_WCUTT_113797_1,GMWATCO (W)-04(2)/2025-26 Dtd.22.05.2025,"Construction of DRINKING WATER KIOSK at Malgodown near Durga Puja Mandap Ward No- 38 (Zone- 31) under WATCO Section Ranihat, Cuttack",1.0,2948731.0,PRAVAKAR GURU,INR,"673,196",Finance,All the bidders found to be Responsive,Subarna Satapathy,11-Jun-2025 01:42 PM,,BOQ Comparative Chart,26-Sep-2025,"INR 673,196",85.0,Biswaranjan Rath,26-Sep-2025 04:41 PM,16619.PDF (1588.00 KB),1,2954502,GTEC EIS PVT LTD,06-Jun-2025 03:47 PM,Rejected-Technical,Not Responsive,26-Sep-2025 04:30 PM,Baishnu Bhusan Behera,Internal,,Biswaranjan Rath,26-Sep-2025 04:30 PM,techsummary_540954.pdf (432.64 KB),AOC
,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2948731,PRAVAKAR GURU,03-Jun-2025 12:28 PM,Accepted-AOC,L1 single bidder in 2nd time tender call,26-Sep-2025 04:41 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2948601,SIMRAN SAHOO,02-Jun-2025 01:59 PM,Rejected-Technical,Not Responsive,26-Sep-2025 04:30 PM,,,,,,,AOC
