S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
1.0,2914932.0,ALOK KUMAR BISOYI,INR,"17,766,263.19","Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Executive Engineer, DAO, Estimator of Rural Works Division-I, Nabarangpur , Estimator R.W. Circle, Sunabeda",Prabhakara Behera,03-Sep-2025 09:36 PM,finsummary_538182.pdf (812.87 KB),CE RW I||RWCIRCLE-SUNABEDA,2025_CERWI_113019_9,CCERWCSBD Online-02/2025-26,Construction of road from Nuamalipada to Nunpani road under MMSY-CMRL Scheme in the district of Nabarangpur for the year 2024-25,Technical,agency name,Prabhakara Behera,03-Jun-2025 01:13 PM,technical_538182.pdf,Finance,cs,Prabhakara Behera,03-Sep-2025 09:31 PM,finance_538182.pdf,BOQ Comparative Chart,"Chief Construction Engineer, R.W. Circle, Sunabeda",Internal,"Superintending Engineer, DAO, Estimator of Rural Works Division-I, Nabarangpur , Estimator R.W. Circle, Sunabeda",Prabhakara Behera,03-Jun-2025 01:25 PM,06-Jun-2025 11:00 AM,techsummary_538182.pdf (589.86 KB),1,2914932,ALOK KUMAR BISOYI,13-May-2025 09:26 AM,Accepted-AOC,"Award of contract to Alok Kumar Bisoyi, A Class Engineering Contractor through transparency lottery system",03-Sep-2025 09:47 PM,03-Sep-2025,"INR 20,899,027.4",182.0,Prabhakara Behera,03-Sep-2025 09:46 PM,AOCNuaamlipadar.pdf (815.00 KB),"Award of contract to Alok Kumar Bisoyi, ""A"" Class Engineering Contractor through transparency lottery system",AOC,1.0,ICICI BANK,Chief Construction Engineer,"Rural Works Circle, Sunabeda-1, Near Jagannath Temple, PIN-763001, Dist-Koraput","2,09,000",Yes,fixed,,Nil,Nil,1.0,CORRIGENDUM,Date,,Construction of road from Nuamalipada to Nunpani road under MMSY-CMRL Scheme in the district of Nabarangpur for the year 2024-25,Construction of road from Nuamalipada to Nunpani road under MMSY-CMRL Scheme in the district of Nabarangpur for the year 2024-25,N.A ,NA ,"2,08,99,000",Civil Works - Roads,NA ,Tender,90.0,182.0,NABARANGPUR,764059.0,NA ,NA ,NA ,"Chief Construction Engineer, R.W.Circle, Sunabeda",No ,No,02-May-2025 09:00 AM,14-May-2025 10:00 AM,02-May-2025 09:00 AM,13-May-2025 05:00 PM,02-May-2025 09:00 AM ,09-May-2025 02:00 PM ,02-May-2025 09:00 AM,13-May-2025 05:00 PM,06-Jun-2025 11:00 AM,"10,000",0.0,Nil,Nil,No,CE RW I||RWCIRCLE-SUNABEDA,CCERWCSBD Online-02/2025-26,2025_CERWI_113019_9,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Bid Cost, EMD, RC,PAN, GST, Affidavit regarding correctness, No relation certificate",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2914006,Ankit Kumar Agrawal,12-May-2025 07:38 PM,Rejected-AOC,REJECT,03-Sep-2025 09:47 PM,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Annual Turn over certificate from CA, Similar nature of Work Certificate",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2915291,BIKRAM KUMAR GUPTA,13-May-2025 03:26 PM,Rejected-Technical,DISQUALIFIED,03-Jun-2025 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machineries and other documents as per DTCN,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2914541,Khaga Bhatara,13-May-2025 01:52 PM,Rejected-AOC,REJECT,03-Sep-2025 09:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2916184,M/s SHREE INFRA AND CO,13-May-2025 03:03 PM,Rejected-AOC,REJECT,03-Sep-2025 09:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2904115,PANDABA KUMAR PADHI,03-May-2025 11:07 PM,Rejected-AOC,REJECT,03-Sep-2025 09:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2908486,RAHUL BOSE,08-May-2025 11:57 AM,Rejected-AOC,REJECT,03-Sep-2025 09:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2914520,Sandeep Bisoi,13-May-2025 12:26 PM,Rejected-AOC,REJECT,03-Sep-2025 09:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2916150,S.ANIL KUMAR,13-May-2025 02:55 PM,Rejected-Technical,DISQUALIFIED,03-Jun-2025 01:25 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2914546,SUBHRANSHU NAYAK,13-May-2025 12:23 PM,Rejected-AOC,REJECT,03-Sep-2025 09:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,2915806,Suraj Pati,13-May-2025 01:36 PM,Rejected-AOC,REJECT,03-Sep-2025 09:47 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
