Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Tender Stage
Construction of 1 No. Waterbody at Pradhanpat RF near Nallbandh in Deogarh Range of Deogarh Forest Division for the year 2024-25,Construction of 1 No. Waterbody at Pradhanpat RF near Nallbandh in Deogarh Range of Deogarh Forest Division for the year 2024-25,Please refer Tender documents. ,NA ,,Civil Works - Others,NA ,Tender,60.0,60.0,Construction of 1 No. Waterbody at Pradhanpat RF n,768108.0,NA ,NA ,NA ,DFO Deograh,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,DFO Deogarh,DFO Deogarh,"4,000",Nil,Nil,No,19-Dec-2024 11:30 AM,02-Jan-2025 11:00 AM,19-Dec-2024 11:30 AM,01-Jan-2025 05:00 PM,19-Dec-2024 11:30 AM ,01-Jan-2025 05:00 PM ,19-Dec-2024 11:30 AM,01-Jan-2025 05:00 PM,1,ICICI BANK,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Deogarh,DFOFE and CC04 2024 25,2024_DFODE_108501_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,060",No,fixed,,Nil,Nil,AOC,1,2714291,MAHESWARI PRASAD GANGDEB,28-Dec-2024 04:17 PM,Accepted-AOC,accepted,09-Sep-2025 11:03 AM,09-Sep-2025,"INR 515,148",60.0,Kamakshya Prasad Mishra,09-Sep-2025 11:03 AM,16.pdf (1496.00 KB),Construction of 1 No. Waterbody at Pradhanpat RF near Nallbandh in Deogarh Range of Deogarh Forest Division for the year 2024-25,swadhinata Sahani,Internal,,Kamakshya Prasad Mishra,09-Sep-2025 10:57 AM,techsummary_521174.pdf (682.29 KB),swadhinata Sahani,Internal,,Kamakshya Prasad Mishra,09-Sep-2025 11:00 AM,finsummary_521174.pdf (1496.27 KB),Forest Environment and Climate Change Department||RCCF Rourkela||DFO Deogarh,2024_DFODE_108501_1,DFOFE and CC04 2024 25,Construction of 1 No. Waterbody at Pradhanpat RF near Nallbandh in Deogarh Range of Deogarh Forest Division for the year 2024-25,1,2714291,MAHESWARI PRASAD GANGDEB,INR,"515,148",Finance,Construction of 1 No. Waterbody at Pradhanpat RF near Nallbandh in Deogarh Range of Deogarh Forest Division for the year 2024-25,Kamakshya Prasad Mishra,09-Sep-2025 10:55 AM,,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC,2,2720162,MITRAVANU BEHERA,01-Jan-2025 12:10 PM,Accepted-AOC,accepted,09-Sep-2025 11:03 AM,,,,,,,,,,,,,,,,,,,,,,,,2,2720162,MITRAVANU BEHERA,INR,"515,148",,,,,,,AOC
