S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage
1.0,ICICI BANK,Municipal Bodies||Baripada Municipality,BPDM-4 OF 2025/2026,2025_ORULB_114263_57,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Tender cost, EMD remitted on line mode, GST, PAN,Contractor valid R.C and Labour license as per DTCN",Digging of Bore well and Fixing of grill in Drinking water Kiosk and P.H. Work at Bus stand under Baripada Municipality in Ward No.4,Digging of Bore well and Fixing of grill in Drinking water Kiosk and P.H. Work at Bus stand under Baripada Municipality in Ward No.4,Please refer Tender documents. ,NA ,"4,72,458",Civil Works - Water Works,NA ,Tender,120.0,60.0,Baripada Municipality,757001.0,NA ,NA ,NA ,Baripada Municipality,No ,No,"Executive Officer,Baripada Municipality","Executive Officer, Baripada Municipality, Baripada.","2,360",0.0,Nil,Nil,No,"4,750",Yes,fixed,,Nil,Nil,09-Jun-2025 01:00 PM,24-Jun-2025 11:30 AM,09-Jun-2025 01:00 PM,23-Jun-2025 05:00 PM,NA ,NA ,09-Jun-2025 01:00 PM,23-Jun-2025 05:00 PM,AOC,"Executive Officer, Baripada Municipality",Internal,"Municipal Engineer, Baripada Municipality, Asst CT and GST Officer,Baripada Tahasilda Baripada Executive Officer, Baripada Municipality Chairperson, Baripada Municipality",Debiprasad Rout,19-Sep-2025 05:03 PM,techsummary_542639.pdf (946.10 KB),"Executive Officer, Baripada Municipality",Internal,"Municipal Engineer, Baripada Municipality, Asst CT and GST Officer,Baripada Tahasilda Baripada Executive Officer, Baripada Municipality Chairperson, Baripada Municipality",Debiprasad Rout,19-Sep-2025 05:08 PM,finsummary_542639.pdf (946.10 KB),Finance,The 2 bidders have participated and the documents will be placed before the Tender Committee.,JADABENDRA MOHAPATRA,03-Jul-2025 01:13 PM,,BOQ Comparative Chart,1.0,2978255.0,RANJIT SAHOO,INR,"557,500",Municipal Bodies||Baripada Municipality,2025_ORULB_114263_57,BPDM-4 OF 2025/2026,Digging of Bore well and Fixing of grill in Drinking water Kiosk and P.H. Work at Bus stand under Baripada Municipality in Ward No.4,1.0,2978255.0,RANJIT SAHOO,23-Jun-2025 01:40 PM,Accepted-AOC,As L1,19-Sep-2025 05:11 PM,19-Sep-2025,"INR 557,500",60.0,Debiprasad Rout,19-Sep-2025 05:10 PM,57.pdf (10480.00 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,"Affidavits,undertakings and any other documents as per DTCN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2978171.0,SUJIT KUMAR NAYAK,23-Jun-2025 01:10 PM,Rejected-Finance,As L2,19-Sep-2025 05:08 PM,,,,,,,AOC
,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
