Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
SUSHIL CHANDRA SAMANTARAY,Internal,EE ESTIMATOR DAO,Sushil Chandra Samantaray,05-Aug-2023 03:49 PM,08-Aug-2023 11:00 AM,techsummary_443635.pdf (674.84 KB),1.0,2178224.0,m/s ashok kumar dash,INR,"15,442,201.43",CE RW I||RWCIRCLE-SAMBALPUR,2023_CERWI_90474_7,Road Tender Online RWCSBP-09/2023-24,"Periodical renewal work of five-year Post DLP PMGSY roads for financial year 2023-24, R.W.Division, Bargarh -Group-III, No. of roads-04",Finance,2 NOS BIDDER,Madhusmita Mohanty,08-Aug-2023 01:28 PM,finance_443635.pdf,BOQ Comparative Chart,1,2179612,JAYAKUMARI PADHAN,18-Jul-2023 10:04 AM,Rejected-Finance,L2 BIDDER,09-Sep-2025 06:00 PM,Technical,2 NOS BIDDER,Sushil Chandra Samantaray,20-Jul-2023 12:13 PM,technical_443635.pdf,SUJIT BEHERA,Internal,EE ESTIMATOR DAO,Sujit Behera,09-Sep-2025 06:00 PM,finsummary_443635.pdf (26.18 KB),09-Sep-2025,"INR 15,442,201.43",180.0,Sujit Behera,09-Sep-2025 06:02 PM,TECH.pdf (26.00 KB),AOC,AOC,11-Jul-2023 03:00 PM,19-Jul-2023 11:00 AM,11-Jul-2023 03:00 PM,18-Jul-2023 05:00 PM,11-Jul-2023 03:00 PM ,15-Jul-2023 05:00 PM ,11-Jul-2023 03:00 PM,18-Jul-2023 05:00 PM,08-Aug-2023 11:00 AM,CCE RW CIRCLE SAMBALPUR,CCE RW CIRCLE SAMBALPUR,"10,000",0.0,Nil,Nil,No,1,Fee/PreQual/Technical,.pdf,"Online proof copyoftender cost,EMD,GSTIN,PAN,RC,Affidavit,Machineries,experience etc.req. asper DTCN","1,47,083",Yes,percentage,1.0%,Nil,Nil,"Periodical renewal work of five-year Post DLP PMGSY roads for financial year 2023-24, R.W.Division, Bargarh -Group-III, No. of roads-04","Periodical renewal work of five-year Post DLP PMGSY roads for financial year 2023-24, R.W.Division, Bargarh -Group-III, No. of roads-04",Please refer Tender documents. ,NA ,"1,47,08,259",Civil Works - Roads,NA ,Tender,90.0,180.0,Bargarh,768028.0,NA ,NA ,NA ,CCE RW CIRCLE SAMBALPUR,No ,No,1,ICICI BANK,CE RW I||RWCIRCLE-SAMBALPUR,Road Tender Online RWCSBP-09/2023-24,2023_CERWI_90474_7,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,2ND CORRIGENDUM,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2178224,m/s ashok kumar dash,18-Jul-2023 11:52 AM,Accepted-AOC,AOC,09-Sep-2025 06:02 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2,Finance,.xls,BILL OF QUANTITIES,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
