S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,"Construction and Renovation of Drain at Janta Niwas Gali back side of Toilet in Ward no 30 under RMC, Rourkela.",Works,Please refer Tender documents. ,NA ,"17,99,000",Civil Works - Others,NA ,Tender,90.0,60.0,Rourkela,769012.0,NA ,NA ,NA ,"Rourkela Municipal Corporation, Rourkela",No ,No,10-Jul-2025 06:00 PM,28-Jul-2025 11:00 AM,10-Jul-2025 06:00 PM,25-Jul-2025 05:00 PM,NA ,NA ,10-Jul-2025 06:00 PM,25-Jul-2025 05:00 PM,Rourkela Municipal Corporation,MC/RMC/30/2025,2025_RMC_115411_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Registration Certificate, Affidavit, PAN, GST, EMD, Paper Cost and other documents as per DTCN","Municipal Commissioner, RMC","Rourkela Municipal Corporation, Rourkela","17,990",Yes,fixed,,Nil,Nil,AOC,04-Sep-2025,"INR 1,529,822.26",60.0,Manas Biswal,04-Sep-2025 01:55 PM,BID30.pdf (1196.00 KB),Awarded to Ansari and Son,1.0,3011992.0,ANSARI AND SON,INR,"1,529,822.26",Rourkela Municipal Corporation,2025_RMC_115411_5,MC/RMC/30/2025,"Construction and Renovation of Drain at Janta Niwas Gali back side of Toilet in Ward no 30 under RMC, Rourkela.",Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,04-Sep-2025 01:53 PM,finsummary_545717.pdf (1196.19 KB),Finance,EMD refund,Manas Biswal,04-Sep-2025 12:42 PM,finance_545717.pdf,BOQ Comparative Chart,Commissioner,External,"Audit Officer, Executive Engineer, Superintending Engineer, Joint Commissioner",Manas Biswal,04-Sep-2025 01:39 PM,techsummary_545717.pdf (1196.19 KB),1,3011992,ANSARI AND SON,25-Jul-2025 04:16 PM,Accepted-AOC,By The Tender Committee,04-Sep-2025 01:55 PM,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3002071,ARADHYA CONSTRUCTION,17-Jul-2025 12:48 PM,Rejected-Technical,By The Tender Committee,04-Sep-2025 01:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3002132,ARATI TRIPATHY,17-Jul-2025 01:04 PM,Rejected-Technical,By The Tender Committee,04-Sep-2025 01:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3010803,KARTIK DAS,24-Jul-2025 01:34 PM,Rejected-Technical,By The Tender Committee,04-Sep-2025 01:39 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3011125,RAJEN KUMAR SAHOO,24-Jul-2025 04:50 PM,Rejected-Technical,By The Tender Committee,04-Sep-2025 01:39 PM,AOC
