Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Finance,COMPARATIVE STATEMENT,Anil Kumar Das,28-Jan-2025 12:52 PM,finance_525706.pdf,BOQ Comparative Chart,1.0,2775200.0,ADITYA KUMAR BEHERA PROPRIETOR SB CONSTRUCTION (SC),INR,"1,134,294",CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,2025_CERWI_109407_1,SERWPH-15/2024-25,"Construction of PH Works (SI, SD AND WS) to Toilets of 1st Floor (Existing Budget Brach) of office of the EIC RW(O) Bhubaneswar in Khordha District..",Executive Engineer,Internal,,Anil Kumar Das,06-Sep-2025 12:08 PM,finsummary_525706.pdf (63.96 KB),Supeintending Engineer,Internal,"Sr. DAO, Divisional Estimator",Anil Kumar Das,10-Feb-2025 06:28 PM,techsummary_525706.pdf (308.73 KB),1,2775200,ADITYA KUMAR BEHERA PROPRIETOR SB CONSTRUCTION (SC),24-Jan-2025 05:18 PM,Accepted-AOC,Qualified in Transparency lottery,08-Sep-2025 01:07 PM,06-Sep-2025,"INR 1,134,294",90.0,Anil Kumar Das,08-Sep-2025 01:07 PM,5066.pdf (327.00 KB),AOC,"Construction of PH Works (SI, SD AND WS) to Toilets of 1st Floor (Existing Budget Brach) of office of the EIC RW(O) Bhubaneswar in Khordha District..","Construction of PH Works (SI, SD AND WS) to Toilets of 1st Floor (Existing Budget Brach) of office of the EIC RW(O) Bhubaneswar in Khordha District..",Please refer Tender documents. ,NA ,"13,34,307",Civil Works - Buildings,NA ,Tender,90.0,NA ,Bhubaneswar,751001.0,NA ,NA ,NA ,"O/O THE SE RW (PH) DIVISION,BHUBANESWAR",No ,No,"13,400",Yes,fixed,,Nil,Nil,18-Jan-2025 11:00 AM,28-Jan-2025 11:00 AM,18-Jan-2025 11:00 AM,27-Jan-2025 05:00 PM,NA ,NA ,18-Jan-2025 11:00 AM,27-Jan-2025 05:00 PM,1.0,ICICI BANK,"Superintending Engineer,RW (PH) Division, BBSR","SE RW (PH) DIVISION, BBSR Behind Esplande mall, Bomikhal, Rasulgarh,751010","6,000",0.0,Nil,Nil,No,CE RW I||SE RW PH CIRCLE BBSR||EE RW PH DIVN. BBSR,SERWPH-15/2024-25,2025_CERWI_109407_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid License Document as per tender class of contractor in NIT, GST, Certificate, PAN Card",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2776709,BIJAYALAXMI PARIDA,25-Jan-2025 04:20 PM,Rejected-Finance,Not Qualified in Transparency lottery,06-Sep-2025 12:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"EMD, Tender Paper cost, Affidavit for correctness and no Relation Certificate.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2780525,BISWANATH KHATUA,27-Jan-2025 01:12 PM,Rejected-Finance,Not Qualified in Transparency lottery,06-Sep-2025 12:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2778498,DEVI PRASAD MOHAPATRA,26-Jan-2025 02:29 PM,Rejected-Finance,Not Qualified in Transparency lottery,06-Sep-2025 12:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2776890,GURUDEV GAUDA,25-Jan-2025 05:36 PM,Rejected-Finance,Not Qualified in Transparency lottery,06-Sep-2025 12:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2775140,JAGYASENI BEHERA (SC),24-Jan-2025 05:00 PM,Rejected-Finance,Not Qualified in Transparency lottery,06-Sep-2025 12:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2780381,KRUSHNA CHANDRA SWAIN,27-Jan-2025 12:47 PM,Rejected-Finance,Not Qualified in Transparency lottery,06-Sep-2025 12:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2776954,LINGARAJ JENA,25-Jan-2025 05:49 PM,Rejected-Finance,Not Qualified in Transparency lottery,06-Sep-2025 12:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2775915,Mamata Martha,25-Jan-2025 10:14 AM,Rejected-Finance,Not Qualified in Transparency lottery,06-Sep-2025 12:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2777241,PRASANT KUMAR MOHANTY,26-Jan-2025 12:52 PM,Rejected-Finance,Not Qualified in Transparency lottery,06-Sep-2025 12:08 PM,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
