Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,All the bidders are qualified.,Manoj Kumar Meher,16-Sep-2025 05:42 PM,,BOQ Comparative Chart,17-Sep-2025,"INR 1,407,656",180.0,Manoj Kumar Meher,23-Sep-2025 04:44 PM,ughsbadabasiniag.pdf (927.00 KB),Agreement Value,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nabarangpur||UMERKOTE Block,2025_PRBUM_113916_21,BDO/EDU/UKT/01/25-26,Construction of Additional Classroom at UGHS Badabasini,1.0,2974188.0,SWARNALATA BEHURA,INR,"1,407,656",1,2974364,KUSHA SAHU,20-Jun-2025 02:53 PM,Rejected-AOC,Disqualified in Transparent Lottery,23-Sep-2025 04:44 PM,"BDO, UMERKOTE",Internal,"BDO, AEE, BFO, SO",Manoj Kumar Meher,17-Sep-2025 12:47 PM,techsummary_541780.pdf (198.34 KB),"BDO, UMERKOTE",Internal,"BDO, AEE, BFO, SO",Manoj Kumar Meher,17-Sep-2025 04:52 PM,finsummary_541780.pdf (198.34 KB),AOC,Panchayati Raj and Drinking Water Department Odisha||Zilla Parisad Nabarangpur||UMERKOTE Block,BDO/EDU/UKT/01/25-26,2025_PRBUM_113916_21,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"17,000",Yes,fixed,,Nil,Nil,1.0,ICICI BANK,"6,000",Nil,Nil,No,"Block Development Officer, Umerkote","Panchayat Samiti, Umerkote, At-Gulipatna, Umerkote, Dist.- Nabarangpur",1.0,Fee/PreQual/Technical/Finance,.pdf,"GST, PAN, Affidavit and other related documents as per DTCN",02-Jun-2025 04:00 PM,23-Jun-2025 11:00 AM,02-Jun-2025 04:00 PM,21-Jun-2025 04:00 PM,NA ,NA ,02-Jun-2025 04:00 PM,21-Jun-2025 04:00 PM,Construction of Additional Classroom at UGHS Badabasini,Construction of Additional Classroom at UGHS Badabasini,Please refer Tender documents. ,NA ,"16,58,870",Civil Works - Buildings,NA ,Tender,90.0,180.0,Umerkote,764073.0,NA ,NA ,NA ,"O/o Block Development Officer, Umerkote",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2,2971310,MOHAMMAD WASHIQ LATHIYA,17-Jun-2025 09:06 PM,Rejected-AOC,Disqualified in Transparent Lottery,23-Sep-2025 04:44 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3,2968671,NARENDRA NAYAK,16-Jun-2025 01:21 PM,Rejected-AOC,Disqualified in Transparent Lottery,23-Sep-2025 04:44 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4,2973515,PARITOSH MANDAL,19-Jun-2025 01:21 PM,Rejected-AOC,Disqualified in Transparent Lottery,23-Sep-2025 04:44 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5,2974090,PLABAN KUMAR JENA,20-Jun-2025 01:35 PM,Rejected-AOC,Disqualified in Transparent Lottery,23-Sep-2025 04:44 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6,2975627,RABI SING NAYAK,20-Jun-2025 05:12 PM,Rejected-AOC,Disqualified in Transparent Lottery,23-Sep-2025 04:44 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7,2976960,RAHUL KUMAR AGRAWAL,21-Jun-2025 03:10 PM,Rejected-AOC,Disqualified in Transparent Lottery,23-Sep-2025 04:44 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8,2974562,RATAN KUMAR MONDAL,20-Jun-2025 03:53 PM,Rejected-AOC,Disqualified in Transparent Lottery,23-Sep-2025 04:44 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9,2976195,SATRUGHAN LENKA,21-Jun-2025 08:13 AM,Rejected-AOC,Disqualified in Transparent Lottery,23-Sep-2025 04:44 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,10,2976169,SUBHASRI SAMAL,21-Jun-2025 07:11 AM,Rejected-AOC,Disqualified in Transparent Lottery,23-Sep-2025 04:44 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
