S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2978286.0,Sudhansu Sekhar Das,INR,"4,905,085",Technical,23 nos of bidder participated and under scrutiny.,Sandipta Panigrahi,10-Jul-2025 01:46 PM,,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM II,2025_EICCL_114469_1,SC RandB GM-II-03/2025-26,"Improvement to Work shop Block and construction of New toilet Block, Paver block and Drain at Government I.T.I. Purushottampur in the District of Ganjam for the year 2024-25",Superintending Engineer,Internal,DAO and Estimator,Sandipta Panigrahi,26-Sep-2025 07:30 PM,finsummary_543119.pdf (1317.17 KB),Superintending Engineer,Internal,DAO and Estimator,Sandipta Panigrahi,05-Aug-2025 06:01 PM,05-Aug-2025 06:30 PM,techsummary_543119.pdf (1211.80 KB),Finance,22 nos of bidder participated and under crutiny,Sandipta Panigrahi,26-Sep-2025 07:23 PM,finance_543119.pdf,BOQ Comparative Chart,26-Sep-2025,"INR 5,770,010",150.0,Sandipta Panigrahi,26-Sep-2025 07:36 PM,Doc.pdf (1317.00 KB),Work awarded to Sri Sudhanshu Sekhar Das,1,2978365,Ajaya Kumar Sethy,23-Jun-2025 03:23 PM,Rejected-AOC,Not awarded,26-Sep-2025 07:36 PM,AOC,EIC-CIVIL||SERNB-CIRCLE-BERHAMPUR||EERNB-DIVN-GANJAM II,SC RandB GM-II-03/2025-26,2025_EICCL_114469_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"10,000",0.0,Nil,Nil,No,"Improvement to Work shop Block and construction of New toilet Block, Paver block and Drain at Government I.T.I. Purushottampur in the District of Ganjam for the year 2024-25",Building work,Please refer Tender documents. ,NA ,"57,70,000",Civil Works - Buildings,NA ,Tender,90.0,150.0,Purushottampur,760009.0,NA ,NA ,NA ,office of the S.E. Ganjam RaB Divn No.II Berhampur,No ,No,Superintending Engineer,office of the S.E. Ganjam RaB Divn No.II Hillpatna Berhampur-5,1.0,Fee/PreQual/Technical,.pdf,Cost of tender EMD GSTIN PAN Regn certificate Affidavit and other documents as per DTCN,"57,700",Yes,fixed,,Nil,Nil,14-Jun-2025 10:00 AM,24-Jun-2025 11:30 AM,14-Jun-2025 10:00 AM,23-Jun-2025 04:00 PM,14-Jun-2025 10:00 AM ,18-Jun-2025 04:00 PM ,14-Jun-2025 10:00 AM,23-Jun-2025 04:00 PM,05-Aug-2025 06:30 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2977235,AMARESWARA SATAPATHY,21-Jun-2025 07:20 PM,Rejected-AOC,Not awarded,26-Sep-2025 07:36 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2978398,AMIT KUMAR SAHU,23-Jun-2025 03:35 PM,Rejected-AOC,Not awarded,26-Sep-2025 07:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2975744,BIBEKANANDA MISHRA,20-Jun-2025 06:21 PM,Rejected-AOC,Not awarded,26-Sep-2025 07:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2977626,CHANDAN KUMAR NAHAK,23-Jun-2025 12:00 PM,Rejected-AOC,Not awarded,26-Sep-2025 07:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2978138,CHINMAYA KUMAR PRAHARAJ,23-Jun-2025 12:43 PM,Rejected-AOC,Not awarded,26-Sep-2025 07:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2977662,DEEPAK SAHU,22-Jun-2025 05:37 PM,Rejected-AOC,Not awarded,26-Sep-2025 07:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2978311,DURGA MADHABA SAHU,23-Jun-2025 02:16 PM,Rejected-AOC,Not awarded,26-Sep-2025 07:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2978176,GANESH PATRA,23-Jun-2025 01:14 PM,Rejected-AOC,Not awarded,26-Sep-2025 07:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2976863,G. Monali Dora,21-Jun-2025 02:16 PM,Rejected-AOC,Not awarded,26-Sep-2025 07:36 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
