Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
swadhinata Sahani,Internal,,Kamakshya Prasad Mishra,09-Sep-2025 12:35 PM,techsummary_509149.pdf (682.28 KB),1.0,2585940.0,SURENDRA NARAYAN MISHRA,20-Oct-2024 07:45 PM,Accepted-AOC,accepted,09-Sep-2025 12:41 PM,09-Sep-2025,"INR 1,105,223",90.0,Kamakshya Prasad Mishra,09-Sep-2025 12:41 PM,27.pdf (743.00 KB),"Construction of 1 No. Forest Guard Quarter, Siria Beat of under Reamal Range of Deogarh Forest Division during the year 2024-25",1.0,2585940.0,SURENDRA NARAYAN MISHRA,INR,"1,105,223",Finance,"Construction of 1 No. Forest Guard Quarter, Siria Beat of under Reamal Range of Deogarh Forest Division during the year 2024-25",Kamakshya Prasad Mishra,09-Sep-2025 12:33 PM,finance_509149.pdf,BOQ Comparative Chart,swadhinata Sahani,Internal,"Construction of 1 No. Forest Guard Quarter, Siria Beat of under Reamal Range of Deogarh Forest Division during the year 2024-25",Kamakshya Prasad Mishra,09-Sep-2025 12:37 PM,finsummary_509149.pdf (682.29 KB),Forest Environment and Climate Change Department||RCCF Rourkela||DFO Deogarh,2024_DFODE_105538_1,DFOFE and CC02 2024 25,"Construction of 1 No. Forest Guard Quarter, Siria Beat of under Reamal Range of Deogarh Forest Division during the year 2024-25",AOC,1,ICICI BANK,Forest Environment and Climate Change Department||RCCF Rourkela||DFO Deogarh,DFOFE and CC02 2024 25,2024_DFODE_105538_1,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"6,000",Nil,Nil,No,DFO Deogarh,DFO Deogarh,1.0,Fee/PreQual/Technical/Finance,.pdf,dtcn,07-Oct-2024 11:00 AM,21-Oct-2024 05:00 PM,07-Oct-2024 11:00 AM,21-Oct-2024 11:00 AM,07-Oct-2024 11:00 AM ,21-Oct-2024 11:00 AM ,07-Oct-2024 11:00 AM,21-Oct-2024 11:00 AM,"Construction of 1 No. Forest Guard Quarter, Siria Beat of under Reamal Range of Deogarh Forest Division during the year 2024-25","Construction of 1 No. Forest Guard Quarter, Siairia Beat of under Reamal Range of Deogarh Forest Division during the year 2024-25",Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,90.0,90.0,Siaria,768108.0,NA ,NA ,NA ,DFO Deograh,No ,No,"12,278",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
