Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-20/2024-25 Dt. 25.09.2024,2024_ORULB_105182_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,26-Sep-2024 03:00 PM,03-Oct-2024 12:30 PM,26-Sep-2024 03:00 PM,03-Oct-2024 11:30 AM,26-Sep-2024 03:00 PM ,30-Sep-2024 10:00 AM ,26-Sep-2024 03:00 PM,03-Oct-2024 11:30 AM,1.0,Fee/PreQual/Technical/Finance,.pdf,scanned copy of all documents,"40,875",Yes,fixed,,Nil,Nil,"Regular repair and maintenance of roads in Ward 56, 57 and 59 of Bhubaneswar Municipal Corporation (BMC) Area.","Regular repair and maintenance of roads in Ward 56, 57 and 59 of Bhubaneswar Municipal Corporation (BMC) Area.",Please refer Tender documents. ,NA ,"40,87,535",Civil Works - Roads,NA ,Tender,120.0,180.0,BMC AREA,751022.0,"City Engineer Chamber, BMC ","City Engineer Chamber, BMC ",30-Sep-2024 11:00 AM ,"Central Tender cell, BMC",No ,No,"6,000",0.0,Nil,Nil,No,"EE ,Central Tender Cell","EE ,Central Tender Cell,BMC",1,ICICI BANK,AOC,Municipal Bodies||Bhubaneswar Municipal Corporation,2024_ORULB_105182_5,BMC-EE-Tender Cell-20/2024-25 Dt. 25.09.2024,"Regular repair and maintenance of roads in Ward 56, 57 and 59 of Bhubaneswar Municipal Corporation (BMC) Area.",City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,16-Sep-2025 03:28 PM,finsummary_507762.pdf (144.40 KB),Finance,2 bids opened successfully,Lipsa Parida,03-Oct-2024 01:21 PM,finance_507762.pdf,BOQ Comparative Chart,1.0,2564579.0,PRATAP CHANDRA MAHARANA,INR,"4,100,280",1,2564579,PRATAP CHANDRA MAHARANA,02-Oct-2024 06:01 PM,Accepted-AOC,L1 bidder,16-Sep-2025 03:34 PM,16-Sep-2025,"INR 4,100,280",180.0,Lipsa Parida,16-Sep-2025 03:34 PM,workorder_5.pdf (298.00 KB),City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONIII,EEDRAINAGEDIVISION,DYCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,16-Sep-2025 03:18 PM,techsummary_507762.pdf (127.24 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,2,2566313,RASHMI KANTA DASH,02-Oct-2024 09:10 PM,Rejected-Finance,Rejected,16-Sep-2025 03:28 PM,,,,,,,,,,,,,AOC
