Cover No,Cover,Document Type,Description,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,"Tender cost, PAN, GSTIN, Affidavit, RC, EMD","SE CBT R and B Division, Choudwar","SE CBT R and B Division, Choudwar",EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB DIVN CHARBATIA,SE CBT (R and B)-08/2025-26,2025_EICCL_114493_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"10,000",0.0,Nil,Nil,No,1.0,ICICI BANK,17-Jun-2025 10:00 AM,25-Jun-2025 11:00 AM,17-Jun-2025 10:00 AM,24-Jun-2025 05:00 PM,17-Jun-2025 10:00 AM ,21-Jun-2025 05:00 PM ,17-Jun-2025 10:00 AM,24-Jun-2025 05:00 PM,17-Jul-2025 03:00 PM,Construction and beautification of existing bungalow Indra Bhawan and its surrounding at Narasinghpur in Cuttack district,Construction and beautification of existing bungalow Indra Bhawan and its surrounding at Narasinghpur in Cuttack district,Please refer Tender documents. ,NA ,"82,20,615",Civil Works - Buildings,NA ,Tender,90.0,120.0,Narasinghpur,754032.0,NA ,NA ,NA ,"SE CBT R and B Division, Choudwar",No ,No,"82,300",Yes,fixed,,Nil,Nil,AOC,A K Ray,Internal,S Mukherjee S Singh I Priyadarshani,Ajit Kumar Ray,12-Sep-2025 11:24 AM,finsummary_543216.pdf (5908.00 KB),EIC-CIVIL||SERNB-CIRCLE-DHENKANAL||EERNB DIVN CHARBATIA,2025_EICCL_114493_1,SE CBT (R and B)-08/2025-26,Construction and beautification of existing bungalow Indra Bhawan and its surrounding at Narasinghpur in Cuttack district,Technical,All are valid tender,Ajit Kumar Ray,17-Jul-2025 01:35 PM,technical_543216.pdf,1.0,2979178.0,SURJYAKANTA SAHOO,INR,"6,988,345",1,2978706,ABHAYA KUMAR SAHOO,24-Jun-2025 11:07 AM,Rejected-Finance,Not winning in the lottery,12-Sep-2025 11:24 AM,12-Sep-2025,"INR 6,988,345",120.0,Ajit Kumar Ray,12-Sep-2025 11:28 AM,4074.pdf (3459.00 KB),Actual date of commencement is dt.20.08.2025,Finance,All are valid tender,Ajit Kumar Ray,12-Sep-2025 11:01 AM,finance_543216.pdf,BOQ Comparative Chart,A K Ray,Internal,S Mukherjee S Singh I Priyadarshini,Ajit Kumar Ray,17-Jul-2025 01:51 PM,17-Jul-2025 03:00 PM,techsummary_543216.pdf (1309.67 KB),AOC
,,.pdf,Other documents as per DTCN,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2,2974368,AJIT KUMAR NAYAK,19-Jun-2025 09:03 PM,Rejected-Technical,due to non submission of T and P,17-Jul-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,3,2979064,ALOKRANJAN BHOI,24-Jun-2025 01:04 PM,Rejected-Technical,validity of lease agreement expired,17-Jul-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,4,2979121,BISAL KUMAR MOHARANA,24-Jun-2025 01:46 PM,Rejected-Finance,Not winning in the lottery,12-Sep-2025 11:24 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,5,2979203,DIGAMBAR DASH,24-Jun-2025 03:23 PM,Rejected-Finance,Not winning in the lottery,12-Sep-2025 11:24 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,6,2979260,JAGANNATH HEMBRAM,24-Jun-2025 04:24 PM,Rejected-Finance,Not winning in the lottery,12-Sep-2025 11:24 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,7,2977261,JAY JAGANNATH TRANSPORT,21-Jun-2025 07:31 PM,Rejected-Finance,Not winning in the lottery,12-Sep-2025 11:24 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,8,2978974,JYOTI RANJAN DASH,24-Jun-2025 12:35 PM,Rejected-Technical,Inadequate T and P,17-Jul-2025 01:51 PM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,9,2978739,KHAGESWAR SAHOO,23-Jun-2025 10:32 PM,Rejected-Finance,Not winning in the lottery,12-Sep-2025 11:24 AM,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,10,2978993,MALAYA RANJAN SAHOO,24-Jun-2025 12:26 PM,Rejected-Finance,Not winning in the lottery,12-Sep-2025 11:24 AM,,,,,,,,,,,,,,,,,,,,,AOC
