Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Document :.2,Tender Stage
1.0,Fee/PreQual/Technical/Finance,.pdf,TECHNICAL,1.0,ICICI BANK,"Construction of AWC at Rajput Sahi,Ward-06","Construction of AWC at Rajput Sahi,Ward-06",Please refer Tender documents. ,NA ,"22,29,030",Civil Works - Buildings,NA ,Tender,90.0,180.0,ANANDAPUR MUNICIPALITY,758021.0,NA ,NA ,NA ,ANANDAPUR MUNICIPALITY,No ,No,"22,290",Yes,percentage,1.0%,Nil,Nil,EXECUTIVE OFFICER,ANANDAPUR MUNICIPALITY,"6,000",0.0,Nil,Nil,No,01-Jul-2025 12:00 PM,14-Jul-2025 11:00 AM,01-Jul-2025 12:00 PM,11-Jul-2025 05:00 PM,NA ,NA ,01-Jul-2025 12:00 PM,11-Jul-2025 05:00 PM,Municipal Bodies||Anandapur Municipal Council,AM-ANDP-01/2025-26,2025_ORULB_114847_8,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC,cp,Internal,comm,Debaprasad Bal,18-Sep-2025 04:15 PM,finsummary_544396.pdf (56.14 KB),Municipal Bodies||Anandapur Municipal Council,2025_ORULB_114847_8,AM-ANDP-01/2025-26,"Construction of AWC at Rajput Sahi,Ward-06",1.0,2994647.0,SANJIP KUMAR SINGH,INR,"2,235,980",Finance,k,Debaprasad Bal,15-Jul-2025 06:13 PM,finance_544396.pdf,BOQ Comparative Chart,1,2994388,BANDITA NAYAK,09-Jul-2025 06:28 PM,Rejected-Finance,k,18-Sep-2025 04:15 PM,18-Sep-2025,"INR 2,235,980",180.0,Debaprasad Bal,18-Sep-2025 04:36 PM,8.pdf (336.00 KB),cp,Internal,comm,Debaprasad Bal,18-Sep-2025 04:11 PM,techsummary_544396.pdf (56.14 KB),AOC
,,.xls,FINANCIAL,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,2,2995325,DHIRENDRA KUMAR SAHOO,10-Jul-2025 04:33 PM,Rejected-Finance,k,18-Sep-2025 04:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,3,2995499,GYANA PRAKASH DALAI,10-Jul-2025 11:25 PM,Rejected-Finance,k,18-Sep-2025 04:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,4,2992845,KAMALAKANTA BEHERA,08-Jul-2025 05:54 PM,Rejected-Finance,k,18-Sep-2025 04:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,5,2995555,PRAKASH GHADEI,10-Jul-2025 07:50 PM,Rejected-Finance,k,18-Sep-2025 04:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,6,2995194,PRATAP KUMAR RAM,10-Jul-2025 03:12 PM,Rejected-Finance,k,18-Sep-2025 04:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,7,2994687,PRIYABRATA SAHOO,10-Jul-2025 01:41 AM,Rejected-Finance,k,18-Sep-2025 04:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,8,2994647,SANJIP KUMAR SINGH,09-Jul-2025 10:46 PM,Accepted-AOC,k,18-Sep-2025 04:36 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,9,2994280,SUNIT KUMAR RAM,09-Jul-2025 06:33 PM,Rejected-Finance,k,18-Sep-2025 04:15 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,10,2994306,TARA PRASAD SAHOO,09-Jul-2025 05:24 PM,Rejected-Finance,k,18-Sep-2025 04:15 PM,,,,,,,,,,,,,AOC
