Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Municipal Bodies||Bhubaneswar Municipal Corporation,BMC-EE-Tender Cell-60/2024-25 Dt. 22.01.2025,2025_ORULB_109769_6,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"4,000",0.0,Nil,Nil,No,1.0,Fee/PreQual/Technical/Finance,.pdf,scanned copies of all documents,"EE Central Tender Cell,BMC","EE Central Tender Cell,BMC,ICOMC TOWER","9,700",Yes,fixed,,Nil,Nil,27-Jan-2025 04:00 PM,07-Feb-2025 11:30 AM,27-Jan-2025 04:00 PM,06-Feb-2025 05:00 PM,27-Jan-2025 04:00 PM ,30-Jan-2025 04:00 PM ,27-Jan-2025 04:00 PM,06-Feb-2025 05:00 PM,Construction of Road and Drain from Plot No.2356/2991 to Plot No.2356/2874 at Sameigadia in Ward No.5,Construction of Road and Drain from Plot No.2356/2991 to Plot No.2356/2874 at Sameigadia in Ward No.5,Please refer Tender documents. ,NA ,"9,63,633",Civil Works - Roads,NA ,Tender,120.0,60.0,BMC Area,751022.0,"UG Floor,Central Tender Cell,BMC ","UG Floor,Central Tender Cell,ICOMC TOWER,BMC ",31-Jan-2025 12:00 PM ,"Central Tender Cell,BMC",No ,No,1.0,ICICI BANK,AOC,01-Sep-2025,"INR 966,637",60.0,Lipsa Parida,01-Sep-2025 03:25 PM,workorder_60_6.pdf (410.00 KB),1,2798998,DILLIP KUMAR MOHANTY,06-Feb-2025 10:58 AM,Rejected-Finance,Rejected,01-Sep-2025 03:19 PM,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONI,EEDRAINAGEDIVISION,ZONALCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,01-Sep-2025 03:11 PM,techsummary_527068.pdf (1066.82 KB),Municipal Bodies||Bhubaneswar Municipal Corporation,2025_ORULB_109769_6,BMC-EE-Tender Cell-60/2024-25 Dt. 22.01.2025,Construction of Road and Drain from Plot No.2356/2991 to Plot No.2356/2874 at Sameigadia in Ward No.5,City Engineer,Internal,"EECENTRALTENDERCELL,EEDIVISIONI,EEDRAINAGEDIVISION,ZONALCOMMISSIONER(LEGAL),CHIEFFINACEOFFICER",Lipsa Parida,01-Sep-2025 03:19 PM,finsummary_527068.pdf (1921.06 KB),Finance,3 bids opened successfully,Taras Marandi,07-Feb-2025 12:38 PM,finance_527068.pdf,BOQ Comparative Chart,1.0,2788088.0,MANJULATA DAS,INR,"966,637",AOC
,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,2,2788088,MANJULATA DAS,29-Jan-2025 11:45 PM,Accepted-AOC,L1 bidder,01-Sep-2025 03:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,3,2799577,RASHMI ENTERPRISES PROP-BIKRAM KESHARI PATRA,06-Feb-2025 08:32 AM,Rejected-Finance,Rejected,01-Sep-2025 03:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
