Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
"Executive Engineer, R.W EL.DIVN.BBSR",Internal,"Executive Engineer, D.A.O-II, and Estimator of R.W EL.DIVN.BBSR",Chudamani Sethi,01-Sep-2025 04:07 PM,techsummary_546688.pdf (409.19 KB),20-Sep-2025,"INR 2,443,629",180.0,Chudamani Sethi,20-Sep-2025 05:26 PM,3033.pdf (413.00 KB),Abhilash Pradhan has deposited requisite amount of APS and ISD,1,3016099,ABHILASH PRADHAN,29-Jul-2025 11:10 AM,Accepted-AOC,Abhilash Pradhan has deposited requisite amount of APS and ISD,20-Sep-2025 05:26 PM,Finance,10 nos bidders participated in the tender,Chudamani Sethi,04-Aug-2025 01:53 PM,finance_546688.pdf,BOQ Comparative Chart,1.0,3016099.0,ABHILASH PRADHAN,INR,"2,443,629",CE RW I||RW Electrical Circle Bhubaneswar||RW Electrical Division Bhubaneswar,2025_CERWI_115800_5,EERWELBBSR 06/ 2025-26,"Provn. of 55 KW Roof top Solar System at Jajpur (Kendrapara- Jajpur Circle 30KW , Jajpur-I Division 15 KW,Jajpur-II Division 10 KW)","Executive Engineer, R.W EL.DIVN.BBSR",Internal,"Executive Engineer, D.A.O-II, and Estimator of R.W EL.DIVN.BBSR",Chudamani Sethi,20-Sep-2025 05:22 PM,finsummary_546688.pdf (660.72 KB),AOC,1.0,Fee/PreQual/Technical/Finance,.pdf,"Valid license copy ,GST certificate ,PAN card , EMD, Tender paper cost","Provn. of 55 KW Roof top Solar System at Jajpur (Kendrapara- Jajpur Circle 30KW , Jajpur-I Division 15 KW,Jajpur-II Division 10 KW)","Provn. of 55 KW Roof top Solar System at Jajpur (Kendrapara- Jajpur Circle 30KW , Jajpur-I Division 15 KW,Jajpur-II Division 10 KW)",Please refer Tender documents. ,NA ,"28,74,520",Electrical Works,NA ,Tender,90.0,180.0,Jajpur,755001.0,NA ,NA ,NA ,E. E. R.W EL.DIVN.BBSR At- Divn. Complex Rasulgarh,No ,No,1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,E. E. R.W EL.DIVN.BBSR At- Divn. Complex Rasulgarh,E. E. R.W EL.DIVN.BBSR At- Divn. Complex Rasulgarh,"28,745",Yes,percentage,1.0%,Nil,Nil,22-Jul-2025 12:00 PM,30-Jul-2025 01:00 PM,22-Jul-2025 12:00 PM,29-Jul-2025 05:00 PM,NA ,NA ,22-Jul-2025 12:00 PM,29-Jul-2025 05:00 PM,CE RW I||RW Electrical Circle Bhubaneswar||RW Electrical Division Bhubaneswar,EERWELBBSR 06/ 2025-26,2025_CERWI_115800_5,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,2,3015526,AJANTA ENTERPRISES,28-Jul-2025 05:05 PM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Affidavit for correctness, no relation certificate",,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3,3016392,Ampere india associates,29-Jul-2025 01:03 PM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4,3016185,BHARAT KUMAR SAHOO,29-Jul-2025 11:08 AM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5,3015811,CHAKADOLA ELECTRICAL,28-Jul-2025 08:14 PM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6,3015849,ICON BUILDERS,28-Jul-2025 08:04 PM,Rejected-Technical,"Not qualified, due to other than L1",01-Sep-2025 04:07 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,7,3016078,Kapaacon Enterprises Pvt Ltd,29-Jul-2025 12:09 PM,Rejected-Technical,"Not qualified, due to other than L1",01-Sep-2025 04:07 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,8,3016357,MESSERS BIRAJA ELECTRICAL AND CONSTRUCTION,29-Jul-2025 12:25 PM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,9,3016720,ONE STEP SOLUTIONS,29-Jul-2025 03:06 PM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,10,3016115,Sk Mohammed Wajuddin,29-Jul-2025 09:53 AM,Rejected-Finance,Looser on Lottery,20-Sep-2025 05:22 PM,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
