S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,2831954.0,SASMITA BEHERA,INR,"20,097,679","ACE,UKP,Bariniput",Internal,"Estimator and Asst. to ACE,UKP,Bariniput",Narendra Kumar Sitha,20-May-2025 11:58 PM,finsummary_528726.pdf (528.90 KB),CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,2025_UPIDB_110228_1,ACE-UKP-03(2024-25)(XI),Canal lining and renovation of Bichalkata Minor from RD 0.00Km to 3.8KM (working RD 00M to 2600M of Bichalkata minor and RD 00M to 2465M of Durgabhatta Minor).,Technical,Bid opening summary,Narendra Kumar Sitha,12-May-2025 12:22 PM,technical_528726.pdf,Finance,Financial Bid opening summary,Narendra Kumar Sitha,20-May-2025 07:03 PM,finance_528726.pdf,BOQ Comparative Chart,"ACE,UKP,Bariniput",Internal,"Estimator and Asst. to ACE,UKP,Bariniput",Narendra Kumar Sitha,12-May-2025 03:27 PM,13-May-2025 12:00 PM,techsummary_528726.pdf (409.27 KB),1,2832396,AMAN AGRAWAL,23-Feb-2025 12:56 PM,Rejected-AOC,Disqualified in transparent lottery system.,11-Sep-2025 08:20 PM,08-Sep-2025,"INR 23,641,547",180.0,Narendra Kumar Sitha,11-Sep-2025 08:20 PM,WOACE11.pdf (984.00 KB),Work Order,AOC,1.0,Fee/PreQual/Technical,.pdf,"Affidavit, GST Registration Certificate, GSTIN, PAN and Contractor RC, No Relation Certificate, etc.","2,36,500",Yes,fixed,,Nil,Nil,"Additional Chief Engineer, Upper Kolab Project,Bar","Office of the Additional Chief Engineer, Upper Kolab Project,Bariniput, Dist-Koraput, PIN-764006","10,000",Nil,Nil,No,1.0,ICICI BANK,CE AND BM IK BASIN BARINIPUT JEYPORE||Upper Kolab Project Bariniput||Upper Kolab Irrigation Division Borigumma,ACE-UKP-03(2024-25)(XI),2025_UPIDB_110228_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,Canal lining and renovation of Bichalkata Minor from RD 0.00Km to 3.8KM (working RD 00M to 2600M of Bichalkata minor and RD 00M to 2465M of Durgabhatta Minor).,CANAL LINING WORK,AS PER DTCN ,NA ,"2,36,41,547",Civil Works - Canal,NA ,Tender,90.0,180.0,JEYPORE,764001.0,NA ,NA ,NA ,"Office of the Additional Chief Engineer, Upper Kol",No ,No,06-Feb-2025 10:00 AM,24-Feb-2025 11:00 AM,06-Feb-2025 10:00 AM,23-Feb-2025 05:00 PM,NA ,NA ,06-Feb-2025 10:00 AM,23-Feb-2025 05:00 PM,13-May-2025 12:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2828946,Ankit Kumar Swain,21-Feb-2025 01:58 PM,Rejected-AOC,Disqualified in transparent lottery system.,11-Sep-2025 08:20 PM,,,,,,,,AOC,,,.pdf,"Tender cost, EMD, undertaking, Check list, and any other documents as per DTCN",,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2830792,BIBHUDATTA JOSHI,22-Feb-2025 05:21 PM,Rejected-Technical,Bidder has not fulfilled the eligibility criteria of Clause No.6 of page no.6 of DTCN.,12-May-2025 03:27 PM,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2831985,DIPAK KUMAR AGRAWAL,23-Feb-2025 08:51 AM,Rejected-Technical,Bidder has not fulfilled the eligibility criteria of Clause No.6 of page no.6 of DTCN.,12-May-2025 03:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2832686,DK POWER PROJECTS INDIA LIMITED,23-Feb-2025 03:15 PM,Rejected-Technical,Bidder has not fulfilled the eligibility criteria of Clause No.6 of page no.6 of DTCN.,12-May-2025 03:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2832084,GAUTAM KUMAR AGRAWAL,23-Feb-2025 10:30 AM,Rejected-Technical,Bidder has not fulfilled the eligibility criteria of Clause No.6 of page no.6 of DTCN.,12-May-2025 03:27 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2818124,HARA PRASAD NAYAK,14-Feb-2025 05:58 PM,Rejected-AOC,Disqualified in transparent lottery system.,11-Sep-2025 08:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2828803,JAGANNATH KHEMUNDU,23-Feb-2025 10:15 AM,Rejected-AOC,Disqualified in transparent lottery system.,11-Sep-2025 08:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2828862,JYOTI RANI PATI,23-Feb-2025 10:46 AM,Rejected-AOC,Disqualified in transparent lottery system.,11-Sep-2025 08:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2829773,KELLA ESWAR RAO,23-Feb-2025 11:17 AM,Rejected-AOC,Disqualified in transparent lottery system.,11-Sep-2025 08:20 PM,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
