Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
CE RW I||RWCIRCLE-BALASORE,2025_CERWI_109376_62,CCE-BLS-NCB-16 OF 2024-25,Construction of RD Road(Adia) to RD road(Gohirachaka) Via-Jirina road under MMSY- TRIP in the District of Bhadrak for the year 2024-25.,1.0,2786106.0,SANGRAM KESHARI LENKA,INR,"33,650,750.75",1,2785621,Lambodhar Sankhua,29-Jan-2025 12:55 PM,Rejected-AOC,L2,08-Sep-2025 04:55 PM,08-Sep-2025,"INR 33,650,750.75",270.0,Durjyodhan Behera,08-Sep-2025 04:55 PM,3640.pdf (717.00 KB),Work awarded to 1st lowest bidder through transparence lottery system,1.0,Revocation,Revocation,15-May-2025 04:23 PM,1476.pdf ,587.64,Technical Opening,CCE RW CIRCLE BALASORE,Internal,"PA TO CCE RW CIRCLE BALASORE AND JE ESTIMATOR CCE RW CIRCLE BALASORE AND DAO R.W. DIVISION, BHADRAK",Durjyodhan Behera,08-Sep-2025 04:51 PM,finsummary_526672.pdf (46.85 KB),Technical,Five numbers bidder Admitted,Subhadra Behera,15-May-2025 05:54 PM,,"CCE R.W.CIRCLE,BALASORE",Internal,"AE Estimator , R.W. Circle,Balasore, PA to CCE, R .W.Circle,Balasore, DAO, RWD, Bhadrak, E.E ,R.W Division-II, Bhadrak",Saibalini Singh,15-May-2025 06:30 PM,17-May-2025 01:00 PM,techsummary_526672.pdf (5786.62 KB),Finance,4 Numbers bidder admitted,Saibalini Singh,17-May-2025 06:33 PM,finance_526672.pdf,BOQ Comparative Chart,AOC,CE RW I||RWCIRCLE-BALASORE,CCE-BLS-NCB-16 OF 2024-25,2025_CERWI_109376_62,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,"3,73,860",Yes,percentage,1.0%,Nil,Nil,"CCE R.W.CIRCLE,BALASORE","O/o The CCE R.W.CIRCLE,BALASORE",1.0,Fee/PreQual/Technical,.pdf,"TENDER PAPER COST,EMD,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC",Construction of RD Road(Adia) to RD road(Gohirachaka) Via-Jirina road under MMSY- TRIP in the District of Bhadrak for the year 2024-25.,Construction of RD Road(Adia) to RD road(Gohirachaka) Via-Jirina road under MMSY- TRIP in the District of Bhadrak for the year 2024-25.,Please refer Tender documents. ,NA ,"3,73,86,000",Civil Works - Roads,NA ,Tender,90.0,270.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The CCE R.W.CIRCLE,BALASORE",No ,No,1.0,ICICI BANK,20-Jan-2025 06:00 PM,30-Jan-2025 11:00 AM,20-Jan-2025 06:00 PM,29-Jan-2025 05:00 PM,20-Jan-2025 06:00 PM ,28-Jan-2025 05:00 PM ,20-Jan-2025 06:00 PM,29-Jan-2025 05:00 PM,17-May-2025 01:00 PM,"10,000",0.0,Nil,Nil,No,1.0,DTCN Corrigendum,Other,,AOC
,,,,,,,,,2,2786313,Madan Mohan Bharati,29-Jan-2025 01:19 PM,Rejected-AOC,L1,08-Sep-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"WORK EXPERIENCE,ATO,PROFFIT LOSS ACCOUNT ,MACHINERIES,ETC",,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,3,2784393,Nirmal Chandra Rout,29-Jan-2025 04:04 PM,Rejected-AOC,L3,08-Sep-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,4,2786841,Nityananda Das,29-Jan-2025 03:39 PM,Rejected-Technical,Misleading document of ATO,15-May-2025 06:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,5,2786106,SANGRAM KESHARI LENKA,29-Jan-2025 01:02 PM,Accepted-AOC,L1,08-Sep-2025 04:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
