S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,2978561.0,Ankit Sharma,INR,"1,239,227",Finance,10 Nos. Bidder Participated,APARNA MISHRA,28-Sep-2025 12:19 AM,finance_543045.pdf,BOQ Comparative Chart,EE,Internal,EE and others,APARNA MISHRA,28-Sep-2025 07:58 AM,finsummary_543045.pdf (198.55 KB),Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,2025_OLIC_114438_11,OLIC-BLGR-01/2025-26,Revival of GOLABANDH-II defunct L.I.Project under BANGOMUNDA Block (State Plan Fund),EE,Internal,EE and others,APARNA MISHRA,28-Sep-2025 07:51 AM,techsummary_543045.pdf (365.65 KB),28-Sep-2025,"INR 1,457,743",90.0,APARNA MISHRA,28-Sep-2025 08:02 AM,11.pdf (199.00 KB),Success on Lottery System,1,2976542,ANKIT KUMAR AGRAWAL,21-Jun-2025 04:57 PM,Rejected-Finance,Unsuccess on Lottery System,28-Sep-2025 07:58 AM,AOC,17-Jun-2025 11:00 AM,25-Jun-2025 11:00 AM,17-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,17-Jun-2025 11:00 AM ,23-Jun-2025 05:00 PM ,17-Jun-2025 11:00 AM,24-Jun-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"RC, PAN, GSTIN, AFFIDAVIT, EMD, PAPER COST, NO RELATION CERTIFICATE AND OTHER DOCUMENTS AS PER DTCN","E.E., L.I. Division, Balangir","O/O. the E.E., L.I. Division, Balangir","14,577",Yes,percentage,1.0%,Nil,Nil,"7,080",0.0,Nil,Nil,No,Revival of GOLABANDH-II defunct L.I.Project under BANGOMUNDA Block (State Plan Fund),Revival of GOLABANDH-II defunct L.I.Project under BANGOMUNDA Block (State Plan Fund),Please refer Tender documents. ,NA ,"14,57,743",Civil Works - Lift Irrigation Schemes,NA ,Tender,90.0,90.0,BALANGIR,767002.0,NA ,NA ,NA ,"O/O. the E.E., L.I. Division, Balangir",No ,No,1.0,ICICI BANK,Orissa Lift Irrigation Corporation||LI Western Circle Bhawanipatna||LI Division Bolangir,OLIC-BLGR-01/2025-26,2025_OLIC_114438_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2978561,Ankit Sharma,24-Jun-2025 11:36 AM,Accepted-AOC,Success on Lottery System,28-Sep-2025 08:02 AM,AOC,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2979109,ANTARYAMEE SAI,24-Jun-2025 02:35 PM,Rejected-Finance,Unsuccess on Lottery System,28-Sep-2025 07:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2977789,BIJAYA KUMAR JAIN,24-Jun-2025 02:01 PM,Rejected-Finance,Unsuccess on Lottery System,28-Sep-2025 07:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2978299,CHANDRAKANTI SAHU,23-Jun-2025 02:11 PM,Rejected-Finance,Unsuccess on Lottery System,28-Sep-2025 07:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2975848,KAPIL KUMAR JAIN,21-Jun-2025 08:02 PM,Rejected-Finance,Unsuccess on Lottery System,28-Sep-2025 07:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2977491,MAHESH KUMAR INDORIA,23-Jun-2025 02:22 PM,Rejected-Finance,Unsuccess on Lottery System,28-Sep-2025 07:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2976330,MS Shree Shyam and Co,23-Jun-2025 12:09 PM,Rejected-Finance,Unsuccess on Lottery System,28-Sep-2025 07:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,2978892,RAHUL KUMAR SAHU,24-Jun-2025 11:33 AM,Rejected-Finance,Unsuccess on Lottery System,28-Sep-2025 07:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,2978679,RATHA MEHER,23-Jun-2025 11:10 PM,Rejected-Finance,Unsuccess on Lottery System,28-Sep-2025 07:58 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
