S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1,ICICI BANK,"56,446",Yes,fixed,,Nil,Nil,"11,800",0.0,Nil,Nil,No,Municipal Bodies||Brahmapur Municipal Corporation,BeMC(BAM)/297/2024-2025,2024_ORULB_105398_16,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,07-Oct-2024 10:00 AM,23-Oct-2024 11:30 AM,07-Oct-2024 10:00 AM,22-Oct-2024 05:00 PM,07-Oct-2024 10:00 AM ,15-Oct-2024 02:00 PM ,07-Oct-2024 10:00 AM,22-Oct-2024 05:00 PM,18-Feb-2025 05:00 PM,Commissioner,"Berhampur Municipal Corporation, Berhampur",Const of Rajiv Gandhi Market Complex(1st Floor) at Gosani Nugaon in ward no-26,Const of Rajiv Gandhi Market Complex(1st Floor) at Gosani Nugaon in ward no-26,Please refer tender documents ,NA ,"56,44,612",Civil Works - Others,NA ,Tender,120.0,180.0,"Berhampur Municipal Corporation, Berhampur",760002.0,NA ,NA ,NA ,"Berhampur Municipal Corporation, Berhampur",No ,No,1,Fee/PreQual/Technical,.pdf,"PAN, GST, AFFIDAVIT , BID COST, EMD, REGISTRATION ETC AS PER DTCN",AOC,Commissioner,Internal,Executive Engineer Junior Engineer,Susanta Dung Dung,18-Feb-2025 04:39 PM,18-Feb-2025 05:00 PM,techsummary_508418.pdf (796.22 KB),Finance,Admitted,Sanjukta Kumari Raipatro,18-Feb-2025 05:58 PM,finance_508418.pdf,BOQ Comparative Chart,Commissioner,Internal,City Engineer Executive Engineer Junior Engineer,Susanta Dung Dung,08-Sep-2025 05:06 PM,finsummary_508418.pdf (447.45 KB),Technical,Admitted,Susanta Dung Dung,23-Oct-2024 01:59 PM,technical_508418.pdf,Municipal Bodies||Brahmapur Municipal Corporation,2024_ORULB_105398_16,BeMC(BAM)/297/2024-2025,Const of Rajiv Gandhi Market Complex(1st Floor) at Gosani Nugaon in ward no-26,1.0,2589659.0,RANJAN NAIK,INR,"5,926,117",1,2589692,Ashok Kumar Patro,22-Oct-2024 03:43 PM,Rejected-Finance,Rejected,08-Sep-2025 05:06 PM,08-Sep-2025,"INR 5,644,458.13",180.0,Susanta Dung Dung,08-Sep-2025 05:09 PM,297_16_1.pdf (360.00 KB),As per estimated rate,AOC
2,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2589659,RANJAN NAIK,22-Oct-2024 03:31 PM,Accepted-AOC,Accepted,08-Sep-2025 05:09 PM,,,,,,,,AOC
