Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Finance,total 19 bidders accepted,Arpita Pattnaik,15-Jan-2025 01:20 PM,,BOQ Comparative Chart,09-Sep-2025,"INR 214,624",30.0,Lambodar Naik,09-Sep-2025 05:29 PM,827.pdf (615.00 KB),1.0,2738153.0,CHANDAN KUMAR BAL,INR,"214,624",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,2025_CERWI_109006_11,SE/BDK-II/TCN-10/2024-25,Repair to R.I. Office at Chardiha for the year 2024-25,1,2737270,AJIT DAS,10-Jan-2025 12:49 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,Executive Engineer,Internal,,Lambodar Naik,09-Sep-2025 05:15 PM,techsummary_523517.pdf (281.26 KB),Executive Engineer,Internal,,Lambodar Naik,09-Sep-2025 05:18 PM,finsummary_523517.pdf (417.98 KB),AOC,"2,520",Yes,percentage,1.0%,Nil,Nil,"EE R.W.DIVISION-II,BHADRAK","O/o The EE R.W.DIVISION-II,BHADRAK",CE RW I||RWCIRCLE-BALASORE||RWDIVISION-BHADRAK-II,SE/BDK-II/TCN-10/2024-25,2025_CERWI_109006_11,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical/Finance,.pdf,"TENDER PAPER COST, EMD,,CONTRACTOR REGISTRATION CERTIFICATE,PAN,GSTIN,AFFIDAVIT,ETC","2,000",0.0,Nil,Nil,No,03-Jan-2025 04:30 PM,10-Jan-2025 04:00 PM,03-Jan-2025 04:30 PM,10-Jan-2025 03:00 PM,03-Jan-2025 04:30 PM ,09-Jan-2025 03:00 PM ,03-Jan-2025 04:30 PM,10-Jan-2025 03:00 PM,1.0,ICICI BANK,Repair to R.I. Office at Chardiha for the year 2024-25,Repair to R.I. Office at Chardiha for the year 2024-25,Please refer Tender documents. ,NA ,"2,52,000",Civil Works - Buildings,NA ,Tender,90.0,30.0,Bhadrak,756100.0,NA ,NA ,NA ,"O/o The EE R.W.DIVISION-II,BHADRAK",No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,2,2741975,Alok Kumar Barik,10-Jan-2025 11:42 AM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OTHER DOCUMENTS AS PER DTCN,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,3,2742201,ANNAPURNA GHOSH,10-Jan-2025 12:28 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BILL OF QUANTITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,4,2741366,BIDYADHAR BARIK,09-Jan-2025 07:45 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,5,2742147,Biswaranjan Samal,10-Jan-2025 12:21 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,6,2740670,BRAJASUNDAR MOHANTY,09-Jan-2025 03:50 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,7,2738153,CHANDAN KUMAR BAL,08-Jan-2025 05:36 PM,Accepted-AOC,selected through transparent lottery system,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,8,2738277,Dipak Kumar Das,08-Jan-2025 06:07 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,9,2732826,Diptikanta Sethi,06-Jan-2025 05:15 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,10,2739590,GANGADHAR DAS,09-Jan-2025 11:31 AM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,11,2736843,PRASANTA KUMAR SWAIN,08-Jan-2025 11:48 AM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,12,2739894,PRIYADARSHAN NAYAK,09-Jan-2025 12:43 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,13,2740189,Purna Chandra Behera,09-Jan-2025 02:13 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,14,2733007,Ramachandra Barik,06-Jan-2025 06:20 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,15,2741774,Ratikanta Mallick,10-Jan-2025 05:40 AM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,16,2733019,Sumanta Pattanayak,06-Jan-2025 06:38 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,17,2734577,SWORAJ KUMAR NAYAK(S.C),07-Jan-2025 01:19 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,18,2742504,UJJAWAL KUMAR NAYAK,10-Jan-2025 02:16 PM,Rejected-AOC,rejected,09-Sep-2025 05:29 PM,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
