Name,Address,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"Additional CE, RB Basin, Berhampur","Office of the Additional CE, RB Basin Berhampur PIN 760004","10,000",0.0,Nil,Nil,No,22-Jan-2025 10:00 AM,07-Feb-2025 11:30 AM,22-Jan-2025 10:00 AM,06-Feb-2025 05:30 PM,22-Jan-2025 10:00 AM ,31-Jan-2025 05:30 PM ,22-Jan-2025 10:00 AM,06-Feb-2025 05:30 PM,16-Apr-2025 11:30 AM,1.0,ICICI BANK,Improvement to Right service bank of RMC from RD 18.50 KM to 25.42 KM and Titikhandi Distributary from RD 00 KM to 2.90 KM of Ghodahada Irrigation Project.,Improvement to Right service bank of RMC from RD 18.50 KM to 25.42 KM and Titikhandi Distributary from RD 00 KM to 2.90 KM of Ghodahada Irrigation Project.,Please refer Tender documents. ,NA ,"5,03,80,687",Civil Works - Others,NA ,Tender,90.0,330.0,Digapahandi,761012.0,NA ,NA ,NA ,"Office of the Additional CE, RB Basin, Berhampur",No ,No,1.0,Fee/PreQual/Technical,.pdf,"Tender Paper Cost, EMD, GSTIN, PAN, Contractor RC","5,04,000",Yes,fixed,,Nil,Nil,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur","ACE,RBB-11/2024-25",2025_CEBMB_109688_1,Yes,National Competitive Bid,Percentage,Works,2.0,No,No,Online,No,No,No,AOC,1,2799537,AKASH PANIGRAHY,06-Feb-2025 11:22 AM,Rejected-Finance,Loser of the lottery,16-May-2025 04:36 PM,22-Jun-2025,"INR 42,828,622",330.0,Rajib Kumar Pandit,08-Sep-2025 04:47 PM,AOC22.pdf (893.00 KB),"This work is awarded to Sri Amit Kumar Patro, vide Agt.No.10 P1 of 2025-26 of chikiti Irrigation Division, Berhampur.","Rajib Kumar Pandit, Addl.CE",Internal,,Rajib Kumar Pandit,15-Apr-2025 01:36 PM,16-Apr-2025 11:30 AM,techsummary_526759.pdf (463.36 KB),Finance,Downloaded Successfully,Rajib Kumar Pandit,16-May-2025 04:23 PM,,BOQ Comparative Chart,Technical,Technical Bid opened successfully.,Rajib Kumar Pandit,15-Apr-2025 01:21 PM,,"CE-BM,RVN Basin,Berhampur||S.E. Southern Irr. Circle I Berhampur",2025_CEBMB_109688_1,"ACE,RBB-11/2024-25",Improvement to Right service bank of RMC from RD 18.50 KM to 25.42 KM and Titikhandi Distributary from RD 00 KM to 2.90 KM of Ghodahada Irrigation Project.,"Rajib Kumar Pandit, Addl.CE",Internal,,Rajib Kumar Pandit,16-May-2025 04:36 PM,finsummary_526759.pdf (1634.19 KB),1.0,2800693.0,Amit Kumar Patro,INR,"42,828,622",AOC
,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit under taking, declaring no Relationship with Department officials",,,,,,,,,,,,,,,,,,,,,AOC,2,2800693,Amit Kumar Patro,06-Feb-2025 02:33 PM,Accepted-AOC,Winner of the lottery,08-Sep-2025 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,And any other documents as per SBD and DTCN,,,,,,,,,,,,,,,,,,,,,AOC,3,2800414,AMRIT PRADHAN,06-Feb-2025 01:11 PM,Rejected-Finance,Loser of the lottery,16-May-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,AOC,4,2800176,Anup Kumar Dash,06-Feb-2025 11:44 AM,Rejected-Finance,Loser of the lottery,16-May-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5,2795386,BURADA DINESH,03-Feb-2025 05:22 PM,Rejected-Finance,Loser of the lottery,16-May-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6,2800778,CHANDAN PRASAD PADHY,06-Feb-2025 03:27 PM,Rejected-Finance,Loser of the lottery,16-May-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7,2800007,Ganesh Kumar Brahma,06-Feb-2025 08:05 AM,Rejected-Finance,Loser of the lottery,16-May-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8,2800883,Ganesh Sahu,06-Feb-2025 04:26 PM,Rejected-Finance,Loser of the lottery,16-May-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,9,2792664,Jagannath Mohanty,01-Feb-2025 02:43 PM,Rejected-Finance,Loser of the lottery,16-May-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,10,2800075,Kameswar Pradhan,06-Feb-2025 09:52 AM,Rejected-Finance,Loser of the lottery,16-May-2025 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
