S.No,Bank Name,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,"6,000",0.0,Nil,Nil,No,"14,399",Yes,percentage,1.0%,Nil,Nil,26-May-2025 11:00 AM,09-Jun-2025 11:00 AM,26-May-2025 11:00 AM,06-Jun-2025 05:00 PM,NA ,NA ,26-May-2025 11:00 AM,06-Jun-2025 05:00 PM,1.0,Fee/PreQual/Technical/Finance,.pdf,"Cost of tender paper online, Bid security Declaration, Valid RC, PAN, GST Affidavit and as per DTCN",Development of Smasan in ward No 12,CIVIL BILDING WORK,Please refer tender documents ,NA ,"14,39,921",Civil Works - Buildings,NA ,Tender,120.0,60.0,"O/O-Executive Officer, Vyasanagar Municipality",755019.0,NA ,NA ,NA ,"O/O-Executive Officer, Vyasanagar Municipality",No ,No,Municipal Bodies||Vyasanagar Municipality,01/VNM-2025-26,2025_ORULB_113788_3,Yes,Open Tender,Percentage,Works,1.0,No,No,Online,No,No,No,"O/O-Executive Officer, Vyasanagar Municipality","O/O-Executive Officer, Vyasanagar Municipality",AOC,25-Sep-2025,"INR 1,439,921.191",60.0,Manas Ranjan Sahoo,25-Sep-2025 01:06 PM,workorderr.pdf (267.00 KB),due to l1,1,2951525,DIPENDRA KUMAR JENA,06-Jun-2025 01:03 PM,Accepted-AOC,due to l1,25-Sep-2025 01:07 PM,Eo,Internal,"je,me,accountant",Manas Ranjan Sahoo,25-Sep-2025 12:16 PM,techsummary_540939.pdf (407.65 KB),Municipal Bodies||Vyasanagar Municipality,2025_ORULB_113788_3,01/VNM-2025-26,Development of Smasan in ward No 12,Eo,Internal,"je,me,accountant",Manas Ranjan Sahoo,25-Sep-2025 12:22 PM,finsummary_540939.pdf (407.65 KB),Finance,ok,Manas Ranjan Sahoo,25-Sep-2025 12:09 PM,finance_540939.pdf,BOQ Comparative Chart,1.0,2951525.0,DIPENDRA KUMAR JENA,INR,"1,439,921.191",AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,2,2954297,KALANDI MALIK,06-Jun-2025 01:04 PM,Rejected-Finance,due to l2,25-Sep-2025 12:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,3,2954355,M/S NARAYAN OJHA,06-Jun-2025 01:44 PM,Rejected-Finance,due to l4,25-Sep-2025 12:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,4,2952329,RASHMITA PRADHAN,05-Jun-2025 12:38 PM,Rejected-Finance,due to l3,25-Sep-2025 12:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
