Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :,Document :.2,Type :.1,Summary :.1,Updated By :.3,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Total Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,VAT Charges in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Stage
Finance,Financial bid of 12 (Twelve) qualified bidders had been open out of 13 (Thirteen) bids.,MINAKETAN DAS,06-Nov-2023 05:30 PM,,BOQ Comparative Chart,1,2286751,BABA LALITESWARA AGENCY,12-Oct-2023 09:11 PM,Rejected-Technical,Documents are not in order,04-Nov-2023 12:50 PM,A K PAL,Internal,L D BEHERA R K DASH DEBENDU MOHAPATRA S R PATTANAIK,Satyajit Jena,04-Nov-2023 12:50 PM,06-Nov-2023 03:00 PM,techsummary_465430.pdf (1840.32 KB),DEBENDU MOHAPATRA,Internal,S K BISWAL S P MEHER S JENA,Satyajit Jena,05-Aug-2025 12:00 PM,finsummary_465430.pdf (211.59 KB),Technical,13 (Thirteen) bids has been received subjected to evaluation by committee,MINAKETAN DAS,16-Oct-2023 01:23 PM,,1.0,2286733.0,MESSERS BIRAJA ELECTRICAL AND CONSTRUCTION,INR,"7,080,958.46",05-Aug-2025,"INR 7,080,958.46",120.0,Sidharth Pattnaik,03-Sep-2025 03:21 PM,2023_OMC_95111_1.pdf (323.00 KB),"Diversion of HT and LT Overhead line for Beautification of Road at Central Township, Kaliapani in the district of Jajpur.",Orissa Mining Corporation,2023_OMC_95111_1,NIT No.42/OMC/CIVIL/2023,"Diversion of HT and LT Overhead line for Beautification of Road at Central Township, Kaliapani in the district of Jajpur.",AOC,"83,300",Yes,fixed,,Nil,Nil,03-Oct-2023 06:55 PM,16-Oct-2023 11:00 AM,03-Oct-2023 06:55 PM,13-Oct-2023 05:00 PM,NA ,NA ,03-Oct-2023 06:55 PM,13-Oct-2023 05:00 PM,06-Nov-2023 03:00 PM,"CGM(C), OMC Ltd.","Office of the CGM(C), OMC Ltd., Bhubaneswar",1.0,Fee/PreQual/Technical,.pdf,"RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requireme","11,800",0.0,Nil,Nil,No,Orissa Mining Corporation,NIT No.42/OMC/CIVIL/2023,2023_OMC_95111_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"Diversion of HT and LT Overhead line for Beautification of Road at Central Township, Kaliapani in the district of Jajpur.","Diversion of HT and LT Overhead line for Beautification of Road at Central Township, Kaliapani in the district of Jajpur.","RC, EPF Regd., GSTN, PAN, License issued by ELBO, Affidavits, experience, etc. as per DTCN requirements. ",NA ,"83,30,000",Electrical Works,NA ,Tender,180.0,120.0,KALIAPANI TOWNSHIP,755028.0,NA ,NA ,NA ,"OMC Ltd., Bhubaneswar",No ,No,1.0,ICICI BANK,AOC
,,,,,,2,2286738,DILLIP KUMAR ROUT,12-Oct-2023 08:42 PM,Rejected-Finance,NOT BEING L1,05-Aug-2025 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FINANCIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,3,2286892,ICON BUILDERS,13-Oct-2023 11:11 AM,Rejected-Finance,NOT BEING L1,05-Aug-2025 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,4,2286733,MESSERS BIRAJA ELECTRICAL AND CONSTRUCTION,12-Oct-2023 08:22 PM,Accepted-AOC,L1,03-Sep-2025 03:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,5,2283701,M/S ASHRIBAD ENGINEERING,10-Oct-2023 12:52 PM,Rejected-Finance,NOT BEING L1,05-Aug-2025 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,6,2284741,M/S. DEBADUTTA RAY,12-Oct-2023 04:53 PM,Rejected-Finance,NOT BEING L1,05-Aug-2025 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,7,2286956,M/S SARALA ENGINEERING WORKS,13-Oct-2023 12:20 PM,Rejected-Finance,NOT BEING L1,05-Aug-2025 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,8,2287009,RAJESH KUMAR SAHU,13-Oct-2023 12:50 PM,Rejected-Finance,NOT BEING L1,05-Aug-2025 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,9,2284537,RAMESH CHANDRA SAMAL,11-Oct-2023 10:41 AM,Rejected-Finance,NOT BEING L1,05-Aug-2025 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,10,2286645,RNS POWER AND INFRA,12-Oct-2023 09:38 PM,Rejected-Finance,NOT BEING L1,05-Aug-2025 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
